,when,was,the,soulages,collection,acquired,?
the,0.5091903209686279,0.48711544275283813,1.0,0.2993813455104828,0.25281965732574463,0.22202405333518982,0.22068053483963013
soulages,0.15272104740142822,0.19665347039699554,0.2993813455104828,1.0,0.26647669076919556,0.15009872615337372,0.22295252978801727
collection,0.13679222762584686,0.1743653565645218,0.25281965732574463,0.26647669076919556,0.9999998807907104,0.29006797075271606,0.20069393515586853
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.314351886510849,0.2915455996990204,0.20385384559631348,0.1826142966747284
italian,0.17401134967803955,0.27526864409446716,0.19855095446109772,0.17062538862228394,0.15172773599624634,0.12054238468408585,0.1156633123755455
and,0.4716290831565857,0.3740963041782379,0.5171257257461548,0.3758964240550995,0.2379438579082489,0.19944815337657928,0.20544172823429108
french,0.18820616602897644,0.2523815333843231,0.2555147111415863,0.33839088678359985,0.12934844195842743,0.15426896512508392,0.1386883556842804
renaissance,0.17501585185527802,0.2764733135700226,0.2050212025642395,0.2292504757642746,0.23197145760059357,0.23605746030807495,0.12260647863149643
objects,0.24618467688560486,0.12351071834564209,0.24716724455356598,0.3086359202861786,0.3340989947319031,0.18464092910289764,0.15479016304016113
was,0.37326499819755554,1.0000001192092896,0.48711544275283813,0.19665347039699554,0.1743653565645218,0.20753280818462372,0.18412111699581146
acquired,0.17706167697906494,0.20753280818462372,0.22202405333518982,0.15009872615337372,0.29006797075271606,1.0,0.09366346150636673
between,0.38258615136146545,0.24048170447349548,0.39067012071609497,0.21309266984462738,0.1194501668214798,0.13254143297672272,0.12887074053287506
1859,-0.04244093969464302,0.005101411137729883,0.012682649306952953,-0.035325270146131516,0.09039109200239182,-0.04100345820188522,0.08665214478969574
and,0.4716290831565857,0.3740963041782379,0.5171257257461548,0.3758964240550995,0.2379438579082489,0.19944815337657928,0.20544172823429108
1865,0.10016427934169769,0.22172267735004425,0.13530854880809784,0.23281876742839813,0.12634149193763733,0.07409120351076126,0.09031988680362701
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.38856127858161926,0.2277175933122635,0.19564154744148254,0.31091248989105225
and,0.4716290831565857,0.3740963041782379,0.5171257257461548,0.3758964240550995,0.2379438579082489,0.19944815337657928,0.20544172823429108
includes,0.14346031844615936,0.2100689858198166,0.3388250470161438,0.27321845293045044,0.3749653398990631,0.16123110055923462,0.14011523127555847
several,0.306964635848999,0.25396689772605896,0.40559855103492737,0.25154656171798706,0.24703916907310486,0.12744346261024475,0.15595775842666626
cassone,0.20478518307209015,0.2887921929359436,0.2641116678714752,0.38598549365997314,0.13528050482273102,0.1710861474275589,0.1558312177658081
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.3191589117050171,0.2516246736049652,0.17389816045761108,0.4130953550338745
