,what,victory,at,thwarted,efforts,of,french,relief,ships,.
the,0.42745697498321533,0.2795662581920624,0.457212895154953,0.3270566463470459,0.26890742778778076,0.733189046382904,0.2555147111415863,0.25068938732147217,0.279244989156723,0.5934505462646484
victory,0.12667348980903625,1.0000001192092896,0.16412246227264404,0.275648832321167,0.28431302309036255,0.21037539839744568,0.18492503464221954,0.16679276525974274,0.22424161434173584,0.18324626982212067
was,0.22111038863658905,0.28069007396698,0.36707764863967896,0.2690732181072235,0.2586594820022583,0.4069072902202606,0.2523815333843231,0.19116955995559692,0.21883714199066162,0.40146201848983765
made,0.23419176042079926,0.15120339393615723,0.20185844600200653,0.267169326543808,0.22840438783168793,0.33167365193367004,0.18163761496543884,0.1451101452112198,0.2058771550655365,0.4032190144062042
complete,0.29213884472846985,0.15902014076709747,0.13879677653312683,0.23661525547504425,0.1694679707288742,0.3009350895881653,0.09474895894527435,0.1491585671901703,0.11382217705249786,0.2471141666173935
in,0.30808621644973755,0.21562302112579346,0.4374977946281433,0.2029087245464325,0.21540255844593048,0.5696388483047485,0.22093388438224792,0.27761659026145935,0.2328297346830368,0.5591574311256409
1760,0.10068996995687485,-0.01008580718189478,0.08847644925117493,-0.08381206542253494,0.08323831111192703,0.17469289898872375,0.25753486156463623,0.13180947303771973,0.05118527263402939,0.16449762880802155
when,0.4700249433517456,0.14491812884807587,0.38876327872276306,0.30648040771484375,0.2036781907081604,0.3757161796092987,0.18820616602897644,0.20400682091712952,0.2804982364177704,0.475719153881073
",",0.3087472915649414,0.22238308191299438,0.38314947485923767,0.2589564025402069,0.20678693056106567,0.4946078956127167,0.28806620836257935,0.19516092538833618,0.21014784276485443,0.6812511086463928
despite,0.1825345903635025,0.2740112841129303,0.2349601536989212,0.33474332094192505,0.40251171588897705,0.33505672216415405,0.1443070024251938,0.1557428538799286,0.1532163769006729,0.2592180371284485
losing,0.2354373037815094,0.38948115706443787,0.23693355917930603,0.29442745447158813,0.27908578515052795,0.2693577706813812,0.13788644969463348,0.09707600623369217,0.19590723514556885,0.33379220962524414
outside,0.3224688768386841,0.1400517076253891,0.29160594940185547,0.1941053569316864,0.17889992892742157,0.2973117530345917,0.10899151116609573,0.18642888963222504,0.10933477431535721,0.28971612453460693
quebec,0.19603441655635834,0.15200865268707275,0.14861932396888733,0.14333970844745636,0.10873253643512726,0.13664869964122772,0.40937498211860657,0.14595910906791687,0.15445804595947266,0.2196997106075287
city,0.17493832111358643,0.2329167276620865,0.2310783565044403,0.07697449624538422,0.11737968772649765,0.32503411173820496,0.17549027502536774,0.16828607022762299,0.2258746325969696,0.29856356978416443
in,0.30808621644973755,0.21562302112579346,0.4374977946281433,0.2029087245464325,0.21540255844593048,0.5696388483047485,0.22093388438224792,0.27761659026145935,0.2328297346830368,0.5591574311256409
the,0.42745697498321533,0.2795662581920624,0.457212895154953,0.3270566463470459,0.26890742778778076,0.733189046382904,0.2555147111415863,0.25068938732147217,0.279244989156723,0.5934505462646484
battle,0.17112864553928375,0.4560186564922333,0.23658646643161774,0.24493135511875153,0.20608976483345032,0.2291749268770218,0.1784413456916809,0.10414860397577286,0.3010637164115906,0.1661834716796875
of,0.33290785551071167,0.21037539839744568,0.42558613419532776,0.2189948856830597,0.23738951981067657,1.0,0.19450366497039795,0.2101009339094162,0.2382369190454483,0.5352458953857422
sainte-foy,0.24179905652999878,0.21068671345710754,0.23362962901592255,0.10167943686246872,0.18345606327056885,0.2983955442905426,0.4107159376144409,0.11489233374595642,0.2058607041835785,0.2904224097728729
",",0.3087472915649414,0.22238308191299438,0.38314947485923767,0.2589564025402069,0.20678693056106567,0.4946078956127167,0.28806620836257935,0.19516092538833618,0.21014784276485443,0.6812511086463928
the,0.42745697498321533,0.2795662581920624,0.457212895154953,0.3270566463470459,0.26890742778778076,0.733189046382904,0.2555147111415863,0.25068938732147217,0.279244989156723,0.5934505462646484
british,0.19255435466766357,0.19553309679031372,0.21751968562602997,0.2626875340938568,0.1963055282831192,0.23701532185077667,0.43574923276901245,0.15301162004470825,0.2579096555709839,0.23159366846084595
were,0.22298263013362885,0.22070027887821198,0.2947486639022827,0.28800180554389954,0.25068920850753784,0.34038281440734863,0.22002479434013367,0.12717454135417938,0.3180960416793823,0.3378238379955292
able,0.3404487371444702,0.17639769613742828,0.24194130301475525,0.2767435610294342,0.34351179003715515,0.23883962631225586,0.1365334391593933,0.09431766718626022,0.2538881301879883,0.34544092416763306
to,0.455847829580307,0.17833203077316284,0.36524343490600586,0.32693931460380554,0.36228540539741516,0.41548454761505127,0.1713797152042389,0.23550525307655334,0.2895524799823761,0.4645031690597534
prevent,0.2723881006240845,0.17166513204574585,0.13442224264144897,0.38906344771385193,0.3068927824497223,0.22669163346290588,0.12219506502151489,0.23321954905986786,0.2863541543483734,0.24685528874397278
the,0.42745697498321533,0.2795662581920624,0.457212895154953,0.3270566463470459,0.26890742778778076,0.733189046382904,0.2555147111415863,0.25068938732147217,0.279244989156723,0.5934505462646484
arrival,0.24079416692256927,0.24402427673339844,0.22194164991378784,0.29891160130500793,0.2280498445034027,0.2117728888988495,0.11841163039207458,0.1086609736084938,0.27823370695114136,0.18154610693454742
of,0.33290785551071167,0.21037539839744568,0.42558613419532776,0.2189948856830597,0.23738951981067657,1.0,0.19450366497039795,0.2101009339094162,0.2382369190454483,0.5352458953857422
french,0.17393042147159576,0.18492503464221954,0.17825756967067719,0.14393778145313263,0.1669636070728302,0.19450366497039795,1.0000001192092896,0.10438595712184906,0.1981264054775238,0.2480926215648651
relief,0.1674574613571167,0.16679276525974274,0.12531621754169464,0.16129639744758606,0.2867355942726135,0.2101009339094162,0.10438595712184906,1.0,0.11287499964237213,0.18649086356163025
ships,0.18164707720279694,0.22424161434173584,0.18894129991531372,0.29906386137008667,0.2730773091316223,0.2382369190454483,0.1981264054775238,0.11287499964237213,0.9999999403953552,0.2274792641401291
in,0.30808621644973755,0.21562302112579346,0.4374977946281433,0.2029087245464325,0.21540255844593048,0.5696388483047485,0.22093388438224792,0.27761659026145935,0.2328297346830368,0.5591574311256409
the,0.42745697498321533,0.2795662581920624,0.457212895154953,0.3270566463470459,0.26890742778778076,0.733189046382904,0.2555147111415863,0.25068938732147217,0.279244989156723,0.5934505462646484
naval,0.160405233502388,0.2732319235801697,0.19408786296844482,0.21914340555667877,0.18324708938598633,0.28707146644592285,0.22066450119018555,0.16837486624717712,0.49012401700019836,0.2479097992181778
