,what,was,done,to,counteract,the,overpopulation,of,mnemiopsis,in,the,black,sea,?
the,0.42745697498321533,0.48711544275283813,0.26575928926467896,0.535392165184021,0.3067632019519806,1.0,0.3346274495124817,0.733189046382904,0.23440246284008026,0.6662389636039734,1.0,0.28466513752937317,0.30363768339157104,0.22068053483963013
later,0.2517229914665222,0.5684447288513184,0.18372538685798645,0.393297016620636,0.18004652857780457,0.4060266613960266,0.18115445971488953,0.3458743393421173,0.15883491933345795,0.40857815742492676,0.4060266613960266,0.1398065835237503,0.16503840684890747,0.1417175978422165
accidental,0.23869869112968445,0.2374066412448883,0.1992160975933075,0.23384864628314972,0.11096572130918503,0.25876864790916443,0.2964114248752594,0.2658019959926605,0.24591080844402313,0.3017275035381317,0.25876864790916443,0.1319228857755661,0.07642877846956253,0.2016049474477768
introduction,0.2245079129934311,0.22391968965530396,0.15230950713157654,0.24349944293498993,0.20633794367313385,0.2808631956577301,0.29644498229026794,0.24229779839515686,0.30725008249282837,0.20148611068725586,0.2808631956577301,0.10779713094234467,0.14545664191246033,0.27021539211273193
of,0.33290785551071167,0.4069072902202606,0.23300732672214508,0.41548454761505127,0.2454369068145752,0.733189046382904,0.32538309693336487,1.0,0.264727383852005,0.5696388483047485,0.733189046382904,0.23966942727565765,0.2707739472389221,0.1826142966747284
beroe,0.14043943583965302,0.25020912289619446,0.021799689158797264,0.25716209411621094,0.12537141144275665,0.2654626965522766,0.24955834448337555,0.24126726388931274,0.2926037609577179,0.21582861244678497,0.2654626965522766,0.1297941356897354,0.32447385787963867,0.1766621172428131
helped,0.1926339715719223,0.384408563375473,0.28399738669395447,0.42226478457450867,0.22588954865932465,0.3108886480331421,0.23136422038078308,0.26548290252685547,0.16874948143959045,0.304380863904953,0.3108886480331421,0.17007564008235931,0.16653642058372498,0.16572049260139465
to,0.455847829580307,0.3636345863342285,0.2647212743759155,1.0,0.3296637535095215,0.535392165184021,0.3554355502128601,0.41548454761505127,0.2134498953819275,0.45010748505592346,0.535392165184021,0.23292754590511322,0.2749888300895691,0.29463258385658264
mitigate,0.3666277825832367,0.06337467581033707,0.3455143868923187,0.33896347880363464,0.3166041374206543,0.2710644602775574,0.404668927192688,0.24459674954414368,0.34132108092308044,0.19725409150123596,0.2710644602775574,0.12908586859703064,0.20928068459033966,0.27815142273902893
the,0.42745697498321533,0.48711544275283813,0.26575928926467896,0.535392165184021,0.3067632019519806,1.0,0.3346274495124817,0.733189046382904,0.23440246284008026,0.6662389636039734,1.0,0.28466513752937317,0.30363768339157104,0.22068053483963013
problem,0.42183366417884827,0.17229199409484863,0.39600834250450134,0.2502208352088928,0.2985725700855255,0.24928659200668335,0.35400155186653137,0.20464475452899933,0.3376132547855377,0.16969570517539978,0.24928659200668335,0.16587278246879578,0.13025858998298645,0.3762950301170349
",",0.3087472915649414,0.45456063747406006,0.32079052925109863,0.44245919585227966,0.22059248387813568,0.4933079481124878,0.3262532651424408,0.4946078956127167,0.32095542550086975,0.5201468467712402,0.4933079481124878,0.23807229101657867,0.30078184604644775,0.31091248989105225
as,0.31749409437179565,0.3677520453929901,0.28695398569107056,0.42092081904411316,0.2378789633512497,0.48381632566452026,0.29915350675582886,0.3886612355709076,0.2248859703540802,0.3887844979763031,0.48381632566452026,0.19815593957901,0.1931508332490921,0.27043893933296204
beroe,0.14043943583965302,0.25020912289619446,0.021799689158797264,0.25716209411621094,0.12537141144275665,0.2654626965522766,0.24955834448337555,0.24126726388931274,0.2926037609577179,0.21582861244678497,0.2654626965522766,0.1297941356897354,0.32447385787963867,0.1766621172428131
preys,0.18803857266902924,0.11729750037193298,0.1940261870622635,0.23093225061893463,0.2663595378398895,0.3032260835170746,0.35069698095321655,0.23896270990371704,0.3550672233104706,0.2641979157924652,0.3032260835170746,0.2737419605255127,0.33454203605651855,0.15644221007823944
on,0.34226128458976746,0.3909217119216919,0.2706708610057831,0.41031414270401,0.32768160104751587,0.5107308030128479,0.2259441614151001,0.3966929316520691,0.2034597545862198,0.46853652596473694,0.5107308030128479,0.18663345277309418,0.2444533258676529,0.2714994251728058
other,0.341873437166214,0.14651623368263245,0.26694774627685547,0.4193183183670044,0.38065409660339355,0.44152235984802246,0.3139423131942749,0.38583824038505554,0.23796363174915314,0.39989137649536133,0.44152235984802246,0.1947280913591385,0.2263188511133194,0.24682199954986572
ctenophores,0.2505159080028534,0.05756163224577904,0.2399386465549469,0.2038351595401764,0.2908353805541992,0.2543465793132782,0.3522310256958008,0.2626190483570099,0.5556114912033081,0.1814151555299759,0.2543465793132782,0.2584832012653351,0.3502740263938904,0.2054179310798645
.,0.3567904531955719,0.40146201848983765,0.3132319152355194,0.4645031690597534,0.27224424481391907,0.5934505462646484,0.3053700923919678,0.5352458953857422,0.29047080874443054,0.5591574311256409,0.5934505462646484,0.24577875435352325,0.2680719196796417,0.4130953550338745
