,how,many,medieval,warm,period,reconstructions,were,used,?
ten,0.26821833848953247,0.340677946805954,0.11553125828504562,0.08562953025102615,0.22801728546619415,0.13847200572490692,0.3543928563594818,0.18329793214797974,0.14471080899238586
of,0.2480744868516922,0.37253960967063904,0.31686919927597046,0.21449124813079834,0.2698146104812622,0.30999359488487244,0.34038281440734863,0.3075267970561981,0.1826142966747284
these,0.41104358434677124,0.7077717185020447,0.18285556137561798,0.2677168548107147,0.280052125453949,0.36201798915863037,0.587685227394104,0.43212080001831055,0.2571668326854706
14,0.03452076017856598,-0.04532574862241745,0.016650760546326637,0.05312121659517288,-0.07514013350009918,-0.029287751764059067,0.023857727646827698,-0.033661581575870514,0.11697390675544739
reconstructions,0.2121342122554779,0.30185768008232117,0.25950801372528076,0.07102179527282715,0.2828887701034546,0.9999999403953552,0.3219875991344452,0.2702767252922058,0.16968035697937012
covered,0.15735739469528198,0.3388194143772125,0.19928500056266785,0.31045815348625183,0.1718197762966156,0.20116932690143585,0.26508578658103943,0.2980722188949585,0.139833465218544
"1,000",-0.019969388842582703,0.12109162658452988,0.10405012220144272,0.12701258063316345,0.057725172489881516,0.03808429837226868,0.1812327653169632,0.033680640161037445,0.02905043587088585
years,0.21949264407157898,0.2731519937515259,0.14651337265968323,0.16859057545661926,0.38214126229286194,0.2731611728668213,0.3048669695854187,0.11647152900695801,0.1914375126361847
or,0.3378981947898865,0.36905089020729065,0.2551206052303314,0.23900975286960602,0.22841477394104004,0.27470025420188904,0.3389680087566376,0.4951852560043335,0.32389625906944275
longer,0.2641701102256775,0.31744858622550964,0.16657474637031555,0.2120811939239502,0.34137460589408875,0.25230011343955994,0.27432891726493835,0.36502373218536377,0.24416615068912506
.,0.3287222981452942,0.3974229395389557,0.2585373520851135,0.27272140979766846,0.2575049102306366,0.28516528010368347,0.3378238379955292,0.33111312985420227,0.4130953550338745
,how,many,medieval,warm,period,reconstructions,were,used,?
in,0.2601168751716614,0.41474202275276184,0.2546980679035187,0.24172447621822357,0.23051127791404724,0.2827760875225067,0.3815755248069763,0.3090210556983948,0.20430970191955566
addition,0.24312371015548706,0.3811662197113037,0.08975964039564133,0.18830841779708862,0.14142471551895142,0.2604144513607025,0.25986790657043457,0.23474827408790588,0.19187232851982117
",",0.22659391164779663,0.40610817074775696,0.18470603227615356,0.24420368671417236,0.25030651688575745,0.2596146762371063,0.36755475401878357,0.3120402991771698,0.31091248989105225
analysis,0.289559006690979,0.21450452506542206,0.15290360152721405,0.1249367892742157,0.1571381837129593,0.4096476137638092,0.1901683509349823,0.2083756923675537,0.15352053940296173
of,0.2480744868516922,0.37253960967063904,0.31686919927597046,0.21449124813079834,0.2698146104812622,0.30999359488487244,0.34038281440734863,0.3075267970561981,0.1826142966747284
the,0.33890387415885925,0.4335206151008606,0.28617456555366516,0.2764509320259094,0.3125074505805969,0.31834158301353455,0.3906462490558624,0.3718377649784088,0.22068053483963013
medieval,0.14603546261787415,0.24158154428005219,1.0,0.2004401832818985,0.3200860619544983,0.25950801372528076,0.18805795907974243,0.2875947952270508,0.15571735799312592
warm,0.2252393364906311,0.2916550040245056,0.2004401832818985,0.9999999403953552,0.2505011260509491,0.07102179527282715,0.15442384779453278,0.19307436048984528,0.15442228317260742
period,0.22695960104465485,0.23770453035831451,0.3200860619544983,0.2505011260509491,1.0,0.2828887701034546,0.2902187407016754,0.2327127307653427,0.18706195056438446
cited,0.20270095765590668,0.1916373372077942,0.21650075912475586,0.12591800093650818,0.19251589477062225,0.25524237751960754,0.18313606083393097,0.2476269155740738,0.32995760440826416
