,what,tribe,uses,gps,devices,to,map,lands,?
using,0.27984681725502014,0.11218010634183884,0.632046639919281,0.33617541193962097,0.4120612144470215,0.3678804934024811,0.26130470633506775,0.16196489334106445,0.2804589569568634
handheld,0.2139415740966797,0.09917791187763214,0.2849821448326111,0.4794687032699585,0.437712162733078,0.23105984926223755,0.1753305047750473,0.1541614532470703,0.2075120061635971
gps,0.2518748939037323,0.07495709508657455,0.31783562898635864,1.0,0.5276874303817749,0.23210853338241577,0.333238422870636,0.2215835303068161,0.1711064726114273
devices,0.2216251939535141,0.0916556790471077,0.40419480204582214,0.5276874303817749,1.0000001192092896,0.30548763275146484,0.18831020593643188,0.0612153597176075,0.10574188083410263
and,0.31309178471565247,0.1568450778722763,0.2964407801628113,0.19629047811031342,0.22865693271160126,0.48971283435821533,0.20491088926792145,0.2984853982925415,0.20544172823429108
programs,0.23178155720233917,0.055588871240615845,0.2844081521034241,0.28536751866340637,0.38361334800720215,0.23389451205730438,0.17523299157619476,0.10597654432058334,0.16452431678771973
like,0.4320242702960968,0.15135444700717926,0.3347610533237457,0.15509824454784393,0.2531772553920746,0.35482415556907654,0.11511728912591934,0.13772796094417572,0.3268813192844391
google,0.22121621668338776,0.07108895480632782,0.20921333134174347,0.36856257915496826,0.25671565532684326,0.18934260308742523,0.3016655147075653,0.1050749346613884,0.33158186078071594
earth,0.25883176922798157,0.15620039403438568,0.20865119993686676,0.34951961040496826,0.20142385363578796,0.2486501932144165,0.2020764797925949,0.3265354335308075,0.17717236280441284
",",0.3087472915649414,0.23060214519500732,0.28387847542762756,0.18558256328105927,0.20052815973758698,0.44245919585227966,0.188267782330513,0.24265161156654358,0.31091248989105225
members,0.16873176395893097,0.22999589145183563,0.11661791801452637,0.12653324007987976,0.15394145250320435,0.26617446541786194,0.08454073220491409,0.1545259952545166,0.10212311148643494
of,0.33290785551071167,0.22602348029613495,0.2738003432750702,0.08580594509840012,0.1820836365222931,0.41548454761505127,0.22708505392074585,0.2730972170829773,0.1826142966747284
the,0.42745697498321533,0.280248761177063,0.2830192744731903,0.16737867891788483,0.2281099557876587,0.535392165184021,0.2702621817588806,0.3190511167049408,0.22068053483963013
trio,0.16976548731327057,0.269576758146286,0.17691004276275635,0.08908873796463013,0.1906179040670395,0.18066178262233734,0.029306454584002495,0.09079630672931671,0.10676770657300949
tribe,0.2215883582830429,1.0000001192092896,0.05939368158578873,0.07495709508657455,0.0916556790471077,0.2397671937942505,0.18400661647319794,0.3084590435028076,0.11037874221801758
",",0.3087472915649414,0.23060214519500732,0.28387847542762756,0.18558256328105927,0.20052815973758698,0.44245919585227966,0.188267782330513,0.24265161156654358,0.31091248989105225
