,what,network,assumed,the,rights,to,the,miss,america,pageant,in,2006,?
abc,0.1317344456911087,0.4295894205570221,0.07698851823806763,0.2068762183189392,0.16774038970470428,0.1762417107820511,0.2068762183189392,0.19186492264270782,0.24776576459407806,0.25870591402053833,0.1697147786617279,-0.0046123359352350235,0.19065172970294952
has,0.20338068902492523,0.18401741981506348,0.13841432332992554,0.4177538752555847,0.193097785115242,0.3619994819164276,0.4177538752555847,0.15638139843940735,0.1613205373287201,0.1801464557647705,0.4173259735107422,0.09697135537862778,0.15994466841220856
also,0.42747777700424194,0.25186610221862793,0.1666765958070755,0.6021018624305725,0.2657243609428406,0.5348826050758362,0.6021018624305725,0.1653832048177719,0.2576046884059906,0.22142453491687775,0.5073733329772949,0.0712810605764389,0.21848613023757935
aired,0.1692323386669159,0.48115918040275574,0.16970360279083252,0.2525516450405121,0.15189313888549805,0.18075093626976013,0.2525516450405121,0.17047132551670074,0.26273128390312195,0.2638021409511566,0.21521411836147308,0.026051610708236694,0.22283338010311127
the,0.42745697498321533,0.27187061309814453,0.25453677773475647,1.0,0.2579100430011749,0.535392165184021,1.0,0.15176062285900116,0.37090015411376953,0.21963746845722198,0.6662389636039734,0.11294147372245789,0.22068053483963013
miss,0.15348751842975616,0.11877933889627457,0.1625870317220688,0.15176062285900116,0.0935191661119461,0.13942687213420868,0.15176062285900116,1.0000001192092896,0.27834784984588623,0.5824183821678162,0.2159871757030487,-0.07733546942472458,0.21144157648086548
america,0.2517423629760742,0.2160404473543167,0.1975375860929489,0.37090015411376953,0.17433477938175201,0.2636699676513672,0.37090015411376953,0.27834784984588623,0.9999998807907104,0.29138845205307007,0.3098583221435547,0.01015784963965416,0.19333907961845398
pageant,0.18117766082286835,0.23885416984558105,0.11041627824306488,0.21963746845722198,0.16077464818954468,0.20586813986301422,0.21963746845722198,0.5824183821678162,0.29138845205307007,0.9999999403953552,0.3041134774684906,-0.06780697405338287,0.24307981133460999
from,0.2737620174884796,0.13736474514007568,0.22671499848365784,0.40150508284568787,0.159982830286026,0.4069952368736267,0.40150508284568787,0.07609915733337402,0.1968681514263153,0.11020585149526596,0.4274188280105591,0.08338478952646255,0.19969791173934937
1954,-0.028202006593346596,0.071859210729599,-0.061884306371212006,0.05573182925581932,-0.014551148749887943,0.0212570670992136,0.05573182925581932,0.01432157214730978,0.03340722993016243,0.06944293528795242,0.06289621442556381,0.05012620612978935,-0.028866952285170555
to,0.455847829580307,0.25940340757369995,0.24275384843349457,0.535392165184021,0.2570022940635681,1.0,0.535392165184021,0.13942687213420868,0.2636699676513672,0.20586813986301422,0.45010748505592346,0.012056082487106323,0.29463258385658264
1956,0.1479085087776184,0.053689029067754745,0.1460774689912796,0.0733926072716713,0.2074805349111557,0.13171257078647614,0.0733926072716713,0.08006269484758377,0.08455885201692581,0.03673398494720459,0.09307657182216644,0.02534126490354538,0.12402702867984772
",",0.3087472915649414,0.1932937651872635,0.22927714884281158,0.4933079481124878,0.2595706284046173,0.44245919585227966,0.4933079481124878,0.25264912843704224,0.253568559885025,0.2723195254802704,0.5201468467712402,-0.14199310541152954,0.31091248989105225
1997,0.09033724665641785,-0.061424847692251205,-0.029858028516173363,0.017451778054237366,-0.018273578956723213,0.07039770483970642,0.017451778054237366,-0.13935458660125732,-0.11297012120485306,-0.14685048162937164,-0.06112837791442871,-0.12425822019577026,0.03663474693894386
to,0.455847829580307,0.25940340757369995,0.24275384843349457,0.535392165184021,0.2570022940635681,1.0,0.535392165184021,0.13942687213420868,0.2636699676513672,0.20586813986301422,0.45010748505592346,0.012056082487106323,0.29463258385658264
2005,0.0704459398984909,-0.008886541239917278,0.03056112490594387,0.037273142486810684,0.03541730344295502,0.018235651776194572,0.037273142486810684,-0.06863687187433243,0.017856167629361153,-0.0554058775305748,0.009931974112987518,-0.1310150921344757,0.10709824413061142
(,0.2411840260028839,0.20757101476192474,0.2208380401134491,0.33289089798927307,0.17563141882419586,0.30882009863853455,0.33289089798927307,0.15335001051425934,0.20632019639015198,0.1962532252073288,0.3087427020072937,-0.14470233023166656,0.40561532974243164
with,0.2464839518070221,0.2153671681880951,0.18718820810317993,0.4223487675189972,0.147300586104393,0.4239959120750427,0.4223487675189972,0.10782970488071442,0.21664398908615112,0.11977428942918777,0.4080928862094879,0.034656625241041183,0.2433311939239502
the,0.42745697498321533,0.27187061309814453,0.25453677773475647,1.0,0.2579100430011749,0.535392165184021,1.0,0.15176062285900116,0.37090015411376953,0.21963746845722198,0.6662389636039734,0.11294147372245789,0.22068053483963013
television,0.19838058948516846,0.4371747076511383,0.10970920324325562,0.24569597840309143,0.18617643415927887,0.1933557242155075,0.24569597840309143,0.2089710682630539,0.24823608994483948,0.34953317046165466,0.2689782977104187,0.004336733371019363,0.16825827956199646
rights,0.2386135458946228,0.20692794024944305,0.09344542026519775,0.2579100430011749,0.9999999403953552,0.2570022940635681,0.2579100430011749,0.0935191661119461,0.17433477938175201,0.16077464818954468,0.17772755026817322,-0.006592086516320705,0.21814769506454468
being,0.3760843276977539,0.1802247017621994,0.293224036693573,0.419739305973053,0.26424241065979004,0.4514104127883911,0.419739305973053,0.18623709678649902,0.20439445972442627,0.23163628578186035,0.33162933588027954,0.07228302210569382,0.26743772625923157
assumed,0.3064858615398407,0.10139896720647812,1.0,0.25453677773475647,0.09344542026519775,0.24275384843349457,0.25453677773475647,0.1625870317220688,0.1975375860929489,0.11041627824306488,0.20372121036052704,0.08032509684562683,0.2463492453098297
by,0.2455483376979828,0.214903324842453,0.23025378584861755,0.4408751428127289,0.19225828349590302,0.33534231781959534,0.4408751428127289,0.10125462710857391,0.20156630873680115,0.12733511626720428,0.370934396982193,0.0743151530623436,0.17966607213020325
cable,0.14582780003547668,0.5700490474700928,0.03979147970676422,0.2599749267101288,0.15540388226509094,0.1879989206790924,0.2599749267101288,0.1054035946726799,0.2519199550151825,0.21528349816799164,0.17584200203418732,0.0705338716506958,0.13993921875953674
channel,0.20295917987823486,0.4945397973060608,0.1255938708782196,0.2860044836997986,0.19139546155929565,0.21299093961715698,0.2860044836997986,0.09174805879592896,0.20301826298236847,0.20663490891456604,0.210372194647789,-0.008566063828766346,0.20176179707050323
tlc,0.15246693789958954,0.30512896180152893,0.08064375817775726,0.23917782306671143,0.11567666381597519,0.19048520922660828,0.23917782306671143,0.25637713074684143,0.1967339962720871,0.2036900669336319,0.21207015216350555,0.07279256731271744,0.13938426971435547
in,0.30808621644973755,0.19496823847293854,0.20372121036052704,0.6662389636039734,0.17772755026817322,0.45010748505592346,0.6662389636039734,0.2159871757030487,0.3098583221435547,0.3041134774684906,1.0,-0.04600946605205536,0.20430970191955566
2006,-0.0008085015579126775,0.03789432346820831,0.08032509684562683,0.11294147372245789,-0.006592086516320705,0.012056082487106323,0.11294147372245789,-0.07733546942472458,0.01015784963965416,-0.06780697405338287,-0.04600946605205536,1.0,-0.1194092258810997
",",0.3087472915649414,0.1932937651872635,0.22927714884281158,0.4933079481124878,0.2595706284046173,0.44245919585227966,0.4933079481124878,0.25264912843704224,0.253568559885025,0.2723195254802704,0.5201468467712402,-0.14199310541152954,0.31091248989105225
when,0.4700249433517456,0.19011130928993225,0.28750330209732056,0.5091903209686279,0.18668439984321594,0.5423505902290344,0.5091903209686279,0.12470243126153946,0.21924224495887756,0.18371212482452393,0.4431333839893341,0.023816242814064026,0.22841128706932068
the,0.42745697498321533,0.27187061309814453,0.25453677773475647,1.0,0.2579100430011749,0.535392165184021,1.0,0.15176062285900116,0.37090015411376953,0.21963746845722198,0.6662389636039734,0.11294147372245789,0.22068053483963013
pageant,0.18117766082286835,0.23885416984558105,0.11041627824306488,0.21963746845722198,0.16077464818954468,0.20586813986301422,0.21963746845722198,0.5824183821678162,0.29138845205307007,0.9999999403953552,0.3041134774684906,-0.06780697405338287,0.24307981133460999
moved,0.20601840317249298,0.14462128281593323,0.15146085619926453,0.32031023502349854,0.20789316296577454,0.2918468713760376,0.32031023502349854,0.15028169751167297,0.18461450934410095,0.1624019593000412,0.3323737680912018,-0.09210281819105148,0.15112607181072235
from,0.2737620174884796,0.13736474514007568,0.22671499848365784,0.40150508284568787,0.159982830286026,0.4069952368736267,0.40150508284568787,0.07609915733337402,0.1968681514263153,0.11020585149526596,0.4274188280105591,0.08338478952646255,0.19969791173934937
