,what,year,did,two,of,ghengis,khan,and,börte,'s,sons,die,?
börte,0.26751965284347534,0.18362167477607727,0.1862763911485672,0.17361567914485931,0.2801446318626404,0.3368605673313141,0.25507286190986633,0.22556085884571075,1.0,0.09438558667898178,0.22274290025234222,0.2707061171531677,0.2609442472457886
had,0.23849567770957947,0.29678046703338623,0.540525496006012,0.41487234830856323,0.37755560874938965,0.23726290464401245,0.1740240752696991,0.3872550129890442,0.20829665660858154,-0.004401352722197771,0.3197062909603119,0.17882996797561646,0.20728366076946259
three,0.24888746440410614,0.2806354761123657,0.2043166607618332,0.8359169363975525,0.3844621181488037,0.23209603130817413,0.11997674405574799,0.3826501965522766,0.18547029793262482,0.03946888819336891,0.27134495973587036,0.1911076307296753,0.20928427577018738
more,0.3484537899494171,0.2547462582588196,0.2803135812282562,0.36959168314933777,0.30478984117507935,0.1869850754737854,0.1011371836066246,0.39880692958831787,0.21692456305027008,0.032942235469818115,0.1632988154888153,0.21971631050109863,0.27894994616508484
sons,0.1335936188697815,0.14387942850589752,0.19547776877880096,0.294822633266449,0.17722462117671967,0.2789103090763092,0.2521197199821472,0.22999194264411926,0.22274290025234222,-0.033577390015125275,1.0,0.22289595007896423,0.13006451725959778
",",0.3087472915649414,0.28560417890548706,0.3015086054801941,0.35859420895576477,0.4946078956127167,0.3502814471721649,0.19700400531291962,0.6633074283599854,0.30557334423065186,-0.0016132977325469255,0.29804715514183044,0.23915338516235352,0.31091248989105225
chagatai,0.15011419355869293,0.16037823259830475,0.10563245415687561,0.20921213924884796,0.29625993967056274,0.4342893064022064,0.39546430110931396,0.2582676410675049,0.3179619610309601,0.001981237204745412,0.2263251543045044,0.12322328984737396,0.1902039349079132
(,0.2411840260028839,0.2556702494621277,0.18979617953300476,0.2169162482023239,0.35032153129577637,0.2274685949087143,0.1773909628391266,0.4862271547317505,0.3193424940109253,0.0012731997994706035,0.15359754860401154,0.11772811412811279,0.40561532974243164
1187—1241,0.07121225446462631,0.01701156422495842,0.13714788854122162,0.07611546665430069,0.11511966586112976,0.16835825145244598,0.0775931105017662,0.13287802040576935,0.20794907212257385,0.06141505017876625,0.09048684686422348,0.1900995671749115,0.05855670943856239
),0.26259949803352356,0.24282371997833252,0.18584993481636047,0.24161455035209656,0.3680361211299896,0.23886603116989136,0.2105041742324829,0.4961937665939331,0.3353121876716614,0.021107977256178856,0.1573849618434906,0.12597857415676117,0.42300865054130554
",",0.3087472915649414,0.28560417890548706,0.3015086054801941,0.35859420895576477,0.4946078956127167,0.3502814471721649,0.19700400531291962,0.6633074283599854,0.30557334423065186,-0.0016132977325469255,0.29804715514183044,0.23915338516235352,0.31091248989105225
ögedei,0.23134218156337738,0.24656665325164795,0.2727532982826233,0.2077229619026184,0.31509923934936523,0.45028209686279297,0.43523725867271423,0.26411235332489014,0.3619779050350189,-0.005691892933100462,0.3486875593662262,0.24236232042312622,0.20177854597568512
(,0.2411840260028839,0.2556702494621277,0.18979617953300476,0.2169162482023239,0.35032153129577637,0.2274685949087143,0.1773909628391266,0.4862271547317505,0.3193424940109253,0.0012731997994706035,0.15359754860401154,0.11772811412811279,0.40561532974243164
1189—1241,0.007633026689291,-0.006759156472980976,0.1032223105430603,0.03334950655698776,0.037393003702163696,0.09534955024719238,0.08605194836854935,0.11532192677259445,0.1263573318719864,0.0546443872153759,-0.017030738294124603,0.1564142405986786,0.05494954064488411
),0.26259949803352356,0.24282371997833252,0.18584993481636047,0.24161455035209656,0.3680361211299896,0.23886603116989136,0.2105041742324829,0.4961937665939331,0.3353121876716614,0.021107977256178856,0.1573849618434906,0.12597857415676117,0.42300865054130554
",",0.3087472915649414,0.28560417890548706,0.3015086054801941,0.35859420895576477,0.4946078956127167,0.3502814471721649,0.19700400531291962,0.6633074283599854,0.30557334423065186,-0.0016132977325469255,0.29804715514183044,0.23915338516235352,0.31091248989105225
and,0.31309178471565247,0.2506658732891083,0.34479495882987976,0.4671151638031006,0.5116966962814331,0.29734885692596436,0.22885166108608246,1.0,0.22556085884571075,0.06895173341035843,0.22999194264411926,0.15050403773784637,0.20544172823429108
tolui,0.18945196270942688,0.16925504803657532,0.1567467600107193,0.21999800205230713,0.24690158665180206,0.47154659032821655,0.33795106410980225,0.3073253631591797,0.4482001066207886,0.007752082776278257,0.26768049597740173,0.1410728245973587,0.18748058378696442
(,0.2411840260028839,0.2556702494621277,0.18979617953300476,0.2169162482023239,0.35032153129577637,0.2274685949087143,0.1773909628391266,0.4862271547317505,0.3193424940109253,0.0012731997994706035,0.15359754860401154,0.11772811412811279,0.40561532974243164
1190–1232,0.20873688161373138,0.06329712271690369,0.19229769706726074,0.19158415496349335,0.1341240257024765,0.15117621421813965,0.05625881627202034,0.24147000908851624,0.14947117865085602,0.09006352722644806,0.1197911947965622,0.2880440354347229,0.14254438877105713
),0.26259949803352356,0.24282371997833252,0.18584993481636047,0.24161455035209656,0.3680361211299896,0.23886603116989136,0.2105041742324829,0.4961937665939331,0.3353121876716614,0.021107977256178856,0.1573849618434906,0.12597857415676117,0.42300865054130554
.,0.3567904531955719,0.32538118958473206,0.35288307070732117,0.3524959683418274,0.5352458953857422,0.2829025685787201,0.19819748401641846,0.588965117931366,0.31827959418296814,-0.003708066651597619,0.21456153690814972,0.2658497095108032,0.4130953550338745
