,what,reconstructions,supported,the,1999,paper,'s,information,?
the,0.42745697498321533,0.31834158301353455,0.27276676893234253,1.0,0.06755080074071884,0.2077420949935913,-0.01540423184633255,0.3143121302127838,0.22068053483963013
mbh99,0.07808590680360794,0.17896917462348938,0.09745956212282181,0.13540832698345184,0.09787773340940475,0.18640261888504028,0.0289653018116951,0.13219238817691803,0.09168721735477448
finding,0.3211895525455475,0.19397051632404327,0.18165521323680878,0.2933822274208069,0.04252161458134651,0.2602688670158386,-0.07612521201372147,0.29593315720558167,0.18021653592586517
was,0.22111038863658905,0.22449557483196259,0.3039414882659912,0.48711544275283813,0.08547663688659668,0.18939059972763062,0.008974763564765453,0.15183912217617035,0.18412111699581146
supported,0.16402992606163025,0.3444932699203491,1.0000001192092896,0.27276676893234253,0.024569537490606308,0.1783023625612259,-0.053373903036117554,0.17655012011528015,0.11593948304653168
by,0.2455483376979828,0.1642511934041977,0.29367026686668396,0.4408751428127289,0.0028676956426352262,0.20666080713272095,-0.010884488001465797,0.19285432994365692,0.17966607213020325
cited,0.28291428089141846,0.25524237751960754,0.3638182282447815,0.2582094371318817,0.037868939340114594,0.20893244445323944,-0.12636670470237732,0.34663626551628113,0.32995760440826416
reconstructions,0.26085397601127625,0.9999999403953552,0.3444932699203491,0.31834158301353455,-0.006640746723860502,0.23186975717544556,0.04508467763662338,0.25984421372413635,0.16968035697937012
by,0.2455483376979828,0.1642511934041977,0.29367026686668396,0.4408751428127289,0.0028676956426352262,0.20666080713272095,-0.010884488001465797,0.19285432994365692,0.17966607213020325
jones,0.18502666056156158,0.1441066861152649,0.029027890413999557,0.24446700513362885,-0.0626254454255104,0.09109474718570709,0.03993193805217743,0.1572611927986145,0.1838836669921875
et,0.11868266761302948,0.14018666744232178,0.19315218925476074,0.16372482478618622,0.03032694384455681,0.09728369116783142,0.05835132300853729,0.16566510498523712,0.10508361458778381
al,0.12860317528247833,0.12319695949554443,0.18052060902118683,0.18736925721168518,0.08702402561903,0.09931807219982147,-0.004072488751262426,0.08896902203559875,0.12356415390968323
.,0.3567904531955719,0.28516528010368347,0.29144924879074097,0.5934505462646484,0.037616800516843796,0.2429187148809433,-0.003708066651597619,0.2787359356880188,0.4130953550338745
,what,reconstructions,supported,the,1999,paper,'s,information,?
the,0.42745697498321533,0.31834158301353455,0.27276676893234253,1.0,0.06755080074071884,0.2077420949935913,-0.01540423184633255,0.3143121302127838,0.22068053483963013
jones,0.18502666056156158,0.1441066861152649,0.029027890413999557,0.24446700513362885,-0.0626254454255104,0.09109474718570709,0.03993193805217743,0.1572611927986145,0.1838836669921875
et,0.11868266761302948,0.14018666744232178,0.19315218925476074,0.16372482478618622,0.03032694384455681,0.09728369116783142,0.05835132300853729,0.16566510498523712,0.10508361458778381
al,0.12860317528247833,0.12319695949554443,0.18052060902118683,0.18736925721168518,0.08702402561903,0.09931807219982147,-0.004072488751262426,0.08896902203559875,0.12356415390968323
.,0.3567904531955719,0.28516528010368347,0.29144924879074097,0.5934505462646484,0.037616800516843796,0.2429187148809433,-0.003708066651597619,0.2787359356880188,0.4130953550338745
,what,reconstructions,supported,the,1999,paper,'s,information,?
the,0.42745697498321533,0.31834158301353455,0.27276676893234253,1.0,0.06755080074071884,0.2077420949935913,-0.01540423184633255,0.3143121302127838,0.22068053483963013
schematic,0.3015092611312866,0.29815220832824707,0.12078173458576202,0.24158602952957153,0.024709317833185196,0.3026478886604309,-0.05796094611287117,0.3300834894180298,0.17162476480007172
was,0.22111038863658905,0.22449557483196259,0.3039414882659912,0.48711544275283813,0.08547663688659668,0.18939059972763062,0.008974763564765453,0.15183912217617035,0.18412111699581146
not,0.5449194312095642,0.24744795262813568,0.30957934260368347,0.4310511648654938,-0.02724514901638031,0.24460892379283905,0.002583299996331334,0.30015695095062256,0.41942933201789856
an,0.2821882665157318,0.17433498799800873,0.21082468330860138,0.4207492768764496,-0.0016907737590372562,0.10823700577020645,0.025255560874938965,0.21876345574855804,0.19793890416622162
actual,0.43790674209594727,0.27863049507141113,0.1649436354637146,0.40616878867149353,0.036329593509435654,0.21173208951950073,-0.01013685017824173,0.34372490644454956,0.20405827462673187
plot,0.27055343985557556,0.18010713160037994,0.16527694463729858,0.22070206701755524,0.04833730310201645,0.14637380838394165,-0.012369353324174881,0.2519429624080658,0.1946352869272232
of,0.33290785551071167,0.30999359488487244,0.30414751172065735,0.733189046382904,0.06211002916097641,0.19050662219524384,-0.03817026689648628,0.2860049605369568,0.1826142966747284
data,0.23453554511070251,0.2129042148590088,0.1696193367242813,0.20546740293502808,0.03664156422019005,0.192968487739563,0.04192065820097923,0.5131506323814392,0.17909851670265198
",",0.3087472915649414,0.2596146762371063,0.2703314423561096,0.4933079481124878,0.04005637392401695,0.2304661124944687,-0.0016132977325469255,0.297139048576355,0.31091248989105225
and,0.31309178471565247,0.23602545261383057,0.3113573491573334,0.5171257257461548,-0.09923774003982544,0.21158236265182495,0.06895173341035843,0.28268665075302124,0.20544172823429108
was,0.22111038863658905,0.22449557483196259,0.3039414882659912,0.48711544275283813,0.08547663688659668,0.18939059972763062,0.008974763564765453,0.15183912217617035,0.18412111699581146
based,0.274813175201416,0.20161500573158264,0.29717373847961426,0.29860720038414,-0.019022740423679352,0.1531946212053299,0.06600074470043182,0.20863652229309082,0.134929820895195
on,0.34226128458976746,0.2382330447435379,0.2748899757862091,0.5107308030128479,0.03319690749049187,0.22461584210395813,0.0026888418942689896,0.23195485770702362,0.2714994251728058
a,0.3320399522781372,0.23709221184253693,0.21957339346408844,0.5829201340675354,0.01720399782061577,0.25947141647338867,0.04866964742541313,0.2867805063724518,0.23916715383529663
diagram,0.243132546544075,0.22105860710144043,0.04927675426006317,0.23597903549671173,0.04344978928565979,0.2283923476934433,-0.00914034340530634,0.24989652633666992,0.1382811963558197
of,0.33290785551071167,0.30999359488487244,0.30414751172065735,0.733189046382904,0.06211002916097641,0.19050662219524384,-0.03817026689648628,0.2860049605369568,0.1826142966747284
temperatures,0.2523624897003174,0.17667853832244873,0.11039002984762192,0.27544233202934265,0.023412346839904785,0.1960083693265915,0.06270705163478851,0.20107097923755646,0.1895846426486969
in,0.30808621644973755,0.2827760875225067,0.22075232863426208,0.6662389636039734,-0.0026030326262116432,0.18605142831802368,-0.037580832839012146,0.20385970175266266,0.20430970191955566
central,0.17723965644836426,0.20388448238372803,0.16331477463245392,0.3417201042175293,0.03988698124885559,0.06092904508113861,-0.03171226754784584,0.2150341123342514,0.14787602424621582
england,0.21399550139904022,0.18383698165416718,0.14301641285419464,0.28280043601989746,-0.008698257617652416,0.13371500372886658,-0.056369803845882416,0.146956205368042,0.13436897099018097
",",0.3087472915649414,0.2596146762371063,0.2703314423561096,0.4933079481124878,0.04005637392401695,0.2304661124944687,-0.0016132977325469255,0.297139048576355,0.31091248989105225
with,0.2464839518070221,0.19988146424293518,0.2909988462924957,0.4223487675189972,-0.07424727082252502,0.2179279774427414,-0.04624466598033905,0.21308501064777374,0.2433311939239502
temperatures,0.2523624897003174,0.17667853832244873,0.11039002984762192,0.27544233202934265,0.023412346839904785,0.1960083693265915,0.06270705163478851,0.20107097923755646,0.1895846426486969
increased,0.1599731743335724,0.29097771644592285,0.29910531640052795,0.3188653886318207,-0.04950423911213875,0.1088530570268631,-0.021304117515683174,0.16760088503360748,0.09587585180997849
on,0.34226128458976746,0.2382330447435379,0.2748899757862091,0.5107308030128479,0.03319690749049187,0.22461584210395813,0.0026888418942689896,0.23195485770702362,0.2714994251728058
the,0.42745697498321533,0.31834158301353455,0.27276676893234253,1.0,0.06755080074071884,0.2077420949935913,-0.01540423184633255,0.3143121302127838,0.22068053483963013
basis,0.27055948972702026,0.2676938772201538,0.27735230326652527,0.2758672833442688,-0.005033895373344421,0.2820831835269928,0.01343035139143467,0.3313762843608856,0.14255106449127197
of,0.33290785551071167,0.30999359488487244,0.30414751172065735,0.733189046382904,0.06211002916097641,0.19050662219524384,-0.03817026689648628,0.2860049605369568,0.1826142966747284
documentary,0.24060073494911194,0.1926526576280594,0.13657881319522858,0.26381126046180725,-0.02528666891157627,0.20466913282871246,0.038289979100227356,0.26252037286758423,0.20526576042175293
evidence,0.33425694704055786,0.3438141644001007,0.2703452706336975,0.25031140446662903,0.03323681652545929,0.19332197308540344,0.06192260608077049,0.44327160716056824,0.24151235818862915
