,what,group,killed,thousands,of,huguenots,?
in,0.30808621644973755,0.2304753065109253,0.1957504004240036,0.26048728823661804,0.5696388483047485,0.25916293263435364,0.20430970191955566
what,0.9999998807907104,0.2114069163799286,0.1862335354089737,0.2399357110261917,0.33290785551071167,0.22128188610076904,0.5051238536834717
became,0.1434093862771988,0.1589025855064392,0.2345014363527298,0.10468597710132599,0.3638904094696045,0.22311078011989594,0.11374033987522125
known,0.20381177961826324,0.24512334167957306,0.2004934847354889,0.14949142932891846,0.35814476013183594,0.12804274260997772,0.18314571678638458
as,0.31749409437179565,0.2519444227218628,0.18260051310062408,0.21497368812561035,0.3886612355709076,0.14947842061519623,0.27043893933296204
the,0.42745697498321533,0.30795547366142273,0.23115427792072296,0.2934577763080597,0.733189046382904,0.30745792388916016,0.22068053483963013
st.,0.10219959169626236,0.10253839194774628,0.17562158405780792,0.10855915397405624,0.19887582957744598,0.18535855412483215,0.13592876493930817
bartholomew,0.212022602558136,0.18903809785842896,0.24817606806755066,0.24393883347511292,0.2951948940753937,0.41406622529029846,0.1647033840417862
's,0.02692362666130066,-0.01093533169478178,-0.004342961125075817,0.03356398269534111,-0.03817026689648628,-0.00021272523736115545,-0.023395681753754616
day,0.2990210950374603,0.1583845615386963,0.25618505477905273,0.2698172330856323,0.2934032380580902,0.22473984956741333,0.2141837179660797
massacre,0.16681800782680511,0.17561879754066467,0.47948741912841797,0.35882148146629333,0.20526865124702454,0.3301491439342499,0.17941462993621826
of,0.33290785551071167,0.25542253255844116,0.2589981257915497,0.27601075172424316,1.0,0.27577435970306396,0.1826142966747284
24,0.01621486060321331,-0.07205607742071152,-0.016550442203879356,-0.07335542887449265,-0.02356693148612976,0.0023588326293975115,0.016154835000634193
august,0.2305731326341629,0.07541144639253616,0.21288450062274933,0.14986737072467804,0.1712995171546936,0.21506687998771667,0.3006744682788849
–,0.13008765876293182,0.120640829205513,0.1801729053258896,0.14907817542552948,0.2799985408782959,0.16854867339134216,0.2714554965496063
3,0.04473085701465607,0.012132834643125534,-0.03352418914437294,0.030462654307484627,0.046857766807079315,0.03741195797920227,0.005975271109491587
october,0.24927909672260284,0.10817711800336838,0.19111323356628418,0.11260895431041718,0.20846129953861237,0.20866838097572327,0.29706719517707825
1572,-0.19944073259830475,-0.0006690775044262409,-0.10169246792793274,-0.05081802234053612,-0.10958623141050339,-0.06832699477672577,-0.02011251635849476
",",0.3087472915649414,0.2809832692146301,0.3006497025489807,0.2317916750907898,0.4946078956127167,0.23394492268562317,0.31091248989105225
catholics,0.2566930949687958,0.17347772419452667,0.2399187535047531,0.2144133448600769,0.3054737448692322,0.5178009867668152,0.17714823782444
killed,0.1862335354089737,0.2211970090866089,0.9999998807907104,0.28858932852745056,0.2589981257915497,0.25953033566474915,0.17928971350193024
thousands,0.2399357110261917,0.23338837921619415,0.28858932852745056,1.0000001192092896,0.27601075172424316,0.2827889323234558,0.15520451962947845
of,0.33290785551071167,0.25542253255844116,0.2589981257915497,0.27601075172424316,1.0,0.27577435970306396,0.1826142966747284
huguenots,0.22128188610076904,0.16665033996105194,0.25953033566474915,0.2827889323234558,0.27577435970306396,1.0,0.16010338068008423
in,0.30808621644973755,0.2304753065109253,0.1957504004240036,0.26048728823661804,0.5696388483047485,0.25916293263435364,0.20430970191955566
paris,0.12914370000362396,0.11544360965490341,0.17527250945568085,0.17937448620796204,0.19470684230327606,0.43926095962524414,0.1491217315196991
.,0.3567904531955719,0.27268800139427185,0.2666846215724945,0.20701119303703308,0.5352458953857422,0.2170230895280838,0.4130953550338745
