,why,did,cbs,turn,down,the,pitch,for,the,untouchables,?
in,0.23227278888225555,0.2593238651752472,0.17584392428398132,0.1769595742225647,0.2321847528219223,0.6662389636039734,0.15756244957447052,0.4322226941585541,0.6662389636039734,0.18062914907932281,0.20430970191955566
late,0.13468781113624573,0.27609187364578247,0.2876780033111572,0.198397696018219,0.22826655209064484,0.31481194496154785,0.04117436707019806,0.2018979787826538,0.31481194496154785,0.0935392752289772,0.11339222639799118
1958,0.05697373300790787,0.05006914213299751,-0.025672050192952156,0.2223680168390274,0.13553094863891602,0.1250157356262207,0.21366974711418152,0.048065897077322006,0.1250157356262207,0.04475848004221916,0.009362862445414066
",",0.2827242314815521,0.3015086054801941,0.18569420278072357,0.23215743899345398,0.23362469673156738,0.4933079481124878,0.12585867941379547,0.4464869201183319,0.4933079481124878,0.3070976436138153,0.31091248989105225
desilu,0.21493296325206757,0.20671305060386658,0.20101940631866455,0.22322486340999603,0.2172488272190094,0.37300193309783936,0.21815015375614166,0.24848216772079468,0.37300193309783936,0.2707822322845459,0.13460122048854828
productions,0.17717546224594116,0.19139394164085388,0.36295196413993835,0.1999259740114212,0.22405605018138885,0.2695383131504059,0.112327940762043,0.2502169609069824,0.2695383131504059,0.39099815487861633,0.22681239247322083
pitched,0.18200813233852386,0.18777267634868622,0.24118749797344208,0.18029865622520447,0.1692935824394226,0.21073074638843536,0.7738605737686157,0.2203381359577179,0.21073074638843536,0.18481561541557312,0.1639576405286789
its,0.2255094349384308,0.19922670722007751,0.18914800882339478,0.20710060000419617,0.20866182446479797,0.559237003326416,0.17111551761627197,0.2992613911628723,0.559237003326416,0.17017759382724762,0.15103481709957123
detective,0.1276368945837021,0.12745676934719086,0.31085899472236633,0.12477491796016693,0.11894529312849045,0.23875512182712555,0.14826126396656036,0.25730153918266296,0.23875512182712555,0.3873146176338196,0.12046074122190475
series,0.13985206186771393,0.15581852197647095,0.36656585335731506,0.19735971093177795,0.12258739769458771,0.31376904249191284,0.128427654504776,0.2715710699558258,0.31376904249191284,0.3745060861110687,0.1709602326154709
the,0.30742117762565613,0.34736719727516174,0.2283918708562851,0.3359498679637909,0.3325848877429962,1.0,0.1856583207845688,0.4739971458911896,1.0,0.25308316946029663,0.22068053483963013
untouchables,0.18701955676078796,0.13387489318847656,0.30645468831062317,0.16837842762470245,0.21117599308490753,0.25308316946029663,0.18544383347034454,0.25850409269332886,0.25308316946029663,1.0,0.1972702145576477
to,0.4100138247013092,0.4452643394470215,0.16981691122055054,0.3696671724319458,0.33130598068237305,0.535392165184021,0.2137259691953659,0.4451248347759247,0.535392165184021,0.15470634400844574,0.29463258385658264
cbs,0.16066789627075195,0.15259867906570435,1.0,0.20075547695159912,0.11289072036743164,0.2283918708562851,0.13557395339012146,0.20941372215747833,0.2283918708562851,0.30645468831062317,0.14594407379627228
;,0.031007718294858932,0.10727239400148392,0.03391492739319801,-0.06189173832535744,0.05124911293387413,0.09152708947658539,-0.023406460881233215,0.0293948445469141,0.09152708947658539,0.052779681980609894,0.10349778085947037
after,0.2580932378768921,0.30330467224121094,0.17707926034927368,0.21741698682308197,0.2562987804412842,0.4565047025680542,0.1219145655632019,0.3650246858596802,0.4565047025680542,0.14061231911182404,0.16608688235282898
that,0.5601457357406616,0.47518548369407654,0.19930922985076904,0.4204482138156891,0.3273264467716217,0.5473989248275757,0.2731403410434723,0.4137635827064514,0.5473989248275757,0.2386602759361267,0.32716336846351624
network,0.15709099173545837,0.08572790026664734,0.4702880382537842,0.1577046811580658,0.08726469427347183,0.27187061309814453,0.11512887477874756,0.253274142742157,0.27187061309814453,0.23995985090732574,0.17853789031505585
rejected,0.23983003199100494,0.3544847071170807,0.15133659541606903,0.20436517894268036,0.16373392939567566,0.2610994279384613,0.13861717283725739,0.2673434913158417,0.2610994279384613,0.1491030752658844,0.20434792339801788
the,0.30742117762565613,0.34736719727516174,0.2283918708562851,0.3359498679637909,0.3325848877429962,1.0,0.1856583207845688,0.4739971458911896,1.0,0.25308316946029663,0.22068053483963013
show,0.28966280817985535,0.1697595715522766,0.4361982047557831,0.23104612529277802,0.2024475336074829,0.319829523563385,0.1845785528421402,0.3141973614692688,0.319829523563385,0.31361088156700134,0.2520138621330261
because,0.5926418900489807,0.45674043893814087,0.15500275790691376,0.36966660618782043,0.2998494803905487,0.44596394896507263,0.2406882792711258,0.4676002562046051,0.44596394896507263,0.2028655707836151,0.2528740465641022
of,0.28464117646217346,0.2513895630836487,0.16151919960975647,0.23566555976867676,0.23279321193695068,0.733189046382904,0.16182073950767517,0.4185989499092102,0.733189046382904,0.22008490562438965,0.1826142966747284
its,0.2255094349384308,0.19922670722007751,0.18914800882339478,0.20710060000419617,0.20866182446479797,0.559237003326416,0.17111551761627197,0.2992613911628723,0.559237003326416,0.17017759382724762,0.15103481709957123
use,0.3804195523262024,0.32446643710136414,0.12657983601093292,0.34104859828948975,0.23284776508808136,0.34342584013938904,0.20556391775608063,0.47655582427978516,0.34342584013938904,0.20350663363933563,0.32795652747154236
of,0.28464117646217346,0.2513895630836487,0.16151919960975647,0.23566555976867676,0.23279321193695068,0.733189046382904,0.16182073950767517,0.4185989499092102,0.733189046382904,0.22008490562438965,0.1826142966747284
violence,0.20334644615650177,0.22152221202850342,0.10880520194768906,0.10738319158554077,0.15903207659721375,0.25465771555900574,0.09677756577730179,0.23735401034355164,0.25465771555900574,0.25181838870048523,0.20634515583515167
",",0.2827242314815521,0.3015086054801941,0.18569420278072357,0.23215743899345398,0.23362469673156738,0.4933079481124878,0.12585867941379547,0.4464869201183319,0.4933079481124878,0.3070976436138153,0.31091248989105225
desilu,0.21493296325206757,0.20671305060386658,0.20101940631866455,0.22322486340999603,0.2172488272190094,0.37300193309783936,0.21815015375614166,0.24848216772079468,0.37300193309783936,0.2707822322845459,0.13460122048854828
then,0.3774382174015045,0.303744375705719,0.2075256109237671,0.3693445026874542,0.31735244393348694,0.4297412931919098,0.1809558868408203,0.3392637073993683,0.4297412931919098,0.1713336706161499,0.2884598970413208
presented,0.18318670988082886,0.24108581244945526,0.30937063694000244,0.08152376860380173,0.10291039943695068,0.3251480758190155,0.11391157656908035,0.3429855704307556,0.3251480758190155,0.24114029109477997,0.17025142908096313
it,0.376611590385437,0.2993364930152893,0.1871480643749237,0.29578277468681335,0.2670116126537323,0.6251175999641418,0.24793440103530884,0.32171204686164856,0.6251175999641418,0.19902099668979645,0.25732165575027466
to,0.4100138247013092,0.4452643394470215,0.16981691122055054,0.3696671724319458,0.33130598068237305,0.535392165184021,0.2137259691953659,0.4451248347759247,0.535392165184021,0.15470634400844574,0.29463258385658264
abc,0.1355249583721161,0.13353709876537323,0.636570394039154,0.18125559389591217,0.07762625813484192,0.2068762183189392,0.10695667564868927,0.22510288655757904,0.2068762183189392,0.2923748791217804,0.19065172970294952
",",0.2827242314815521,0.3015086054801941,0.18569420278072357,0.23215743899345398,0.23362469673156738,0.4933079481124878,0.12585867941379547,0.4464869201183319,0.4933079481124878,0.3070976436138153,0.31091248989105225
which,0.4444611668586731,0.2750149369239807,0.18413257598876953,0.39216771721839905,0.36159706115722656,0.6521818041801453,0.2907640039920807,0.44095608592033386,0.6521818041801453,0.2732345759868622,0.25814583897590637
