,how,many,original,treaties,establishing,the,eu,protected,fundamental,rights,?
none,0.1746153086423874,0.29603591561317444,0.1915842890739441,0.1948310285806656,0.16553416848182678,0.2426847517490387,0.08576828986406326,0.15252748131752014,0.19899003207683563,0.13185934722423553,0.23397447168827057
of,0.2480744868516922,0.37253960967063904,0.30228546261787415,0.3281906247138977,0.31199124455451965,0.733189046382904,0.1579294353723526,0.1996251344680786,0.35164782404899597,0.19425496459007263,0.1826142966747284
the,0.33890387415885925,0.4335206151008606,0.4037000238895416,0.28970760107040405,0.3532279133796692,1.0,0.14126400649547577,0.23777265846729279,0.3078918755054474,0.2579100430011749,0.22068053483963013
original,0.18727099895477295,0.23366783559322357,1.0,0.13080929219722748,0.1943756639957428,0.4037000238895416,0.07754403352737427,0.143345907330513,0.2657493054866791,0.17328691482543945,0.17256900668144226
treaties,0.2684180736541748,0.2660229504108429,0.13080929219722748,0.9999998807907104,0.42077574133872986,0.28970760107040405,0.33172380924224854,0.20808839797973633,0.328833669424057,0.41511964797973633,0.1693580597639084
establishing,0.16012530028820038,0.19755566120147705,0.1943756639957428,0.42077574133872986,1.0,0.3532279133796692,0.20828616619110107,0.19877418875694275,0.3106311857700348,0.286927193403244,0.1457604318857193
the,0.33890387415885925,0.4335206151008606,0.4037000238895416,0.28970760107040405,0.3532279133796692,1.0,0.14126400649547577,0.23777265846729279,0.3078918755054474,0.2579100430011749,0.22068053483963013
european,0.123964823782444,0.24996337294578552,0.15318572521209717,0.30161675810813904,0.17645113170146942,0.3423081040382385,0.46552222967147827,0.15636926889419556,0.19743157923221588,0.20173384249210358,0.14560863375663757
union,0.1126161515712738,0.18863573670387268,0.07548900693655014,0.34353530406951904,0.21380549669265747,0.24421639740467072,0.3292396068572998,0.1461058408021927,0.24820305407047272,0.16317512094974518,0.07797172665596008
mention,0.24727605283260345,0.254589319229126,0.2800288796424866,0.29057958722114563,0.2708851397037506,0.33270570635795593,0.06023229658603668,0.20036613941192627,0.21344402432441711,0.23875504732131958,0.3557063043117523
protection,0.19216123223304749,0.22498148679733276,0.14394299685955048,0.30980750918388367,0.2963070571422577,0.26689648628234863,0.17842993140220642,0.7765159606933594,0.23729178309440613,0.42029616236686707,0.21348094940185547
for,0.3308170735836029,0.40972793102264404,0.2975997030735016,0.2837989032268524,0.20423443615436554,0.4739971458911896,0.17181243002414703,0.17431022226810455,0.2663809359073639,0.24823954701423645,0.264628142118454
fundamental,0.2837165892124176,0.31095248460769653,0.2657493054866791,0.328833669424057,0.3106311857700348,0.3078918755054474,0.11398086696863174,0.191864475607872,0.9999998807907104,0.30798760056495667,0.2011919468641281
rights,0.18843793869018555,0.245268315076828,0.17328691482543945,0.41511964797973633,0.286927193403244,0.2579100430011749,0.1998741328716278,0.37038812041282654,0.30798760056495667,0.9999999403953552,0.21814769506454468
.,0.3287222981452942,0.3974229395389557,0.275844931602478,0.21012970805168152,0.22280070185661316,0.5934505462646484,0.1552242487668991,0.25049394369125366,0.2681550085544586,0.24957291781902313,0.4130953550338745
