,what,kind,of,field,is,necessary,to,produce,a,magnet,effect,in,oxygen,molecules,?
that,0.6297725439071655,0.38161981105804443,0.41498205065727234,0.2216513603925705,0.3995479643344879,0.430902898311615,0.5436353087425232,0.3393034040927887,0.47537946701049805,0.2427070438861847,0.3663281202316284,0.435920387506485,0.2717767655849457,0.29100579023361206,0.32716336846351624
is,0.28837618231773376,0.3292753994464874,0.4854315221309662,0.17269009351730347,1.0,0.23441283404827118,0.42745086550712585,0.26456785202026367,0.658733606338501,0.2401144802570343,0.17614969611167908,0.5394441485404968,0.21825239062309265,0.20481984317302704,0.22961433231830597
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.27645614743232727,0.4691906273365021,0.2641502320766449,0.44245919585227966,0.19927625358104706,0.427140474319458,0.1786278635263443,0.2150653600692749,0.5201468467712402,0.21812842786312103,0.18639802932739258,0.31091248989105225
they,0.4431931674480438,0.29935595393180847,0.3426007330417633,0.19984279572963715,0.330102801322937,0.3407168686389923,0.5452046394348145,0.30373209714889526,0.3528250455856323,0.1992032527923584,0.22173674404621124,0.4330179989337921,0.2903599143028259,0.3393418490886688,0.2753053903579712
impart,0.30942395329475403,0.26544639468193054,0.19359053671360016,0.17252138257026672,0.22381456196308136,0.38008543848991394,0.33250170946121216,0.2385229617357254,0.2411593347787857,0.2650270164012909,0.2493191659450531,0.07481496036052704,0.23331858217716217,0.21665729582309723,0.16633979976177216
magnetic,0.19557252526283264,0.20486395061016083,0.16237565875053406,0.45372605323791504,0.17429937422275543,0.25599929690361023,0.23495057225227356,0.23070599138736725,0.19198331236839294,0.8411728143692017,0.2972445487976074,0.13499167561531067,0.25749415159225464,0.40906935930252075,0.10858146101236343
character,0.22097444534301758,0.2390691041946411,0.17163237929344177,0.15062527358531952,0.2699129581451416,0.1978253424167633,0.2381577491760254,0.14422062039375305,0.3054544925689697,0.19222374260425568,0.18024428188800812,0.20910993218421936,0.13562621176242828,0.150324285030365,0.18056271970272064
to,0.455847829580307,0.28460726141929626,0.41548454761505127,0.2647967040538788,0.42745086550712585,0.40437278151512146,1.0,0.30018290877342224,0.45503583550453186,0.2389988750219345,0.2521958649158478,0.45010748505592346,0.24193501472473145,0.2749134600162506,0.29463258385658264
oxygen,0.16781960427761078,0.20868785679340363,0.16848602890968323,0.12353071570396423,0.21825239062309265,0.31525373458862305,0.24193501472473145,0.2946869134902954,0.21662019193172455,0.24370773136615753,0.18079808354377747,0.1672476977109909,0.9999999403953552,0.5126039981842041,0.16786395013332367
when,0.4700249433517456,0.23813094198703766,0.3757161796092987,0.20833460986614227,0.3471449911594391,0.3026391863822937,0.5423505902290344,0.2970345914363861,0.44397395849227905,0.21075771749019623,0.2713961899280548,0.4431333839893341,0.28107690811157227,0.2873840630054474,0.22841128706932068
it,0.45803478360176086,0.2979188859462738,0.38761502504348755,0.1835959255695343,0.6328473687171936,0.2928282916545868,0.513711154460907,0.3009456396102905,0.5452592968940735,0.2825293242931366,0.2770649194717407,0.5130809545516968,0.26699385046958923,0.23047560453414917,0.25732165575027466
is,0.28837618231773376,0.3292753994464874,0.4854315221309662,0.17269009351730347,1.0,0.23441283404827118,0.42745086550712585,0.26456785202026367,0.658733606338501,0.2401144802570343,0.17614969611167908,0.5394441485404968,0.21825239062309265,0.20481984317302704,0.22961433231830597
in,0.30808621644973755,0.2349269688129425,0.5696388483047485,0.20553018152713776,0.5394441485404968,0.1872260719537735,0.45010748505592346,0.21160131692886353,0.539380669593811,0.18377093970775604,0.25150683522224426,1.0,0.1672476977109909,0.2197362184524536,0.20430970191955566
the,0.42745697498321533,0.2516445517539978,0.733189046382904,0.2105809599161148,0.5823672413825989,0.28364068269729614,0.535392165184021,0.23457570374011993,0.5829201340675354,0.20539982616901398,0.2865084111690521,0.6662389636039734,0.20428593456745148,0.2374771386384964,0.22068053483963013
presence,0.24428647756576538,0.23542112112045288,0.2917717397212982,0.14502476155757904,0.27154475450515747,0.3082742393016815,0.3215413987636566,0.2725878059864044,0.2469376027584076,0.190765380859375,0.3023269474506378,0.24880747497081757,0.30132555961608887,0.31084051728248596,0.08592845499515533
of,0.33290785551071167,0.2285657674074173,1.0,0.20410659909248352,0.4854315221309662,0.26879626512527466,0.41548454761505127,0.19541172683238983,0.5052502155303955,0.17198558151721954,0.24129827320575714,0.5696388483047485,0.16848602890968323,0.24428431689739227,0.1826142966747284
a,0.3320399522781372,0.42310917377471924,0.5052502155303955,0.2030690312385559,0.658733606338501,0.2920435667037964,0.45503583550453186,0.2757846415042877,1.0,0.2758888900279999,0.24771364033222198,0.539380669593811,0.21662019193172455,0.23147501051425934,0.23916715383529663
magnetic,0.19557252526283264,0.20486395061016083,0.16237565875053406,0.45372605323791504,0.17429937422275543,0.25599929690361023,0.23495057225227356,0.23070599138736725,0.19198331236839294,0.8411728143692017,0.2972445487976074,0.13499167561531067,0.25749415159225464,0.40906935930252075,0.10858146101236343
field,0.1825202852487564,0.15978498756885529,0.20410659909248352,1.0,0.17269009351730347,0.20910045504570007,0.2647967040538788,0.1603136956691742,0.2030690312385559,0.3729820251464844,0.2466512769460678,0.20553018152713776,0.12353071570396423,0.22501905262470245,0.11279727518558502
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.27645614743232727,0.4691906273365021,0.2641502320766449,0.44245919585227966,0.19927625358104706,0.427140474319458,0.1786278635263443,0.2150653600692749,0.5201468467712402,0.21812842786312103,0.18639802932739258,0.31091248989105225
because,0.46729007363319397,0.3928086459636688,0.4075504541397095,0.18433642387390137,0.4047735333442688,0.40728524327278137,0.5166091918945312,0.33812350034713745,0.42230045795440674,0.22122083604335785,0.3421708643436432,0.37423941493034363,0.28859952092170715,0.27393215894699097,0.2528740465641022
of,0.33290785551071167,0.2285657674074173,1.0,0.20410659909248352,0.4854315221309662,0.26879626512527466,0.41548454761505127,0.19541172683238983,0.5052502155303955,0.17198558151721954,0.24129827320575714,0.5696388483047485,0.16848602890968323,0.24428431689739227,0.1826142966747284
the,0.42745697498321533,0.2516445517539978,0.733189046382904,0.2105809599161148,0.5823672413825989,0.28364068269729614,0.535392165184021,0.23457570374011993,0.5829201340675354,0.20539982616901398,0.2865084111690521,0.6662389636039734,0.20428593456745148,0.2374771386384964,0.22068053483963013
spin,0.1801164597272873,0.1864890307188034,0.1442040354013443,0.1834397315979004,0.17025168240070343,0.09150265157222748,0.18981364369392395,0.2044086456298828,0.2491714507341385,0.3503159284591675,0.19100961089134216,0.16934846341609955,0.240091934800148,0.2162562906742096,0.10766658186912537
magnetic,0.19557252526283264,0.20486395061016083,0.16237565875053406,0.45372605323791504,0.17429937422275543,0.25599929690361023,0.23495057225227356,0.23070599138736725,0.19198331236839294,0.8411728143692017,0.2972445487976074,0.13499167561531067,0.25749415159225464,0.40906935930252075,0.10858146101236343
