,what,is,one,example,of,what,a,clinical,pharmacist,'s,duties,entail,?
the,0.42745697498321533,0.5823672413825989,0.5514441132545471,0.3755223751068115,0.733189046382904,0.42745697498321533,0.5829201340675354,0.24038995802402496,0.18885643780231476,-0.01540423184633255,0.21765777468681335,0.24650493264198303,0.22068053483963013
clinical,0.2278289943933487,0.17214488983154297,0.20580606162548065,0.1716557890176773,0.2760547399520874,0.2278289943933487,0.23365241289138794,1.0,0.41505175828933716,-0.09757839888334274,0.1593194454908371,0.1590828150510788,0.1678651124238968
pharmacist,0.19447070360183716,0.15192237496376038,0.21144258975982666,0.21505755186080933,0.18185114860534668,0.19447070360183716,0.24351514875888824,0.41505175828933716,1.0,-0.007929611019790173,0.1444368213415146,0.1027010828256607,0.1397853046655655
's,0.02692362666130066,0.02396530658006668,0.06913424283266068,-0.045060764998197556,-0.03817026689648628,0.02692362666130066,0.04866964742541313,-0.09757839888334274,-0.007929611019790173,0.9999999403953552,-0.02254665456712246,-0.029787857085466385,-0.023395681753754616
role,0.22614215314388275,0.20847192406654358,0.2139739841222763,0.1979236900806427,0.1797693818807602,0.22614215314388275,0.22880133986473083,0.18444238603115082,0.11783531308174133,0.00619043642655015,0.3833274245262146,0.19067861139774323,0.18676944077014923
involves,0.2138185203075409,0.33874383568763733,0.2736104726791382,0.32421472668647766,0.32495999336242676,0.2138185203075409,0.35207560658454895,0.2771303653717041,0.11434165388345718,-0.04749912768602371,0.20385128259658813,0.3349563479423523,0.14038428664207458
creating,0.28780505061149597,0.2656192183494568,0.2949562668800354,0.3105720579624176,0.29262492060661316,0.28780505061149597,0.3242962658405304,0.10344616323709488,0.09343261271715164,-0.007198880892246962,0.12365632504224777,0.21206898987293243,0.2842518985271454
a,0.3320399522781372,0.658733606338501,0.4910551905632019,0.40234753489494324,0.5052502155303955,0.3320399522781372,1.0,0.23365241289138794,0.24351514875888824,0.04866964742541313,0.1599000096321106,0.3284730613231659,0.23916715383529663
comprehensive,0.27661991119384766,0.2837536931037903,0.2859537601470947,0.21166016161441803,0.2892167866230011,0.27661991119384766,0.2721365988254547,0.24946264922618866,0.13627532124519348,0.003690342651680112,0.1334165334701538,0.2677982747554779,0.28184229135513306
drug,0.21731828153133392,0.1868302971124649,0.20437638461589813,0.2651357352733612,0.19976560771465302,0.21731828153133392,0.22027458250522614,0.36293739080429077,0.4047740399837494,-0.037688665091991425,0.16343696415424347,0.1642943024635315,0.12584024667739868
