,each,deacon,in,full,connection,is,a,member,of,what,?
likewise,0.3484192192554474,0.19219963252544403,0.18685407936573029,0.20060265064239502,0.2880539000034332,0.26193881034851074,0.3300539255142212,0.16980235278606415,0.349119633436203,0.3193172216415405,0.2001093626022339
each,1.0,0.1700034737586975,0.30816060304641724,0.24674496054649353,0.27409809827804565,0.2954041659832001,0.434999018907547,0.12621234357357025,0.38460010290145874,0.3353266417980194,0.21173812448978424
deacon,0.1700034737586975,1.0,0.1634988784790039,0.2453462779521942,0.06582218408584595,0.17186632752418518,0.2198643535375595,0.2697260081768036,0.19614163041114807,0.18630772829055786,0.15454089641571045
in,0.30816060304641724,0.1634988784790039,1.0,0.20023053884506226,0.2436826080083847,0.5394441485404968,0.539380669593811,0.20856694877147675,0.5696388483047485,0.30808621644973755,0.20430970191955566
full,0.24674496054649353,0.2453462779521942,0.20023053884506226,1.0,0.018814828246831894,0.18005375564098358,0.2751905620098114,0.10492070019245148,0.3238043189048767,0.20298334956169128,0.168479785323143
connection,0.27409809827804565,0.06582218408584595,0.2436826080083847,0.018814828246831894,1.0,0.2946256697177887,0.29948776960372925,0.14664222300052643,0.21908310055732727,0.24457211792469025,0.1714525669813156
is,0.2954041659832001,0.17186632752418518,0.5394441485404968,0.18005375564098358,0.2946256697177887,1.0,0.658733606338501,0.2522773742675781,0.4854315221309662,0.28837618231773376,0.22961433231830597
a,0.434999018907547,0.2198643535375595,0.539380669593811,0.2751905620098114,0.29948776960372925,0.658733606338501,1.0,0.24081070721149445,0.5052502155303955,0.3320399522781372,0.23916715383529663
member,0.12621234357357025,0.2697260081768036,0.20856694877147675,0.10492070019245148,0.14664222300052643,0.2522773742675781,0.24081070721149445,0.9999998807907104,0.2701796889305115,0.09932345896959305,0.06826172769069672
of,0.38460010290145874,0.19614163041114807,0.5696388483047485,0.3238043189048767,0.21908310055732727,0.4854315221309662,0.5052502155303955,0.2701796889305115,1.0,0.33290785551071167,0.1826142966747284
their,0.4487806558609009,0.2166595607995987,0.34976133704185486,0.2970364987850189,0.2278740108013153,0.2101074606180191,0.29698723554611206,0.11408882588148117,0.4329940676689148,0.35142919421195984,0.1898253709077835
annual,0.27917638421058655,0.10987778007984161,0.2557781934738159,0.11698465049266815,0.1483997255563736,0.20538382232189178,0.24023446440696716,0.20714876055717468,0.29535046219825745,0.14798973500728607,0.1083487942814827
conference,0.21830394864082336,0.1854095160961151,0.2199791669845581,0.2118113785982132,0.21146178245544434,0.13909097015857697,0.1375192254781723,0.23268674314022064,0.19579021632671356,0.15329721570014954,0.11172781884670258
order,0.2354213148355484,0.16186152398586273,0.24184700846672058,0.17627090215682983,0.11358258128166199,0.19403748214244843,0.24138490855693817,0.22501426935195923,0.31287699937820435,0.16634008288383484,0.13725648820400238
of,0.38460010290145874,0.19614163041114807,0.5696388483047485,0.3238043189048767,0.21908310055732727,0.4854315221309662,0.5052502155303955,0.2701796889305115,1.0,0.33290785551071167,0.1826142966747284
deacons,0.2326759397983551,0.8323616981506348,0.19536463916301727,0.25439542531967163,0.10596354305744171,0.15212909877300262,0.19436484575271606,0.2558242976665497,0.2586137056350708,0.19948117434978485,0.1353975385427475
.,0.31204065680503845,0.21516749262809753,0.5591574311256409,0.23337839543819427,0.24572813510894775,0.4569662809371948,0.50484299659729,0.19907453656196594,0.5352458953857422,0.3567904531955719,0.4130953550338745
