,in,what,year,was,the,kalven,report,issued,?
after,0.44050168991088867,0.21973377466201782,0.336445689201355,0.49306565523147583,0.4565047025680542,0.2699054181575775,0.15328574180603027,0.18038977682590485,0.16608688235282898
continued,0.2845509350299835,0.17878234386444092,0.24026483297348022,0.40578481554985046,0.29953038692474365,0.10689026117324829,0.18585442006587982,0.3642587661743164,0.10404038429260254
turmoil,0.27218031883239746,0.26840755343437195,0.18281875550746918,0.19568179547786713,0.31579408049583435,0.18491795659065247,0.21388623118400574,0.04566984623670578,0.15341491997241974
",",0.5201468467712402,0.3087472915649414,0.28560417890548706,0.45456063747406006,0.4933079481124878,0.370126336812973,0.250803142786026,0.21577242016792297,0.31091248989105225
a,0.539380669593811,0.3320399522781372,0.29350247979164124,0.4508470594882965,0.5829201340675354,0.25040337443351746,0.2148611694574356,0.2503507733345032,0.23916715383529663
university,0.3201795518398285,0.20256435871124268,0.15213046967983246,0.290752112865448,0.263973206281662,0.17880776524543762,0.17288333177566528,0.14085276424884796,0.11887256056070328
committee,0.2107008546590805,0.18195343017578125,0.14495232701301575,0.25449851155281067,0.24322165548801422,0.16926047205924988,0.3844236433506012,0.2904037535190582,0.12144632637500763
in,1.0,0.30808621644973755,0.3359307050704956,0.45514053106307983,0.6662389636039734,0.24306511878967285,0.204250767827034,0.17191201448440552,0.20430970191955566
1967,0.004017085302621126,-0.0218155886977911,0.027806339785456657,0.059212569147348404,-0.012038951739668846,-0.0674627348780632,-0.013241992332041264,-0.003535275347530842,0.017933469265699387
issued,0.17191201448440552,0.18988175690174103,0.1967748999595642,0.273990273475647,0.22837360203266144,0.1031971350312233,0.37258848547935486,0.9999999403953552,0.169851616024971
what,0.30808621644973755,0.9999998807907104,0.15184831619262695,0.22111038863658905,0.42745697498321533,0.15846872329711914,0.2868559956550598,0.18988175690174103,0.5051238536834717
became,0.31047213077545166,0.1434093862771988,0.28121209144592285,0.6575068235397339,0.36325156688690186,0.20855967700481415,0.11353365331888199,0.21856847405433655,0.11374033987522125
known,0.32641831040382385,0.20381177961826324,0.20408862829208374,0.35203275084495544,0.3624623417854309,0.20771145820617676,0.13636580109596252,0.12694135308265686,0.18314571678638458
as,0.3887844979763031,0.31749409437179565,0.28440728783607483,0.3677520453929901,0.48381632566452026,0.2334539294242859,0.26206639409065247,0.19067436456680298,0.27043893933296204
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.48711544275283813,1.0,0.29577136039733887,0.2556745111942291,0.22837360203266144,0.22068053483963013
kalven,0.24306511878967285,0.15846872329711914,0.16984038054943085,0.2643504738807678,0.29577136039733887,1.0,0.1142764464020729,0.1031971350312233,0.2076810747385025
report,0.204250767827034,0.2868559956550598,0.19930125772953033,0.19926786422729492,0.2556745111942291,0.1142764464020729,0.9999998807907104,0.37258848547935486,0.3138936758041382
.,0.5591574311256409,0.3567904531955719,0.32538118958473206,0.40146201848983765,0.5934505462646484,0.28908243775367737,0.277835488319397,0.2158607542514801,0.4130953550338745
