,what,company,reached,a,deal,to,also,stream,its,abc,affiliates,?
new,0.2130378633737564,0.16146139800548553,0.137937992811203,0.3214259147644043,0.2736595869064331,0.33159172534942627,0.30404865741729736,0.118901826441288,0.2215755134820938,0.20663127303123474,0.1859038919210434,0.14782847464084625
york,0.15652963519096375,0.2139335423707962,0.1458289623260498,0.205710306763649,0.2173343002796173,0.22230617702007294,0.23120084404945374,0.06450144946575165,0.14121976494789124,0.25457969307899475,0.2162906378507614,0.15262620151042938
city,0.17493832111358643,0.25891005992889404,0.15501387417316437,0.2349124401807785,0.15274149179458618,0.20300441980361938,0.2577536404132843,0.18270385265350342,0.3465842306613922,0.2157231718301773,0.2019597589969635,0.13423943519592285
o,0.1489914506673813,0.12187153100967407,0.11507152765989304,0.18840523064136505,0.1710410863161087,0.1644444614648819,0.2537496089935303,0.06040194258093834,0.14589886367321014,0.22499863803386688,0.20802591741085052,0.23868927359580994
&,0.11141876131296158,0.22427646815776825,0.07742979377508163,0.07266713678836823,0.07815340161323547,0.1254875510931015,0.1553146094083786,0.03553026542067528,0.11429427564144135,0.1936885565519333,0.11572975665330887,0.12596383690834045
o,0.1489914506673813,0.12187153100967407,0.11507152765989304,0.18840523064136505,0.1710410863161087,0.1644444614648819,0.2537496089935303,0.06040194258093834,0.14589886367321014,0.22499863803386688,0.20802591741085052,0.23868927359580994
wabc-tv,0.2753899097442627,0.3498767614364624,0.2306261509656906,0.31063950061798096,0.3100379407405853,0.31311294436454773,0.35380154848098755,0.29152679443359375,0.2871547043323517,0.5460134148597717,0.41294971108436584,0.2822728157043457
and,0.31309178471565247,0.23788511753082275,0.19567863643169403,0.3739250600337982,0.2461770474910736,0.48971283435821533,0.5755972862243652,0.24512408673763275,0.3841775357723236,0.16453155875205994,0.2033180296421051,0.20544172823429108
philadelphia,0.15730510652065277,0.21205003559589386,0.11655036360025406,0.15372835099697113,0.14712248742580414,0.2041943073272705,0.23449940979480743,0.056257396936416626,0.13463610410690308,0.2533737123012543,0.26259922981262207,0.1888369768857956
o,0.1489914506673813,0.12187153100967407,0.11507152765989304,0.18840523064136505,0.1710410863161087,0.1644444614648819,0.2537496089935303,0.06040194258093834,0.14589886367321014,0.22499863803386688,0.20802591741085052,0.23868927359580994
&,0.11141876131296158,0.22427646815776825,0.07742979377508163,0.07266713678836823,0.07815340161323547,0.1254875510931015,0.1553146094083786,0.03553026542067528,0.11429427564144135,0.1936885565519333,0.11572975665330887,0.12596383690834045
o,0.1489914506673813,0.12187153100967407,0.11507152765989304,0.18840523064136505,0.1710410863161087,0.1644444614648819,0.2537496089935303,0.06040194258093834,0.14589886367321014,0.22499863803386688,0.20802591741085052,0.23868927359580994
wpvi-tv,0.19311726093292236,0.35752537846565247,0.2070026695728302,0.26706022024154663,0.283873975276947,0.23930034041404724,0.35039567947387695,0.20165438950061798,0.2805928587913513,0.4654618799686432,0.43452003598213196,0.22201858460903168
were,0.22298263013362885,0.1783226877450943,0.27639803290367126,0.17203083634376526,0.17956633865833282,0.31913647055625916,0.31877249479293823,0.090183787047863,0.20452921092510223,0.09045279771089554,0.12036995589733124,0.17890112102031708
the,0.42745697498321533,0.26591673493385315,0.29860952496528625,0.5829201340675354,0.23069973289966583,0.535392165184021,0.6021018624305725,0.2507912814617157,0.559237003326416,0.2068762183189392,0.1912562996149063,0.22068053483963013
first,0.28086137771606445,0.23999588191509247,0.34402745962142944,0.4287874400615692,0.18958427011966705,0.3792489171028137,0.43768298625946045,0.12475389987230301,0.26377397775650024,0.2403600513935089,0.1488351821899414,0.18701928853988647
stations,0.1621520221233368,0.24801203608512878,0.17427939176559448,0.199105903506279,0.1688549965620041,0.21700026094913483,0.29714539647102356,0.27947261929512024,0.2549050748348236,0.23858611285686493,0.34138554334640503,0.13192185759544373
to,0.455847829580307,0.24903783202171326,0.20677556097507477,0.45503583550453186,0.29972702264785767,1.0,0.5348826050758362,0.2466391623020172,0.3691340684890747,0.1762417107820511,0.19779101014137268,0.29463258385658264
offer,0.20134106278419495,0.2260824739933014,0.16646674275398254,0.20917463302612305,0.3100101053714752,0.34615713357925415,0.2821051776409149,0.17499496042728424,0.1825581192970276,0.15687143802642822,0.272099107503891,0.1774262934923172
streams,0.12328469753265381,0.11596277356147766,0.20083394646644592,0.2252943217754364,0.06257013231515884,0.23461183905601501,0.2601725161075592,0.7826476097106934,0.24334903061389923,0.1417797952890396,0.19466081261634827,0.1508319228887558
of,0.33290785551071167,0.20467796921730042,0.18604008853435516,0.5052502155303955,0.22831951081752777,0.41548454761505127,0.4924938678741455,0.1779453009366989,0.48690423369407654,0.14607268571853638,0.1803562045097351,0.1826142966747284
their,0.35142919421195984,0.19651755690574646,0.1852993667125702,0.29698723554611206,0.2334633767604828,0.44619059562683105,0.4181114733219147,0.1614399403333664,0.5367968082427979,0.17463743686676025,0.2329007089138031,0.1898253709077835
programming,0.22725710272789001,0.16915138065814972,0.04336991533637047,0.20890353620052338,0.17091402411460876,0.1961597204208374,0.23027054965496063,0.2093936800956726,0.22158177196979523,0.3165910840034485,0.2390740066766739,0.22249025106430054
on,0.34226128458976746,0.23664942383766174,0.321969211101532,0.3848365545272827,0.24813804030418396,0.41031414270401,0.3762153089046478,0.2180166095495224,0.34331920742988586,0.2862928807735443,0.235525980591774,0.2714994251728058
the,0.42745697498321533,0.26591673493385315,0.29860952496528625,0.5829201340675354,0.23069973289966583,0.535392165184021,0.6021018624305725,0.2507912814617157,0.559237003326416,0.2068762183189392,0.1912562996149063,0.22068053483963013
service,0.16857224702835083,0.265422523021698,0.09510628879070282,0.23104366660118103,0.13413964211940765,0.24411341547966003,0.24828767776489258,0.1854102462530136,0.180259108543396,0.22076331079006195,0.2557312846183777,0.1676298975944519
