,which,theorem,would,be,invalid,if,the,number,1,were,considered,prime,?
a,0.56894451379776,0.2234962433576584,0.398599237203598,0.39883795380592346,0.259030282497406,0.41272827982902527,0.5829201340675354,0.2992287278175354,-0.20817746222019196,0.17203083634376526,0.36109375953674316,0.17998681962490082,0.23916715383529663
large,0.46308431029319763,0.07598812878131866,0.27663370966911316,0.2907196581363678,0.1372096687555313,0.21608330309391022,0.3828733265399933,0.3316781520843506,-0.04861299321055412,0.3147265911102295,0.18257629871368408,0.12222686409950256,0.1355665624141693
body,0.3445165753364563,0.11440032720565796,0.22848527133464813,0.28826382756233215,0.15564583241939545,0.30172914266586304,0.31682634353637695,0.1657109558582306,-0.18332388997077942,0.15840208530426025,0.20633035898208618,0.04900025576353073,0.20136451721191406
of,0.5011631846427917,0.18068012595176697,0.3353942930698395,0.33904364705085754,0.2420908659696579,0.2557544410228729,0.733189046382904,0.2778518795967102,-0.09473495930433273,0.34038281440734863,0.4190242290496826,0.23935265839099884,0.1826142966747284
mathematical,0.27247917652130127,0.5673332810401917,0.25576052069664,0.21942780911922455,0.2887892723083496,0.2798699736595154,0.21343764662742615,0.3158797025680542,-0.2508585751056671,0.14557066559791565,0.15146228671073914,0.18383847177028656,0.1630573719739914
work,0.30331435799598694,0.20925287902355194,0.3312954604625702,0.34449198842048645,0.21457383036613464,0.3051113784313202,0.2704800069332123,0.20364691317081451,-0.26189616322517395,0.23814889788627625,0.23064734041690826,0.1357828825712204,0.2621155381202698
would,0.3854503035545349,0.2023078054189682,1.0000001192092896,0.5202695727348328,0.2859361469745636,0.5543612837791443,0.4133751392364502,0.22908863425254822,-0.33511853218078613,0.37426912784576416,0.37682145833969116,0.16885465383529663,0.37178951501846313
still,0.4167596399784088,0.21657708287239075,0.3603723347187042,0.4066932499408722,0.2294435203075409,0.4211618900299072,0.40142056345939636,0.22699937224388123,-0.20577901601791382,0.352588027715683,0.343676894903183,0.12304064631462097,0.3039587736129761
be,0.476310670375824,0.18646985292434692,0.5202695727348328,1.0,0.30971479415893555,0.5628611445426941,0.4248143136501312,0.28840136528015137,-0.2923636734485626,0.4064064621925354,0.41927069425582886,0.14576895534992218,0.3324260413646698
valid,0.26053816080093384,0.3352738916873932,0.31406205892562866,0.3214661478996277,0.6988243460655212,0.4773995280265808,0.22185127437114716,0.29958638548851013,-0.28520020842552185,0.16589875519275665,0.27399206161499023,0.14302127063274384,0.27800852060317993
