,who,assist,elders,in,the,sacraments,of,holy,communion,and,baptism,?
deacons,0.34783780574798584,0.2824859917163849,0.36311930418014526,0.19536463916301727,0.28766658902168274,0.5029195547103882,0.2586137056350708,0.3083884119987488,0.41857218742370605,0.2748076021671295,0.34633126854896545,0.1353975385427475
give,0.28740519285202026,0.308563232421875,0.2020895630121231,0.20895415544509888,0.29086416959762573,0.21459880471229553,0.33489471673965454,0.19229473173618317,0.2139812707901001,0.3040338158607483,0.20042961835861206,0.2985610067844391
leadership,0.24247793853282928,0.2356865406036377,0.3225039541721344,0.2307659387588501,0.2857116758823395,0.19805532693862915,0.26711535453796387,0.18108873069286346,0.2609149217605591,0.24201266467571259,0.2518615424633026,0.08979988098144531
",",0.3365725874900818,0.22518080472946167,0.14384935796260834,0.5201468467712402,0.4933079481124878,0.24348783493041992,0.4946078956127167,0.2074567973613739,0.2828352153301239,0.6633074283599854,0.20469237864017487,0.31091248989105225
preach,0.3316580057144165,0.1739872694015503,0.3107919991016388,0.2044697254896164,0.20831279456615448,0.4759628176689148,0.18715636432170868,0.4268806278705597,0.5309434533119202,0.2662549316883087,0.4547625780105591,0.24534663558006287
the,0.3733934462070465,0.22201772034168243,0.20180752873420715,0.6662389636039734,1.0,0.275104284286499,0.733189046382904,0.2778179347515106,0.2783570885658264,0.5171257257461548,0.18082354962825775,0.22068053483963013
word,0.21585002541542053,0.08113209903240204,0.12231595814228058,0.19815877079963684,0.2835540175437927,0.2605573236942291,0.23799116909503937,0.24180467426776886,0.2279074490070343,0.20273149013519287,0.14799246191978455,0.19046713411808014
",",0.3365725874900818,0.22518080472946167,0.14384935796260834,0.5201468467712402,0.4933079481124878,0.24348783493041992,0.4946078956127167,0.2074567973613739,0.2828352153301239,0.6633074283599854,0.20469237864017487,0.31091248989105225
contribute,0.24899613857269287,0.3667178750038147,0.18952049314975739,0.2068682163953781,0.21503010392189026,0.13767945766448975,0.22662346065044403,0.08458658307790756,0.17760822176933289,0.25385749340057373,0.09113556146621704,0.34182009100914
in,0.2792111933231354,0.1882847547531128,0.1353733092546463,1.0,0.6662389636039734,0.18858598172664642,0.5696388483047485,0.2163282334804535,0.19935038685798645,0.4954058527946472,0.12040549516677856,0.20430970191955566
