,when,was,the,third,assessment,report,published,?
these,0.3811454772949219,0.19784674048423767,0.49086877703666687,0.13180924952030182,0.27555322647094727,0.26752564311027527,0.24633900821208954,0.2571668326854706
values,0.21327121555805206,0.1286422163248062,0.23992402851581573,0.12045943737030029,0.20883113145828247,0.16690590977668762,0.11908521503210068,0.23432563245296478
are,0.29873907566070557,0.3076191842556,0.40399202704429626,0.15971572697162628,0.20519836246967316,0.1750389188528061,0.15000919997692108,0.24591213464736938
much,0.39518025517463684,0.2580166161060333,0.35023224353790283,0.18641111254692078,0.2761547267436981,0.18790055811405182,0.17028161883354187,0.23442231118679047
greater,0.2015577107667923,0.1568739414215088,0.2814446687698364,0.1744849681854248,0.2050587236881256,0.1750328093767166,0.09791246056556702,0.09723397344350815
than,0.2883036434650421,0.1872616857290268,0.3227543234825134,0.22376805543899536,0.20977148413658142,0.1711035668849945,0.10761144012212753,0.24917294085025787
the,0.5091903209686279,0.48711544275283813,1.0,0.4229298532009125,0.28427207469940186,0.2556745111942291,0.22017472982406616,0.22068053483963013
9–88,-0.06406756490468979,-0.15377177298069,-0.09854760020971298,-0.09190455824136734,0.14056158065795898,0.0615665465593338,0.07559867948293686,0.270161896944046
cm,0.16998231410980225,0.15153862535953522,0.1848733276128769,0.1014891192317009,0.12308730185031891,0.12256772816181183,0.105671226978302,0.22839917242527008
as,0.4437963366508484,0.3677520453929901,0.48381632566452026,0.19291457533836365,0.23029525578022003,0.26206639409065247,0.16957594454288483,0.27043893933296204
projected,0.2027702033519745,0.19859115779399872,0.2842520475387573,0.18374046683311462,0.25310206413269043,0.25744226574897766,0.24425092339515686,0.17913633584976196
by,0.4376842677593231,0.4752357602119446,0.4408751428127289,0.28581833839416504,0.16625620424747467,0.2265174388885498,0.32986849546432495,0.17966607213020325
the,0.5091903209686279,0.48711544275283813,1.0,0.4229298532009125,0.28427207469940186,0.2556745111942291,0.22017472982406616,0.22068053483963013
ipcc,0.17001821100711823,0.16744299232959747,0.24925659596920013,0.14761818945407867,0.5005803108215332,0.4727894961833954,0.33862897753715515,0.22295254468917847
itself,0.36853712797164917,0.24240277707576752,0.45971640944480896,0.20796482264995575,0.2306479513645172,0.20270416140556335,0.1911638379096985,0.17933900654315948
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.3309578001499176,0.19949871301651,0.204250767827034,0.26697060465812683,0.20430970191955566
its,0.34032323956489563,0.3518870174884796,0.559237003326416,0.17781178653240204,0.23184147477149963,0.22439044713974,0.2027382254600525,0.15103481709957123
third,0.23858320713043213,0.3460187017917633,0.4229298532009125,1.0,0.23325467109680176,0.18072299659252167,0.19897887110710144,0.15394791960716248
assessment,0.18007445335388184,0.1369474083185196,0.28427207469940186,0.23325467109680176,1.0,0.4765056371688843,0.3234805762767792,0.22666098177433014
report,0.1918206363916397,0.19926786422729492,0.2556745111942291,0.18072299659252167,0.4765056371688843,0.9999998807907104,0.3798125088214874,0.3138936758041382
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.283071368932724,0.20925334095954895,0.250803142786026,0.2937801778316498,0.31091248989105225
published,0.1944759637117386,0.2896443009376526,0.22017472982406616,0.19897887110710144,0.3234805762767792,0.3798125088214874,1.0,0.16280238330364227
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.3309578001499176,0.19949871301651,0.204250767827034,0.26697060465812683,0.20430970191955566
2001,-0.12046102434396744,-0.1705034077167511,-0.07246288657188416,-0.030571699142456055,-0.06064721941947937,-0.1508273035287857,-0.00268853479065001,-0.08740651607513428
'',-0.07688097655773163,0.04456103965640068,0.041273195296525955,-0.003199114231392741,-0.008523830212652683,-0.046842265874147415,0.013779557310044765,0.018684765323996544
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.3039522171020508,0.27635204792022705,0.277835488319397,0.23857341706752777,0.4130953550338745
