,what,are,some,of,scientists,arguments,?
some,0.4491020441055298,0.6331475377082825,0.9999999403953552,0.4300730526447296,0.38937023282051086,0.2694154679775238,0.2562315762042999
scientists,0.30003565549850464,0.3041467070579529,0.38937023282051086,0.20474955439567566,0.9999999403953552,0.15868546068668365,0.16597221791744232
argue,0.41590559482574463,0.24223986268043518,0.353171706199646,0.19617585837841034,0.23715995252132416,0.5412850975990295,0.32235559821128845
that,0.6297725439071655,0.45265161991119385,0.6049469113349915,0.41498205065727234,0.3470602035522461,0.36129114031791687,0.32716336846351624
the,0.42745697498321533,0.40399202704429626,0.4566698372364044,0.733189046382904,0.25988271832466125,0.19616100192070007,0.22068053483963013
rainforest,0.22127854824066162,0.2730858027935028,0.2555103302001953,0.22522282600402832,0.25935688614845276,0.13220204412937164,0.1917492002248764
was,0.22111038863658905,0.3076191842556,0.21528802812099457,0.4069072902202606,0.21144776046276093,0.13274891674518585,0.18412111699581146
reduced,0.11519023776054382,0.22126781940460205,0.29630836844444275,0.30275818705558777,0.16463248431682587,0.19171051681041718,0.10234767943620682
to,0.455847829580307,0.3504326641559601,0.4636894166469574,0.41548454761505127,0.27814680337905884,0.27409398555755615,0.29463258385658264
small,0.2504110634326935,0.3959871232509613,0.39604613184928894,0.353353351354599,0.2349669486284256,0.10028678178787231,0.13914890587329865
",",0.3087472915649414,0.4062570035457611,0.42400437593460083,0.4946078956127167,0.25785407423973083,0.1982562243938446,0.31091248989105225
isolated,0.18175481259822845,0.2524798512458801,0.2685147821903229,0.233377605676651,0.25416991114616394,0.07791054248809814,0.06718844920396805
refugia,0.22141601145267487,0.14282011985778809,0.22736680507659912,0.2167503833770752,0.15751056373119354,0.23930342495441437,0.24960477650165558
separated,0.18778635561466217,0.2565678656101227,0.23039110004901886,0.27533861994743347,0.1540856957435608,0.1090245321393013,0.0923643484711647
by,0.2455483376979828,0.37842893600463867,0.306446373462677,0.3646814823150635,0.22483672201633453,0.20762112736701965,0.17966607213020325
