,what,kind,of,interethnic,marriage,became,common,in,the,jin,dynasty,?
interethnic,0.31987422704696655,0.22566938400268555,0.3954260051250458,1.0,0.26013606786727905,0.21260960400104523,0.2703780233860016,0.37800514698028564,0.38997623324394226,0.20089039206504822,0.2543584704399109,0.21209746599197388
marriage,0.1536911427974701,0.12444309145212173,0.1860882043838501,0.26013606786727905,0.9999999403953552,0.19013451039791107,0.10334300994873047,0.18663892149925232,0.17375090718269348,0.09236777573823929,0.2540595233440399,0.13543564081192017
between,0.2462156116962433,0.13910992443561554,0.3737983703613281,0.3660532534122467,0.23107770085334778,0.16493314504623413,0.21916918456554413,0.41100412607192993,0.39067012071609497,0.13180142641067505,0.15475362539291382,0.12887074053287506
han,0.14963169395923615,0.06253352761268616,0.24127668142318726,0.3124772310256958,0.17922186851501465,0.14519059658050537,0.1608666330575943,0.1791689544916153,0.253618985414505,0.5655823349952698,0.4641842246055603,0.17129439115524292
and,0.31309178471565247,0.22462370991706848,0.5116966962814331,0.315583199262619,0.25600728392601013,0.31226563453674316,0.229714497923851,0.4954058527946472,0.5171257257461548,0.22211141884326935,0.21357402205467224,0.20544172823429108
jurchen,0.18715956807136536,0.10681263357400894,0.2635060250759125,0.3386743664741516,0.27786991000175476,0.28037506341934204,0.21604788303375244,0.2636263370513916,0.30908945202827454,0.5485312342643738,0.5286504030227661,0.2415906935930252
became,0.1434093862771988,0.07650677859783173,0.3638904094696045,0.21260960400104523,0.19013451039791107,1.0,0.09857934713363647,0.31047213077545166,0.36325156688690186,0.14871738851070404,0.19745652377605438,0.11374033987522125
common,0.19989867508411407,0.34846702218055725,0.2949881851673126,0.2703780233860016,0.10334300994873047,0.09857934713363647,0.9999998807907104,0.23149342834949493,0.2705984115600586,0.05282988026738167,0.16227839887142181,0.20434872806072235
at,0.2838611304759979,0.17203933000564575,0.42558613419532776,0.31628623604774475,0.11739737540483475,0.23894885182380676,0.10125654935836792,0.4374977946281433,0.457212895154953,0.16647185385227203,0.11463665962219238,0.21978627145290375
this,0.5489566326141357,0.4221852123737335,0.45148900151252747,0.32254868745803833,0.2317737638950348,0.1946946084499359,0.3251335918903351,0.45205554366111755,0.6274310946464539,0.15106862783432007,0.1948053240776062,0.3155723512172699
time,0.36319252848625183,0.28243488073349,0.35127586126327515,0.2063768059015274,0.16861873865127563,0.3099048137664795,0.1746874898672104,0.3431483507156372,0.43061500787734985,0.2130688726902008,0.24517737329006195,0.27391523122787476
.,0.3567904531955719,0.21254374086856842,0.5352458953857422,0.30606088042259216,0.2275817096233368,0.2806840240955353,0.21817955374717712,0.5591574311256409,0.5934505462646484,0.17743851244449615,0.20616187155246735,0.4130953550338745
