,what,resolution,were,the,eyevision,cameras,changed,to,?
(,0.2411840260028839,0.21263813972473145,0.14743882417678833,0.33289089798927307,0.35227537155151367,0.19616983830928802,0.2465810626745224,0.30882009863853455,0.40561532974243164
an,0.2821882665157318,0.23431707918643951,0.08893381804227829,0.4207492768764496,0.26846006512641907,0.18013033270835876,0.22085750102996826,0.3138085603713989,0.19793890416622162
earlier,0.22624605894088745,0.1679677516222,0.31243637204170227,0.26843780279159546,0.2795308828353882,0.17595472931861877,0.2921251058578491,0.29382309317588806,0.13306351006031036
version,0.20755547285079956,0.17215505242347717,0.19237180054187775,0.27268242835998535,0.41923800110816956,0.21975301206111908,0.25053444504737854,0.24018406867980957,0.2573966085910797
of,0.33290785551071167,0.24433627724647522,0.34038281440734863,0.733189046382904,0.28018367290496826,0.16742980480194092,0.3099449872970581,0.41548454761505127,0.1826142966747284
eyevision,0.31643226742744446,0.35879144072532654,0.20221620798110962,0.2950143814086914,1.0,0.39013251662254333,0.2575244605541229,0.2628280222415924,0.30570414662361145
was,0.22111038863658905,0.17136116325855255,0.590133786201477,0.48711544275283813,0.32288506627082825,0.1963709145784378,0.3462000787258148,0.3636345863342285,0.18412111699581146
last,0.23175878822803497,0.11161695420742035,0.25959286093711853,0.3698786795139313,0.2441343367099762,0.12780575454235077,0.2676391303539276,0.30156898498535156,0.22371746599674225
used,0.27546408772468567,0.19095972180366516,0.27636459469795227,0.3718377649784088,0.24234066903591156,0.3231108784675598,0.3302752375602722,0.40058770775794983,0.22430120408535004
in,0.30808621644973755,0.1619282215833664,0.3815755248069763,0.6662389636039734,0.23252016305923462,0.180817648768425,0.292167991399765,0.45010748505592346,0.20430970191955566
super,0.13651713728904724,0.15912146866321564,0.18743500113487244,0.21959073841571808,0.20276100933551788,0.22082330286502838,0.10137595981359482,0.17783479392528534,0.166326642036438
bowl,0.15942467749118805,0.18330323696136475,0.17085392773151398,0.21576224267482758,0.20430096983909607,0.19083669781684875,0.11671103537082672,0.16993016004562378,0.21118052303791046
xxxv,0.18331143260002136,0.20227155089378357,0.2642579674720764,0.304460734128952,0.29013267159461975,0.2480049431324005,0.1925913691520691,0.21911945939064026,0.2121264934539795
;,0.10986888408660889,0.10480183362960815,0.14040996134281158,0.09152708947658539,0.025679681450128555,0.0312536284327507,0.03973889723420143,0.0979827418923378,0.10349778085947037
for,0.3017193675041199,0.20845364034175873,0.33592689037323,0.4739971458911896,0.28675514459609985,0.2902202010154724,0.2722912132740021,0.4451248347759247,0.264628142118454
super,0.13651713728904724,0.15912146866321564,0.18743500113487244,0.21959073841571808,0.20276100933551788,0.22082330286502838,0.10137595981359482,0.17783479392528534,0.166326642036438
bowl,0.15942467749118805,0.18330323696136475,0.17085392773151398,0.21576224267482758,0.20430096983909607,0.19083669781684875,0.11671103537082672,0.16993016004562378,0.21118052303791046
50,-0.04124141484498978,-0.015432833693921566,0.025104328989982605,0.03602437674999237,0.02204144559800625,0.01168003398925066,0.06792513281106949,-0.024239253252744675,0.030512850731611252
",",0.3087472915649414,0.18455472588539124,0.36755475401878357,0.4933079481124878,0.34547314047813416,0.22994861006736755,0.3335177004337311,0.44245919585227966,0.31091248989105225
the,0.42745697498321533,0.2488827407360077,0.3906462490558624,1.0,0.2950143814086914,0.2402329444885254,0.351829469203949,0.535392165184021,0.22068053483963013
cameras,0.22978083789348602,0.33266958594322205,0.2703001797199249,0.2402329444885254,0.39013251662254333,1.0000001192092896,0.1591595709323883,0.28243497014045715,0.1492827832698822
were,0.22298263013362885,0.12252607196569443,1.0000001192092896,0.3906462490558624,0.20221620798110962,0.2703001797199249,0.3164360225200653,0.31913647055625916,0.17890112102031708
upgraded,0.14428594708442688,0.12731222808361053,0.21848827600479126,0.22829687595367432,0.23893709480762482,0.212727352976799,0.3234013020992279,0.16525860130786896,0.15831376612186432
to,0.455847829580307,0.2805209159851074,0.31913647055625916,0.535392165184021,0.2628280222415924,0.28243497014045715,0.2968057096004486,1.0,0.29463258385658264
5k,0.028302950784564018,-0.007925080135464668,0.08496170490980148,-0.09152332693338394,0.009615836665034294,0.005800780840218067,0.0646430179476738,-0.00408849585801363,0.05601515993475914
resolution,0.2625337243080139,1.0,0.12252607196569443,0.2488827407360077,0.35879144072532654,0.33266958594322205,0.17226539552211761,0.2805209159851074,0.223141148686409
.,0.3567904531955719,0.20347629487514496,0.3378238379955292,0.5934505462646484,0.3404518961906433,0.21658402681350708,0.2985190153121948,0.4645031690597534,0.4130953550338745
),0.26259949803352356,0.217221200466156,0.1566188633441925,0.3456730246543884,0.3574897050857544,0.19284851849079132,0.24951788783073425,0.31236231327056885,0.42300865054130554
