,who,was,responsible,for,the,decorations,of,the,centre,refreshment,room,?
the,0.3733934462070465,0.48711544275283813,0.3305104374885559,0.4739971458911896,1.0,0.30381208658218384,0.733189046382904,1.0,0.32783594727516174,0.29972732067108154,0.2031363844871521,0.22068053483963013
centre,0.15608038008213043,0.24988211691379547,0.21448127925395966,0.21711347997188568,0.32783594727516174,0.15425314009189606,0.2769378423690796,0.32783594727516174,1.0000001192092896,0.17371058464050293,0.21753406524658203,0.019365152344107628
refreshment,0.153854101896286,0.1943587213754654,0.12772604823112488,0.318986713886261,0.29972732067108154,0.24684223532676697,0.24207060039043427,0.29972732067108154,0.17371058464050293,1.0,0.2507043480873108,0.22463755309581757
room,0.2733173370361328,0.18439160287380219,0.10415267199277878,0.23959091305732727,0.2031363844871521,0.24428793787956238,0.15195634961128235,0.2031363844871521,0.21753406524658203,0.2507043480873108,1.0000001192092896,0.1769251674413681
1865–77,0.24608616530895233,0.17456184327602386,0.11729171872138977,0.18628956377506256,0.23671789467334747,0.11535350233316422,0.26835888624191284,0.23671789467334747,0.13484832644462585,0.185078963637352,0.12856002151966095,0.24168366193771362
was,0.3318818509578705,1.0000001192092896,0.2582622170448303,0.3863949179649353,0.48711544275283813,0.18994881212711334,0.4069072902202606,0.48711544275283813,0.24988211691379547,0.1943587213754654,0.18439160287380219,0.18412111699581146
designed,0.21097040176391602,0.28384989500045776,0.26215848326683044,0.22817277908325195,0.2559613883495331,0.33307960629463196,0.2000347077846527,0.2559613883495331,0.18648575246334076,0.1967739760875702,0.19402547180652618,0.11213942617177963
in,0.2792111933231354,0.45514053106307983,0.24309778213500977,0.4322226941585541,0.6662389636039734,0.2234204262495041,0.5696388483047485,0.6662389636039734,0.2765078544616699,0.23589955270290375,0.19083113968372345,0.20430970191955566
a,0.36608949303627014,0.4508470594882965,0.22119273245334625,0.44038116931915283,0.5829201340675354,0.17514024674892426,0.5052502155303955,0.5829201340675354,0.271343857049942,0.2753196954727173,0.2718060314655304,0.23916715383529663
renaissance,0.2532185912132263,0.2764733135700226,0.07334252446889877,0.19461236894130707,0.2050212025642395,0.308575838804245,0.21895526349544525,0.2050212025642395,0.2161494642496109,0.18462571501731873,0.15622593462467194,0.12260647863149643
style,0.15775224566459656,0.17358732223510742,0.14934970438480377,0.24460577964782715,0.2331719547510147,0.30213892459869385,0.23203764855861664,0.2331719547510147,0.1675296425819397,0.2120790034532547,0.18291568756103516,0.19862167537212372
by,0.39727845788002014,0.4752357602119446,0.3226776123046875,0.3248702883720398,0.4408751428127289,0.22825977206230164,0.3646814823150635,0.4408751428127289,0.1386745572090149,0.20599837601184845,0.17154745757579803,0.17966607213020325
james,0.2562035918235779,0.2958067059516907,0.09399475157260895,0.2054290771484375,0.22481533885002136,0.10019726306200027,0.18323110044002533,0.22481533885002136,0.10928559303283691,0.12095437198877335,0.12010914832353592,0.12139993160963058
gamble,0.30189162492752075,0.2394535392522812,0.20725782215595245,0.1788184940814972,0.17621295154094696,0.09055174142122269,0.2270197570323944,0.17621295154094696,0.08373211324214935,0.18633373081684113,0.12497463822364807,0.11599765717983246
",",0.3365725874900818,0.45456063747406006,0.2192283272743225,0.4464869201183319,0.4933079481124878,0.2831108868122101,0.4946078956127167,0.4933079481124878,0.20527958869934082,0.2463187575340271,0.1888306885957718,0.31091248989105225
the,0.3733934462070465,0.48711544275283813,0.3305104374885559,0.4739971458911896,1.0,0.30381208658218384,0.733189046382904,1.0,0.32783594727516174,0.29972732067108154,0.2031363844871521,0.22068053483963013
walls,0.16167975962162018,0.14885208010673523,0.0684640184044838,0.1752154380083084,0.28179097175598145,0.3501213788986206,0.2193661332130432,0.28179097175598145,0.24482308328151703,0.13485217094421387,0.310928612947464,0.06935364007949829
and,0.41279885172843933,0.3740963041782379,0.29945531487464905,0.5064792633056641,0.5171257257461548,0.3069160282611847,0.5116966962814331,0.5171257257461548,0.2848764955997467,0.29558447003364563,0.2611854374408722,0.20544172823429108
even,0.33644744753837585,0.27441510558128357,0.20707394182682037,0.39184510707855225,0.37996912002563477,0.26140937209129333,0.34735506772994995,0.37996912002563477,0.12499361485242844,0.30279740691185,0.28132712841033936,0.30082517862319946
the,0.3733934462070465,0.48711544275283813,0.3305104374885559,0.4739971458911896,1.0,0.30381208658218384,0.733189046382904,1.0,0.32783594727516174,0.29972732067108154,0.2031363844871521,0.22068053483963013
ionic,0.12223085016012192,0.16558609902858734,0.1339215189218521,0.15590418875217438,0.24400107562541962,0.2409168779850006,0.2600036859512329,0.24400107562541962,0.1521633118391037,0.23131409287452698,0.2571938633918762,0.13918139040470123
columns,0.10933458060026169,0.12119857221841812,0.10830941051244736,0.23277254402637482,0.25546973943710327,0.3091679811477661,0.18918220698833466,0.25546973943710327,0.18300172686576843,0.1919083595275879,0.2483159303665161,0.10656043142080307
are,0.27294138073921204,0.3076191842556,0.2889936864376068,0.3895993232727051,0.40399202704429626,0.2932407557964325,0.39081433415412903,0.40399202704429626,0.19250939786434174,0.2370224893093109,0.16457562148571014,0.24591213464736938
covered,0.156361922621727,0.24235664308071136,0.16322626173496246,0.18988674879074097,0.3132939636707306,0.24517181515693665,0.28798651695251465,0.3132939636707306,0.17634326219558716,0.2180619239807129,0.18196310102939606,0.139833465218544
in,0.2792111933231354,0.45514053106307983,0.24309778213500977,0.4322226941585541,0.6662389636039734,0.2234204262495041,0.5696388483047485,0.6662389636039734,0.2765078544616699,0.23589955270290375,0.19083113968372345,0.20430970191955566
decorative,0.1013011634349823,0.12518033385276794,0.0888252854347229,0.24181319773197174,0.22162237763404846,0.8266537189483643,0.24454469978809357,0.22162237763404846,0.16074909269809723,0.2527095079421997,0.28573858737945557,0.14864768087863922
