,according,to,the,theory,",",what,does,the,name,``,huguenot,'',mean,?
janet,0.08842423558235168,0.1076149120926857,0.2123534083366394,0.09748879820108414,0.2943766117095947,0.15978968143463135,0.13073892891407013,0.2123534083366394,0.09237298369407654,-0.03703995421528816,0.16311015188694,-0.06147577241063118,0.0940551832318306,0.21581830084323883
gray,0.08398642390966415,0.1771969199180603,0.20816172659397125,0.13896586000919342,0.2858242094516754,0.15054908394813538,0.13669486343860626,0.20816172659397125,0.14389576017856598,-0.0344872921705246,0.14638014137744904,0.09426922351121902,0.18747955560684204,0.18180930614471436
and,0.30645591020584106,0.48971283435821533,0.5171257257461548,0.1765792816877365,0.6633074283599854,0.31309178471565247,0.3461615741252899,0.5171257257461548,0.21235932409763336,0.036644238978624344,0.2762077748775482,0.021612688899040222,0.22596950829029083,0.20544172823429108
other,0.13228808343410492,0.4193183183670044,0.44152235984802246,0.22177660465240479,0.4446498453617096,0.341873437166214,0.2947014272212982,0.44152235984802246,0.20388714969158173,0.10245004296302795,0.17889368534088135,0.021007593721151352,0.29486969113349915,0.24682199954986572
supporters,0.15520840883255005,0.22487446665763855,0.24381227791309357,0.22867459058761597,0.2024371325969696,0.15340010821819305,0.16357190907001495,0.24381227791309357,0.191199392080307,0.05285879597067833,0.2909589111804962,0.0019318427657708526,0.171993225812912,0.135813906788826
of,0.3307822346687317,0.41548454761505127,0.733189046382904,0.23506702482700348,0.4946078956127167,0.33290785551071167,0.3119818866252899,0.733189046382904,0.24075818061828613,0.06780257821083069,0.29061198234558105,0.13035868108272552,0.27551960945129395,0.1826142966747284
the,0.3202974498271942,0.535392165184021,1.0,0.2277156263589859,0.4933079481124878,0.42745697498321533,0.35928019881248474,1.0,0.3171212375164032,0.029072100296616554,0.29557526111602783,0.041273195296525955,0.25977957248687744,0.22068053483963013
hypothesis,0.1804102063179016,0.22394606471061707,0.2221619188785553,0.5469333529472351,0.15448060631752014,0.32678523659706116,0.21079885959625244,0.2221619188785553,0.21247649192810059,0.12362702935934067,0.20670285820960999,0.027366086840629578,0.24746501445770264,0.20027662813663483
suggest,0.3054114282131195,0.3512662351131439,0.2682655155658722,0.2668500244617462,0.2924377918243408,0.39558762311935425,0.3009047508239746,0.2682655155658722,0.18672451376914978,0.09577585011720657,0.1592836230993271,0.08810777962207794,0.3327842354774475,0.39672672748565674
that,0.29146862030029297,0.5436353087425232,0.5473989248275757,0.36183905601501465,0.4137537479400635,0.6297725439071655,0.4764937460422516,0.5473989248275757,0.27224332094192505,0.05285148695111275,0.19593703746795654,0.007880004122853279,0.3935231864452362,0.32716336846351624
