,what,is,doctor,who,'s,space,ship,called,?
he,0.3114890456199646,0.36230841279029846,0.3197924494743347,0.5500732064247131,0.024063590914011,0.1412113457918167,0.2288777083158493,0.23139433562755585,0.2089974731206894
explores,0.2520177364349365,0.18674089014530182,0.1505562663078308,0.25747397541999817,0.004532813094556332,0.2785818874835968,0.29794925451278687,0.23717427253723145,0.09936756640672684
the,0.42745697498321533,0.5823672413825989,0.2820442318916321,0.3733934462070465,-0.01540423184633255,0.24495907127857208,0.24414241313934326,0.489897221326828,0.22068053483963013
universe,0.2486504465341568,0.22245483100414276,0.2906842529773712,0.20283301174640656,0.014257993549108505,0.33269819617271423,0.18448013067245483,0.16475297510623932,0.22314924001693726
in,0.30808621644973755,0.5394441485404968,0.25567495822906494,0.2792111933231354,-0.037580832839012146,0.17648501694202423,0.21587909758090973,0.40847352147102356,0.20430970191955566
his,0.26976513862609863,0.24372583627700806,0.2365143597126007,0.44966956973075867,0.047556519508361816,0.14531013369560242,0.2134953886270523,0.17527347803115845,0.18075084686279297
tardis,0.21426796913146973,0.19483427703380585,0.5026617050170898,0.2757788300514221,0.014783404767513275,0.33196210861206055,0.3716631829738617,0.2586807906627655,0.14893783628940582
",",0.3087472915649414,0.4691906273365021,0.20407600700855255,0.3365725874900818,-0.0016132977325469255,0.2285580337047577,0.2015654593706131,0.26549121737480164,0.31091248989105225
a,0.3320399522781372,0.658733606338501,0.22883038222789764,0.36608949303627014,0.04866964742541313,0.20296213030815125,0.20629847049713135,0.4868806302547455,0.23916715383529663
sentient,0.31707924604415894,0.288422167301178,0.3606964349746704,0.32247665524482727,0.0009633895824663341,0.23691147565841675,0.19378560781478882,0.31030523777008057,0.17617866396903992
time-travelling,0.3383239209651947,0.21405041217803955,0.2710328996181488,0.29151105880737305,0.039028674364089966,0.3152617812156677,0.2939196825027466,0.23370210826396942,0.21271347999572754
space,0.20525942742824554,0.18578536808490753,0.14775194227695465,0.1441284865140915,-0.1200559139251709,1.0000001192092896,0.2841462790966034,0.14801733195781708,0.1885536164045334
ship,0.15709257125854492,0.16632826626300812,0.1872054785490036,0.23495367169380188,-0.012179100885987282,0.2841462790966034,1.0000001192092896,0.16111893951892853,0.14488010108470917
.,0.3567904531955719,0.4569662809371948,0.22361043095588684,0.3541337847709656,-0.003708066651597619,0.2385488897562027,0.2356855869293213,0.300344854593277,0.4130953550338745
