,what,group,operates,st,dominic,'s,college,in,wanganui,?
there,0.35085538029670715,0.21350394189357758,0.23701919615268707,0.2027922123670578,0.03448787331581116,-0.04860968142747879,0.16884030401706696,0.5361666083335876,0.2254498302936554,0.29405656456947327
are,0.29724663496017456,0.35980498790740967,0.29299119114875793,0.10307276248931885,0.061271801590919495,-0.008927806280553341,0.13193604350090027,0.3841303884983063,0.18818701803684235,0.24591213464736938
three,0.24888746440410614,0.27374130487442017,0.16225019097328186,0.19959162175655365,0.155556321144104,0.03946888819336891,0.1581106185913086,0.34828072786331177,0.18660685420036316,0.20928427577018738
private,0.16778090596199036,0.22237253189086914,0.2775810658931732,0.17338870465755463,0.11011097580194473,0.08433578908443451,0.3220079243183136,0.21135757863521576,0.156549334526062,0.14389030635356903
schools,0.1820785105228424,0.17403405904769897,0.2512872815132141,0.1638050079345703,0.139547199010849,0.003616944421082735,0.43561235070228577,0.2632134258747101,0.23038987815380096,0.18349280953407288
(,0.2411840260028839,0.21665191650390625,0.17397025227546692,0.24305908381938934,0.1699683666229248,0.0012731997994706035,0.14349396526813507,0.3087427020072937,0.19092519581317902,0.40561532974243164
including,0.18328791856765747,0.2925799489021301,0.2274378389120102,0.18772976100444794,0.13348351418972015,0.0074059427715837955,0.14909124374389648,0.35857823491096497,0.1919616460800171,0.1633303165435791
the,0.42745697498321533,0.30795547366142273,0.2663705050945282,0.27966225147247314,0.18171654641628265,-0.01540423184633255,0.19751401245594025,0.6662389636039734,0.2649564743041992,0.22068053483963013
secondary,0.20388361811637878,0.20936909317970276,0.17454518377780914,0.18942415714263916,0.14401626586914062,-0.1052255854010582,0.3636969029903412,0.2103116512298584,0.2827344238758087,0.18118004500865936
school,0.18774057924747467,0.1818808615207672,0.18981273472309113,0.22408007085323334,0.2397279441356659,-0.017113132402300835,0.569277286529541,0.26157811284065247,0.2445661723613739,0.15091250836849213
",",0.3087472915649414,0.2809832692146301,0.24493210017681122,0.2904339134693146,0.1830747127532959,-0.0016132977325469255,0.23942269384860992,0.5201468467712402,0.30169036984443665,0.31091248989105225
