,what,radio,station,do,the,students,of,newcastle,'s,two,universities,run,?
ne1fm,0.22372344136238098,0.38862401247024536,0.3287457227706909,0.21730616688728333,0.2641434669494629,0.1652016043663025,0.22413493692874908,0.24451449513435364,0.0837085098028183,0.2305440902709961,0.1927911639213562,0.20151010155677795,0.21675647795200348
launched,0.1668553501367569,0.2416798174381256,0.2573876678943634,0.1323741227388382,0.2547066807746887,0.1718742400407791,0.20039688050746918,0.20112058520317078,-0.01740374229848385,0.19631856679916382,0.20790883898735046,0.2812331020832062,0.1803835779428482
on,0.34226128458976746,0.2590620815753937,0.29022887349128723,0.3025321364402771,0.5107308030128479,0.2211644947528839,0.3966929316520691,0.1698579639196396,0.0026888418942689896,0.3205535411834717,0.18397578597068787,0.2348233312368393,0.2714994251728058
8,-0.005443718284368515,0.00924704596400261,0.057604655623435974,0.0016797136049717665,0.0063715726137161255,-0.044487208127975464,0.03280399739742279,-0.018346678465604782,0.04971888288855553,0.01382946316152811,-0.03848455846309662,0.11829759180545807,-0.04056251794099808
june,0.2171148657798767,0.197032168507576,0.2509653568267822,0.13082730770111084,0.24568822979927063,0.1905299723148346,0.19721001386642456,0.25722774863243103,-0.0547623410820961,0.1791054904460907,0.16558949649333954,0.1339477151632309,0.31416764855384827
2007,-0.15549811720848083,-0.14389169216156006,-0.12708353996276855,-0.08542926609516144,-0.23657195270061493,-0.18076390027999878,-0.21244128048419952,-0.20566880702972412,-0.07339024543762207,-0.22105616331100464,-0.20833244919776917,-0.20402659475803375,-0.1664225310087204
",",0.3087472915649414,0.25251123309135437,0.2482491284608841,0.3283645510673523,0.4933079481124878,0.26501646637916565,0.4946078956127167,0.251589834690094,-0.0016132977325469255,0.35859420895576477,0.2774002254009247,0.2309936285018921,0.31091248989105225
the,0.42745697498321533,0.23511973023414612,0.23609806597232819,0.30239659547805786,1.0,0.25268980860710144,0.733189046382904,0.2253497689962387,-0.01540423184633255,0.43858039379119873,0.2619408071041107,0.27883726358413696,0.22068053483963013
first,0.28086137771606445,0.2260897308588028,0.1849050670862198,0.19137287139892578,0.49448907375335693,0.20453645288944244,0.3536086082458496,0.2823651134967804,-0.014458609744906425,0.3794230818748474,0.20648209750652313,0.27061694860458374,0.18701928853988647
full-time,0.3223298490047455,0.2902052104473114,0.2567761540412903,0.28151950240135193,0.32999011874198914,0.27521950006484985,0.27541229128837585,0.2752922475337982,0.024716461077332497,0.17808035016059875,0.21497122943401337,0.23330582678318024,0.2854166030883789
community,0.29032719135284424,0.1427294760942459,0.20173999667167664,0.24250327050685883,0.2601400911808014,0.2756705582141876,0.2367410808801651,0.14818978309631348,0.020855724811553955,0.12822388112545013,0.2989608943462372,0.22204017639160156,0.2380419820547104
radio,0.16863368451595306,0.9999999403953552,0.4113904535770416,0.135273277759552,0.23511973023414612,0.1480562537908554,0.16079017519950867,0.15122142434120178,0.13450658321380615,0.18818210065364838,0.23488491773605347,0.15575599670410156,0.08763375133275986
station,0.1613752841949463,0.4113904535770416,1.0,0.13935571908950806,0.23609806597232819,0.1681249588727951,0.17394597828388214,0.26673999428749084,-0.04233921319246292,0.1923677623271942,0.22306019067764282,0.24735938012599945,0.12574981153011322
in,0.30808621644973755,0.22625693678855896,0.21784305572509766,0.23402775824069977,0.6662389636039734,0.2676171064376831,0.5696388483047485,0.19270820915699005,-0.037580832839012146,0.36463531851768494,0.2965206503868103,0.26368704438209534,0.20430970191955566
the,0.42745697498321533,0.23511973023414612,0.23609806597232819,0.30239659547805786,1.0,0.25268980860710144,0.733189046382904,0.2253497689962387,-0.01540423184633255,0.43858039379119873,0.2619408071041107,0.27883726358413696,0.22068053483963013
area,0.21965408325195312,0.15588079392910004,0.31827661395072937,0.19017988443374634,0.37834644317626953,0.20546038448810577,0.3409860134124756,0.18503880500793457,-0.002423585159704089,0.15958356857299805,0.17833928763866425,0.16813494265079498,0.12640461325645447
.,0.3567904531955719,0.20650681853294373,0.20999185740947723,0.3613996207714081,0.5934505462646484,0.2607303857803345,0.5352458953857422,0.2714749276638031,-0.003708066651597619,0.3524959683418274,0.2545505464076996,0.2739698588848114,0.4130953550338745
