,what,native,chief,travelled,to,french,fort,and,threatened,marin,?
as,0.31749409437179565,0.22190400958061218,0.21105271577835083,0.22698980569839478,0.42092081904411316,0.20159029960632324,0.21955958008766174,0.49487000703811646,0.17446663975715637,0.15737514197826385,0.27043893933296204
he,0.3114890456199646,0.13183444738388062,0.27648431062698364,0.34528273344039917,0.385390967130661,0.24281810224056244,0.17954927682876587,0.45427167415618896,0.2110709398984909,0.24139384925365448,0.2089974731206894
moved,0.20601840317249298,0.19676072895526886,0.1415414661169052,0.3704170286655426,0.2918468713760376,0.13405168056488037,0.18317218124866486,0.2855120301246643,0.2063058614730835,0.15089499950408936,0.15112607181072235
south,0.15388517081737518,0.2633354663848877,0.13772794604301453,0.2950216233730316,0.25657615065574646,0.18581080436706543,0.24956068396568298,0.3140619993209839,0.15929841995239258,0.23379968106746674,0.12336621433496475
",",0.3087472915649414,0.30732813477516174,0.22851578891277313,0.2146138846874237,0.44245919585227966,0.28806620836257935,0.2651418149471283,0.6633074283599854,0.23432491719722748,0.29242756962776184,0.31091248989105225
he,0.3114890456199646,0.13183444738388062,0.27648431062698364,0.34528273344039917,0.385390967130661,0.24281810224056244,0.17954927682876587,0.45427167415618896,0.2110709398984909,0.24139384925365448,0.2089974731206894
drove,0.1460457593202591,0.12937523424625397,0.1647500991821289,0.2765159606933594,0.19938457012176514,0.09366816282272339,0.23938573896884918,0.20731870830059052,0.23939979076385498,0.143541157245636,0.10733011364936829
off,0.2350364625453949,0.0601557195186615,0.04891121760010719,0.15372316539287567,0.3533020317554474,0.12152348458766937,0.15176823735237122,0.2800697982311249,0.2479425072669983,0.0822741910815239,0.12937544286251068
or,0.33867141604423523,0.23914238810539246,0.12002711743116379,0.17689208686351776,0.38921234011650085,0.1938561201095581,0.1358838677406311,0.4713204801082611,0.2826586663722992,0.09599940478801727,0.32389625906944275
captured,0.1119019091129303,0.19107288122177124,0.17359690368175507,0.2895655333995819,0.22367680072784424,0.12466463446617126,0.29403260350227356,0.23562167584896088,0.3161373436450958,0.14649924635887146,0.11851847916841507
