,which,train,company,provides,local,and,regional,services,?
first,0.3828166127204895,0.20000076293945312,0.23999588191509247,0.17503055930137634,0.18006105720996857,0.3167642652988434,0.19800147414207458,0.21689589321613312,0.18701928853988647
transpennine,0.38114073872566223,0.48159515857696533,0.25093698501586914,0.39349785447120667,0.18654239177703857,0.3010430634021759,0.3155236542224884,0.49602141976356506,0.13907945156097412
express,0.20129014551639557,0.4059690535068512,0.21719150245189667,0.2905322313308716,0.1470262110233307,0.18311074376106262,0.24811461567878723,0.28847092390060425,0.13246142864227295
operates,0.32561740279197693,0.3077470660209656,0.35750120878219604,0.45218268036842346,0.24950873851776123,0.254499614238739,0.28955167531967163,0.4552261531352997,0.12270797789096832
services,0.28976115584373474,0.37006330490112305,0.2790718972682953,0.5080482363700867,0.27144643664360046,0.30811867117881775,0.2896116375923157,1.0,0.1328447163105011
to,0.5345056653022766,0.23553375899791718,0.24903783202171326,0.2667657732963562,0.2207600325345993,0.48971283435821533,0.2016860693693161,0.27867045998573303,0.29463258385658264
manchester,0.20861701667308807,0.23865574598312378,0.1965610235929489,0.18968990445137024,0.17042113840579987,0.2305862158536911,0.256561815738678,0.2726118862628937,0.1106586754322052
and,0.506277859210968,0.24473558366298676,0.23788511753082275,0.28077030181884766,0.2468787580728531,1.0,0.2256052941083908,0.30811867117881775,0.20544172823429108
liverpool,0.25035491585731506,0.28315961360931396,0.2011684626340866,0.1913817673921585,0.20293304324150085,0.24205148220062256,0.20404192805290222,0.3306625783443451,0.11240486055612564
.,0.45942068099975586,0.22884486615657806,0.266353577375412,0.1774633228778839,0.26217252016067505,0.588965117931366,0.19812951982021332,0.2179025262594223,0.4130953550338745
