,in,what,area,of,this,british,colony,were,huguenot,land,grants,?
in,1.0,0.30808621644973755,0.33632898330688477,0.5696388483047485,0.45205554366111755,0.23084034025669098,0.25087448954582214,0.3815755248069763,0.26198551058769226,0.22871792316436768,0.22626352310180664,0.20430970191955566
1700,0.03750363364815712,0.11454621702432632,0.25535333156585693,0.04021696373820305,0.06577219814062119,-0.06863673031330109,0.026709478348493576,0.07916326820850372,0.127486452460289,0.03559878095984459,0.0028058227617293596,0.23029880225658417
several,0.39405709505081177,0.22446060180664062,0.23022641241550446,0.3271615505218506,0.34718775749206543,0.23952440917491913,0.21751317381858826,0.3978578448295593,0.21934939920902252,0.17244641482830048,0.19815652072429657,0.15595775842666626
hundred,0.2835391163825989,0.16879357397556305,0.1988006830215454,0.3473483920097351,0.2744657099246979,0.23822440207004547,0.23338119685649872,0.34201544523239136,0.2877728343009949,0.18524210155010223,0.22201621532440186,0.17378053069114685
french,0.22093388438224792,0.17393042147159576,0.09145350754261017,0.19450366497039795,0.2380896955728531,0.43574923276901245,0.2202957570552826,0.22002479434013367,0.5233030915260315,0.10772325843572617,0.10296422988176346,0.1386883556842804
huguenots,0.25916293263435364,0.22128188610076904,0.2227916568517685,0.27577435970306396,0.2504573166370392,0.2702842354774475,0.35270920395851135,0.2728680968284607,0.9459913372993469,0.2369009107351303,0.2655643820762634,0.16010338068008423
migrated,0.24539399147033691,0.19371747970581055,0.2620774209499359,0.22638455033302307,0.23101800680160522,0.16746507585048676,0.2544713616371155,0.25121644139289856,0.18123771250247955,0.21163654327392578,0.22386032342910767,0.10196463763713837
from,0.4274188280105591,0.2737620174884796,0.24361829459667206,0.4249346852302551,0.3469814360141754,0.21991202235221863,0.18396958708763123,0.29991888999938965,0.1858682930469513,0.21997374296188354,0.21214406192302704,0.19969791173934937
england,0.33311840891838074,0.21399550139904022,0.2232169210910797,0.24624483287334442,0.25592857599258423,0.3223974108695984,0.2982803285121918,0.3110785484313965,0.3357331156730652,0.2197098433971405,0.3311556279659271,0.13436897099018097
to,0.45010748505592346,0.455847829580307,0.2797197997570038,0.41548454761505127,0.5759071707725525,0.22690963745117188,0.27651169896125793,0.31913647055625916,0.24496324360370636,0.2885280251502991,0.2831681966781616,0.29463258385658264
the,0.6662389636039734,0.42745697498321533,0.37834644317626953,0.733189046382904,0.6274310946464539,0.28973397612571716,0.2740810811519623,0.3906462490558624,0.29557526111602783,0.28587454557418823,0.2900126874446869,0.22068053483963013
colony,0.25087448954582214,0.26261213421821594,0.23641829192638397,0.2552715241909027,0.17596372961997986,0.30577272176742554,1.0000001192092896,0.25585371255874634,0.32352373003959656,0.3496568202972412,0.1980256587266922,0.13831071555614471
of,0.5696388483047485,0.33290785551071167,0.3409860134124756,1.0,0.45148900151252747,0.23701532185077667,0.2552715241909027,0.34038281440734863,0.29061198234558105,0.3057127296924591,0.3099519908428192,0.1826142966747284
virginia,0.2449580281972885,0.19189345836639404,0.19200189411640167,0.2102794647216797,0.18880487978458405,0.20323075354099274,0.3089219331741333,0.16678361594676971,0.18723717331886292,0.19478802382946014,0.23322486877441406,0.18036006391048431
",",0.5201468467712402,0.3087472915649414,0.2664283812046051,0.4946078956127167,0.4316047728061676,0.25734075903892517,0.23671650886535645,0.36755475401878357,0.24752236902713776,0.22220008075237274,0.30463892221450806,0.31091248989105225
where,0.5344807505607605,0.4457937180995941,0.3338260352611542,0.38066378235816956,0.4012809097766876,0.1694505214691162,0.19736720621585846,0.2363632768392563,0.2579043209552765,0.21639515459537506,0.21786443889141083,0.24793872237205505
the,0.6662389636039734,0.42745697498321533,0.37834644317626953,0.733189046382904,0.6274310946464539,0.28973397612571716,0.2740810811519623,0.3906462490558624,0.29557526111602783,0.28587454557418823,0.2900126874446869,0.22068053483963013
