,along,with,trusts,",",what,other,non-profits,are,allowed,to,run,schools,in,india,?
legally,0.12138860672712326,0.18603312969207764,0.2936016619205475,0.1948145478963852,0.25547662377357483,0.23687264323234558,0.30641844868659973,0.2600025236606598,0.3454194664955139,0.3119829595088959,0.24047422409057617,0.15438269078731537,0.23057961463928223,0.1885235607624054,0.15887223184108734
",",0.29824912548065186,0.4120737314224243,0.15584725141525269,1.0000001192092896,0.3087472915649414,0.4446498453617096,0.18595466017723083,0.4062570035457611,0.2785535454750061,0.44245919585227966,0.2309936285018921,0.2760516405105591,0.5201468467712402,0.2621418535709381,0.31091248989105225
only,0.2545910179615021,0.367427259683609,0.21625851094722748,0.4220978021621704,0.41415658593177795,0.43831267952919006,0.29787230491638184,0.4533037543296814,0.452887624502182,0.5096819996833801,0.2722700536251068,0.2455408126115799,0.42992329597473145,0.20415101945400238,0.2767370045185089
non-profit,0.14059193432331085,0.146597221493721,0.36910486221313477,0.20416156947612762,0.23789295554161072,0.3264215588569641,0.8670871257781982,0.26550161838531494,0.21120500564575195,0.25030645728111267,0.2742043137550354,0.26210853457450867,0.1804439276456833,0.18510085344314575,0.23200352489948273
trusts,0.17894111573696136,0.1562686264514923,1.0,0.15584725141525269,0.3068753480911255,0.25298210978507996,0.35261136293411255,0.2794470489025116,0.2548893690109253,0.24561622738838196,0.27339404821395874,0.2204195261001587,0.14143748581409454,0.1968853771686554,0.16808827221393585
and,0.4213258922100067,0.5477725267410278,0.2626102566719055,0.6633074283599854,0.31309178471565247,0.5504306554794312,0.22809530794620514,0.48576638102531433,0.30774351954460144,0.48971283435821533,0.2711782455444336,0.29319998621940613,0.4954058527946472,0.2782815098762512,0.20544172823429108
societies,0.11208562552928925,0.16941717267036438,0.320127934217453,0.21560031175613403,0.21333153545856476,0.308461457490921,0.3684103190898895,0.2801797091960907,0.25679850578308105,0.22278375923633575,0.11152008920907974,0.3368659019470215,0.18610723316669464,0.23080259561538696,0.19051554799079895
can,0.17559465765953064,0.3572797477245331,0.2601698637008667,0.3139454126358032,0.34502777457237244,0.454561322927475,0.32205429673194885,0.5408529043197632,0.397124707698822,0.4979398250579834,0.23947182297706604,0.162617489695549,0.26527702808380127,0.19894768297672272,0.3226337134838104
run,0.20148341357707977,0.16277898848056793,0.27339404821395874,0.2309936285018921,0.2294815480709076,0.2644082307815552,0.2972559332847595,0.2580355107784271,0.2263108193874359,0.2691870927810669,1.0,0.20951882004737854,0.26368704438209534,0.05443160980939865,0.17904110252857208
schools,0.19221381843090057,0.13740696012973785,0.2204195261001587,0.2760516405105591,0.1820785105228424,0.24327325820922852,0.24519026279449463,0.30816179513931274,0.2595996558666229,0.2362271547317505,0.20951882004737854,1.0,0.2632134258747101,0.19594700634479523,0.18349280953407288
in,0.3603311777114868,0.4080928862094879,0.14143748581409454,0.5201468467712402,0.30808621644973755,0.39989137649536133,0.17366449534893036,0.3841303884983063,0.23683252930641174,0.45010748505592346,0.26368704438209534,0.2632134258747101,1.0,0.27070173621177673,0.20430970191955566
india,0.16906490921974182,0.1821180135011673,0.1968853771686554,0.2621418535709381,0.23203566670417786,0.22591955959796906,0.20874488353729248,0.170655757188797,0.1643379181623459,0.23679906129837036,0.05443160980939865,0.19594700634479523,0.27070173621177673,1.0,0.10473668575286865
.,0.27491724491119385,0.4446153938770294,0.20622941851615906,0.6812511086463928,0.3567904531955719,0.41511186957359314,0.23226016759872437,0.3452940285205841,0.3197084665298462,0.4645031690597534,0.2739698588848114,0.2752705216407776,0.5591574311256409,0.29068249464035034,0.4130953550338745
