,what,is,the,approximate,turbine,entry,temperature,of,a,gas,turbine,?
gas,0.20887799561023712,0.1897863894701004,0.2339978665113449,0.18043124675750732,0.4041033685207367,0.13045798242092133,0.3667996823787689,0.21246914565563202,0.26485589146614075,0.9999999403953552,0.4041033685207367,0.1582372784614563
turbines,0.17412316799163818,0.24277569353580475,0.2202165722846985,0.2168269157409668,0.9344314932823181,0.16881133615970612,0.33205169439315796,0.2403727024793625,0.26460933685302734,0.3993881046772003,0.9344314932823181,0.18342499434947968
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.295393705368042,0.21183495223522186,0.22724184393882751,0.2439086139202118,0.4946078956127167,0.427140474319458,0.22298859059810638,0.21183495223522186,0.31091248989105225
for,0.3017193675041199,0.43268078565597534,0.4739971458911896,0.1537155658006668,0.16188207268714905,0.24442750215530396,0.1894524246454239,0.4185989499092102,0.44038116931915283,0.2126288264989853,0.16188207268714905,0.264628142118454
instance,0.3862040638923645,0.33154773712158203,0.3539782464504242,0.24270430207252502,0.18519806861877441,0.2545023262500763,0.3147924542427063,0.3011147379875183,0.40728384256362915,0.23725569248199463,0.18519806861877441,0.30205854773521423
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.295393705368042,0.21183495223522186,0.22724184393882751,0.2439086139202118,0.4946078956127167,0.427140474319458,0.22298859059810638,0.21183495223522186,0.31091248989105225
have,0.39808809757232666,0.3613572418689728,0.40389683842658997,0.14936600625514984,0.1599147468805313,0.2000730037689209,0.22338318824768066,0.3802283704280853,0.338716596364975,0.2242230474948883,0.1599147468805313,0.32991164922714233
turbine,0.1404699683189392,0.20463748276233673,0.1799832284450531,0.2079443782567978,1.0000001192092896,0.18177199363708496,0.3029460906982422,0.17630848288536072,0.23364008963108063,0.4041033685207367,1.0000001192092896,0.16315746307373047
entry,0.23903775215148926,0.20053718984127045,0.22964252531528473,0.08161947131156921,0.18177199363708496,1.0000001192092896,0.17447511851787567,0.19316929578781128,0.21248941123485565,0.13045798242092133,0.18177199363708496,0.21010564267635345
temperatures,0.2523624897003174,0.2816123366355896,0.27544233202934265,0.21999944746494293,0.2942342162132263,0.17291224002838135,0.9382470846176147,0.2011728584766388,0.23293450474739075,0.3626074194908142,0.2942342162132263,0.1895846426486969
approaching,0.3204135000705719,0.1877070814371109,0.2787061631679535,0.2547590136528015,0.22702236473560333,0.14976835250854492,0.2685578763484955,0.2526879608631134,0.25877878069877625,0.20087158679962158,0.22702236473560333,0.19988872110843658
1500,-0.06053812801837921,0.053599774837493896,-0.03235486149787903,0.03363225236535072,0.005044400691986084,0.00446260254830122,0.022449348121881485,-0.014473051764070988,-0.019087297841906548,-0.010665410198271275,0.005044400691986084,0.08418000489473343
°c,0.2101275473833084,0.22964106500148773,0.1833128035068512,0.24744917452335358,0.26654452085494995,0.19195382297039032,0.7912421226501465,0.11791849136352539,0.14231225848197937,0.311021625995636,0.26654452085494995,0.2095707356929779
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.23228071630001068,0.22899852693080902,0.21514472365379333,0.2795942425727844,0.5352458953857422,0.50484299659729,0.24812045693397522,0.22899852693080902,0.4130953550338745
