,why,was,tetzel,seeking,money,in,germany,?
in,0.23227278888225555,0.45514053106307983,0.26100096106529236,0.21344146132469177,0.2393328845500946,1.0,0.3642844259738922,0.20430970191955566
1516,-0.19194114208221436,-0.0013354268157854676,-0.04250679165124893,-0.07345695793628693,-0.18607255816459656,-0.18417519330978394,-0.015106428414583206,-0.039695288985967636
",",0.2827242314815521,0.45456063747406006,0.33824118971824646,0.25406455993652344,0.24156853556632996,0.5201468467712402,0.2898865044116974,0.31091248989105225
johann,0.15220166742801666,0.22661232948303223,0.36588191986083984,0.02037700265645981,0.12280276417732239,0.1748005747795105,0.3632591962814331,0.1194499209523201
tetzel,0.13172242045402527,0.19295687973499298,0.9999999403953552,0.10344865918159485,0.07786732167005539,0.26100096106529236,0.36571425199508667,0.1545286476612091
",",0.2827242314815521,0.45456063747406006,0.33824118971824646,0.25406455993652344,0.24156853556632996,0.5201468467712402,0.2898865044116974,0.31091248989105225
a,0.2667238116264343,0.4508470594882965,0.30731338262557983,0.2707524299621582,0.2777978479862213,0.539380669593811,0.2606942057609558,0.23916715383529663
dominican,0.14277444779872894,0.22250740230083466,0.19497551023960114,0.0789983719587326,0.1671036332845688,0.23481643199920654,0.30807334184646606,0.1766073852777481
friar,0.15519055724143982,0.2224845141172409,0.219565749168396,0.11179214715957642,0.15116597712039948,0.21622686088085175,0.16714251041412354,0.13224560022354126
and,0.27806392312049866,0.3740963041782379,0.2300480306148529,0.2602940499782562,0.3070235550403595,0.4954058527946472,0.29381805658340454,0.20544172823429108
papal,0.13763050734996796,0.2140740603208542,0.15923765301704407,0.2820030152797699,0.1477823108434677,0.21801839768886566,0.27605894207954407,0.18529073894023895
commissioner,0.1137547716498375,0.3285019099712372,0.11784257739782333,0.1472441852092743,0.2578882873058319,0.25561144948005676,0.14404499530792236,0.1209191158413887
for,0.3869043290615082,0.3863949179649353,0.17281296849250793,0.32114171981811523,0.3105318546295166,0.4322226941585541,0.2319389283657074,0.264628142118454
indulgences,0.24031981825828552,0.19507549703121185,0.13006402552127838,0.3054499924182892,0.31781092286109924,0.18559019267559052,0.1785118579864502,0.21964608132839203
",",0.2827242314815521,0.45456063747406006,0.33824118971824646,0.25406455993652344,0.24156853556632996,0.5201468467712402,0.2898865044116974,0.31091248989105225
was,0.23341619968414307,1.0000001192092896,0.19295687973499298,0.12051687389612198,0.26597723364830017,0.45514053106307983,0.2618768811225891,0.18412111699581146
sent,0.22900262475013733,0.3192673325538635,0.09652723371982574,0.1809353530406952,0.2607152760028839,0.25609636306762695,0.15293505787849426,0.10903520882129669
to,0.4100138247013092,0.3636345863342285,0.17206594347953796,0.3810454308986664,0.3124290704727173,0.45010748505592346,0.24172882735729218,0.29463258385658264
germany,0.14722485840320587,0.2618768811225891,0.36571425199508667,0.19501028954982758,0.18334107100963593,0.3642844259738922,1.0,0.1388660967350006
by,0.19170543551445007,0.4752357602119446,0.19011451303958893,0.144328773021698,0.2333964854478836,0.370934396982193,0.22670169174671173,0.17966607213020325
the,0.30742117762565613,0.48711544275283813,0.26067298650741577,0.27082350850105286,0.2699695825576782,0.6662389636039734,0.3181285262107849,0.22068053483963013
roman,0.1719542294740677,0.23496849834918976,0.15659905970096588,0.14521394670009613,0.14924076199531555,0.24986636638641357,0.26472195982933044,0.1663191318511963
catholic,0.20735277235507965,0.2832975387573242,0.10351230204105377,0.15577760338783264,0.16017675399780273,0.26313918828964233,0.19547300040721893,0.16609853506088257
church,0.20738767087459564,0.24960921704769135,0.11184664070606232,0.12970823049545288,0.19516867399215698,0.2493300437927246,0.20452405512332916,0.18081501126289368
to,0.4100138247013092,0.3636345863342285,0.17206594347953796,0.3810454308986664,0.3124290704727173,0.45010748505592346,0.24172882735729218,0.29463258385658264
sell,0.16303466260433197,0.2253432720899582,0.20450766384601593,0.2646867632865906,0.4844709634780884,0.23190630972385406,0.2024356871843338,0.1556897759437561
indulgences,0.24031981825828552,0.19507549703121185,0.13006402552127838,0.3054499924182892,0.31781092286109924,0.18559019267559052,0.1785118579864502,0.21964608132839203
to,0.4100138247013092,0.3636345863342285,0.17206594347953796,0.3810454308986664,0.3124290704727173,0.45010748505592346,0.24172882735729218,0.29463258385658264
raise,0.19620783627033234,0.1635618805885315,0.1648808866739273,0.2961604595184326,0.41175344586372375,0.1973239779472351,0.1631888449192047,0.13340649008750916
money,0.2483239769935608,0.26597723364830017,0.07786732167005539,0.23752714693546295,0.9999998807907104,0.2393328845500946,0.18334107100963593,0.2069680541753769
to,0.4100138247013092,0.3636345863342285,0.17206594347953796,0.3810454308986664,0.3124290704727173,0.45010748505592346,0.24172882735729218,0.29463258385658264
rebuild,0.13391324877738953,0.28293436765670776,0.06119569018483162,0.17856720089912415,0.34842416644096375,0.24307963252067566,0.16866952180862427,0.11057925969362259
st.,0.12700022757053375,0.17142929136753082,0.324545294046402,0.15020039677619934,0.14582540094852448,0.15931649506092072,0.22310543060302734,0.13592876493930817
peter,0.15527333319187164,0.24126720428466797,0.23134548962116241,0.12632733583450317,0.14244017004966736,0.168073832988739,0.15332382917404175,0.11650477349758148
's,-0.016663772985339165,0.008974763564765453,0.025626985356211662,0.037819892168045044,0.11903500556945801,-0.037580832839012146,0.07082316279411316,-0.023395681753754616
basilica,0.20734187960624695,0.24066516757011414,0.07035253196954727,0.06564488261938095,0.14866375923156738,0.22311991453170776,0.18669317662715912,0.17847876250743866
in,0.23227278888225555,0.45514053106307983,0.26100096106529236,0.21344146132469177,0.2393328845500946,1.0,0.3642844259738922,0.20430970191955566
rome,0.15381808578968048,0.2939697206020355,0.09188713878393173,0.18809181451797485,0.18304108083248138,0.25722408294677734,0.28806188702583313,0.16867119073867798
.,0.32909876108169556,0.40146201848983765,0.30589956045150757,0.23147916793823242,0.2570818066596985,0.5591574311256409,0.28498756885528564,0.4130953550338745
