,what,allows,customers,to,get,sky+,functions,if,they,do,not,subscribe,to,bskyb,'s,channels,?
customers,0.2209549993276596,0.28281325101852417,1.0,0.3428913950920105,0.28627848625183105,0.23690320551395416,0.2829988896846771,0.225819393992424,0.3953627049922943,0.23540785908699036,0.28701409697532654,0.4176810383796692,0.3428913950920105,0.16798615455627441,0.056327514350414276,0.3226124942302704,0.203953355550766
that,0.6297725439071655,0.33287981152534485,0.3066955804824829,0.5436353087425232,0.3748580515384674,0.20177006721496582,0.300773561000824,0.5634250640869141,0.5710820555686951,0.44533252716064453,0.6600887179374695,0.26416659355163574,0.5436353087425232,0.13467830419540405,0.04397977516055107,0.23954801261425018,0.32716336846351624
do,0.4609605669975281,0.31501758098602295,0.23540785908699036,0.38876664638519287,0.46355509757995605,0.08943720161914825,0.28944122791290283,0.4196736514568329,0.4667694866657257,1.0,0.6619802713394165,0.28472936153411865,0.38876664638519287,0.1551859825849533,-0.01994597539305687,0.17528873682022095,0.4093979299068451
not,0.5449194312095642,0.32376328110694885,0.28701409697532654,0.5149973034858704,0.4426962435245514,0.09635140746831894,0.27499905228614807,0.6100378632545471,0.5804335474967957,0.6619802713394165,0.9999999403953552,0.26551759243011475,0.5149973034858704,0.1742992103099823,0.002583299996331334,0.20394136011600494,0.41942933201789856
subscribe,0.2579496502876282,0.29238247871398926,0.4176810383796692,0.27104270458221436,0.24636012315750122,0.134497731924057,0.26122358441352844,0.30948495864868164,0.24908964335918427,0.28472936153411865,0.26551759243011475,1.0,0.27104270458221436,0.2751874625682831,0.06253005564212799,0.38877561688423157,0.3082660734653473
to,0.455847829580307,0.4045441448688507,0.3428913950920105,1.0,0.4388369917869568,0.1998964548110962,0.24301983416080475,0.4559597074985504,0.5452046394348145,0.38876664638519287,0.5149973034858704,0.27104270458221436,1.0,0.16040074825286865,0.03782717138528824,0.21767447888851166,0.29463258385658264
bskyb,0.17457032203674316,0.21521715819835663,0.16798615455627441,0.16040074825286865,0.09634572267532349,0.41069135069847107,0.203626349568367,0.19842150807380676,0.1337079107761383,0.1551859825849533,0.1742992103099823,0.2751874625682831,0.16040074825286865,1.0000001192092896,0.046084970235824585,0.1449941098690033,0.2979319989681244
's,0.02692362666130066,0.04215788096189499,0.056327514350414276,0.03782717138528824,-0.031001994386315346,0.03897964954376221,-0.10537923872470856,-0.0015437148977071047,0.03738465905189514,-0.01994597539305687,0.002583299996331334,0.06253005564212799,0.03782717138528824,0.046084970235824585,0.9999999403953552,0.09595498442649841,-0.023395681753754616
channels,0.1923084557056427,0.29722586274147034,0.3226124942302704,0.21767447888851166,0.22860294580459595,0.19566278159618378,0.3055749833583832,0.2322022169828415,0.29764610528945923,0.17528873682022095,0.20394136011600494,0.38877561688423157,0.21767447888851166,0.1449941098690033,0.09595498442649841,1.0,0.19657258689403534
can,0.34502777457237244,0.5649749636650085,0.3105412423610687,0.4979398250579834,0.4816424250602722,0.18626058101654053,0.33514443039894104,0.5903681516647339,0.47909218072891235,0.45775556564331055,0.49270012974739075,0.2907697558403015,0.4979398250579834,0.1512226015329361,-0.02075597457587719,0.2696319818496704,0.3226337134838104
