,what,did,the,use,of,steam,engines,in,farming,lead,to,?
their,0.35142919421195984,0.38078752160072327,0.516537070274353,0.3415622115135193,0.4329940676689148,0.17527107894420624,0.22963929176330566,0.34976133704185486,0.16996508836746216,0.2087358832359314,0.44619059562683105,0.1898253709077835
use,0.3453877568244934,0.32446643710136414,0.34342584013938904,1.0,0.2750902473926544,0.2950085997581482,0.27862992882728577,0.2715643048286438,0.24864491820335388,0.1701044887304306,0.47261837124824524,0.32795652747154236
in,0.30808621644973755,0.2593238651752472,0.6662389636039734,0.2715643048286438,0.5696388483047485,0.19852672517299652,0.18084456026554108,1.0,0.2961566150188446,0.2055644989013672,0.45010748505592346,0.20430970191955566
agriculture,0.18790777027606964,0.10786198824644089,0.29133129119873047,0.22273431718349457,0.3250654935836792,0.21104322373867035,0.19747750461101532,0.28221622109413147,0.7174944281578064,0.05204974114894867,0.2176959365606308,0.11401621997356415
led,0.12112844735383987,0.3213953971862793,0.3267505168914795,0.09976138174533844,0.32918456196784973,0.14877061545848846,0.20225544273853302,0.2990247309207916,0.13505402207374573,0.3712044358253479,0.21815308928489685,0.09273858368396759
to,0.455847829580307,0.4452643394470215,0.535392165184021,0.47261837124824524,0.41548454761505127,0.22894427180290222,0.24536406993865967,0.45010748505592346,0.26032838225364685,0.23490607738494873,1.0,0.29463258385658264
an,0.2821882665157318,0.22598257660865784,0.4207492768764496,0.24603988230228424,0.32280945777893066,0.13589277863502502,0.1675238460302353,0.2605783939361572,0.15666356682777405,0.2059066742658615,0.3138085603713989,0.19793890416622162
increase,0.21153631806373596,0.15550044178962708,0.32049667835235596,0.33915990591049194,0.3156060576438904,0.20954903960227966,0.2526530623435974,0.25893163681030273,0.22317801415920258,0.22923265397548676,0.3378143310546875,0.11119163036346436
in,0.30808621644973755,0.2593238651752472,0.6662389636039734,0.2715643048286438,0.5696388483047485,0.19852672517299652,0.18084456026554108,1.0,0.2961566150188446,0.2055644989013672,0.45010748505592346,0.20430970191955566
the,0.42745697498321533,0.34736719727516174,1.0,0.34342584013938904,0.733189046382904,0.23105813562870026,0.2245008647441864,0.6662389636039734,0.26529598236083984,0.21995973587036133,0.535392165184021,0.22068053483963013
land,0.23411516845226288,0.19881628453731537,0.28587454557418823,0.18931825459003448,0.3057127296924591,0.15924197435379028,0.20061631500720978,0.22871792316436768,0.38272520899772644,0.09882462024688721,0.2885280251502991,0.1432059109210968
available,0.22032985091209412,0.16359347105026245,0.26723232865333557,0.44436103105545044,0.2416580766439438,0.2436283379793167,0.25817906856536865,0.1939793825149536,0.1732153594493866,0.07913294434547424,0.2394571453332901,0.2501629889011383
