,what,change,in,conditions,may,make,the,amazon,rainforest,unsustainable,?
one,0.376489520072937,0.281233549118042,0.4129433035850525,0.1960677057504654,0.2514621615409851,0.3527044355869293,0.5514441132545471,0.17098593711853027,0.2546979784965515,0.19923824071884155,0.2673267424106598
computer,0.26911869645118713,0.21972237527370453,0.18321871757507324,0.1117042526602745,0.22451436519622803,0.24482129514217377,0.19781450927257538,0.22540855407714844,0.16432307660579681,0.2545778155326843,0.20203553140163422
model,0.2303347885608673,0.14520089328289032,0.2267826348543167,0.17116525769233704,0.1329871416091919,0.18724055588245392,0.14028635621070862,0.17325818538665771,0.15805865824222565,0.18534190952777863,0.14843042194843292
of,0.33290785551071167,0.2569013833999634,0.5696388483047485,0.2074868083000183,0.26447007060050964,0.2912110388278961,0.733189046382904,0.20143137872219086,0.22522282600402832,0.2565132975578308,0.1826142966747284
future,0.29700374603271484,0.22437302768230438,0.15554536879062653,0.24930979311466217,0.2740321457386017,0.30070656538009644,0.2337762415409088,0.12834583222866058,0.09010060876607895,0.3185863792896271,0.3367180824279785
climate,0.2854173183441162,0.3181478679180145,0.24209141731262207,0.3591345548629761,0.138997420668602,0.19831442832946777,0.2693597674369812,0.21384435892105103,0.4462570548057556,0.35011667013168335,0.19998492300510406
change,0.3690716028213501,0.9999998807907104,0.2510564923286438,0.3007681369781494,0.2796947658061981,0.380806565284729,0.3641999065876007,0.08936157077550888,0.1487647444009781,0.29306459426879883,0.24115969240665436
caused,0.22264783084392548,0.2528924345970154,0.2494886964559555,0.3437596559524536,0.2750105857849121,0.2781310975551605,0.24990202486515045,0.09666959196329117,0.2313433289527893,0.16946277022361755,0.20679491758346558
by,0.2455483376979828,0.2329561412334442,0.370934396982193,0.18849025666713715,0.1970296949148178,0.2695997655391693,0.4408751428127289,0.16320857405662537,0.16387821733951569,0.19549047946929932,0.17966607213020325
greenhouse,0.18998095393180847,0.28650522232055664,0.18596510589122772,0.28279730677604675,0.2789297103881836,0.24842914938926697,0.24104130268096924,0.19569648802280426,0.3517635464668274,0.34148839116096497,0.17256315052509308
gas,0.20887799561023712,0.19660690426826477,0.20770272612571716,0.22416573762893677,0.15962132811546326,0.271226704120636,0.2339978665113449,0.1679660826921463,0.22264611721038818,0.24265868961811066,0.1582372784614563
