,who,does,not,take,a,position,on,the,canonicity,of,doctor,who,stories,by,other,media,?
in,0.2792111933231354,0.214483380317688,0.3403114080429077,0.21975718438625336,0.539380669593811,0.20453733205795288,0.46853652596473694,0.6662389636039734,0.26049718260765076,0.5696388483047485,0.25567495822906494,0.2792111933231354,0.22487233579158783,0.370934396982193,0.39989137649536133,0.19773486256599426,0.20430970191955566
this,0.3345087468624115,0.4166489243507385,0.557635486125946,0.3235001862049103,0.5422310829162598,0.2833313047885895,0.4193967580795288,0.6274310946464539,0.34118109941482544,0.45148900151252747,0.16758373379707336,0.3345087468624115,0.1666046679019928,0.38438332080841064,0.43044695258140564,0.20491020381450653,0.3155723512172699
respect,0.3198765516281128,0.29321688413619995,0.378264456987381,0.26181116700172424,0.21947547793388367,0.2787512242794037,0.15042367577552795,0.2571326196193695,0.3450503349304199,0.2707009017467499,0.11069447547197342,0.3198765516281128,0.12484752386808395,0.23816794157028198,0.2781746983528137,0.1527458280324936,0.2402682900428772
it,0.2868398427963257,0.34188351035118103,0.4651523232460022,0.27032700181007385,0.5452592968940735,0.18904933333396912,0.4529881477355957,0.6251175999641418,0.2742711901664734,0.38761502504348755,0.24568085372447968,0.2868398427963257,0.18273212015628815,0.40926623344421387,0.36282607913017273,0.19141267240047455,0.25732165575027466
is,0.24293622374534607,0.4403602182865143,0.3776007890701294,0.22669753432273865,0.658733606338501,0.19614431262016296,0.3635730445384979,0.5823672413825989,0.29306939244270325,0.4854315221309662,0.19875872135162354,0.24293622374534607,0.1537809520959854,0.3899846076965332,0.25895947217941284,0.1800607591867447,0.22961433231830597
noteworthy,0.24054308235645294,0.3308681547641754,0.43334758281707764,0.15345221757888794,0.2338573932647705,0.20389428734779358,0.2485278993844986,0.26964497566223145,0.28191280364990234,0.2360096126794815,0.11468096077442169,0.24054308235645294,0.18874967098236084,0.17185698449611664,0.3082807958126068,0.24536782503128052,0.34341129660606384
that,0.45444270968437195,0.4764937460422516,0.6600887179374695,0.3651382029056549,0.47537946701049805,0.2627577483654022,0.42569106817245483,0.5473989248275757,0.32177579402923584,0.41498205065727234,0.2390732765197754,0.45444270968437195,0.26853734254837036,0.37496164441108704,0.5570666193962097,0.2675379812717438,0.32716336846351624
the,0.3733934462070465,0.35928019881248474,0.4310511648654938,0.31620436906814575,0.5829201340675354,0.3183514177799225,0.5107308030128479,1.0,0.3183150291442871,0.733189046382904,0.2820442318916321,0.3733934462070465,0.2397296130657196,0.4408751428127289,0.44152235984802246,0.19221965968608856,0.22068053483963013
bbc,0.2086644321680069,0.1799343228340149,0.17192764580249786,0.19339634478092194,0.199848011136055,0.13348764181137085,0.2646632492542267,0.2735401690006256,0.17672660946846008,0.1797877550125122,0.32370132207870483,0.2086644321680069,0.22869205474853516,0.20133090019226074,0.15187552571296692,0.2698371410369873,0.20556949079036713
takes,0.16409184038639069,0.38490039110183716,0.1444857120513916,0.6401001811027527,0.3491862416267395,0.13267450034618378,0.20189763605594635,0.33578023314476013,0.18418727815151215,0.3277401030063629,0.21762970089912415,0.16409184038639069,0.16262224316596985,0.17897608876228333,0.20307515561580658,0.13398602604866028,0.10935472697019577
no,0.19753101468086243,0.29778221249580383,0.4487079083919525,0.21310891211032867,0.26280897855758667,0.2158942073583603,0.3244728446006775,0.3461136817932129,0.2249593585729599,0.24809792637825012,0.13980649411678314,0.19753101468086243,0.1547611653804779,0.15267254412174225,0.2820347249507904,0.15073616802692413,0.32165053486824036
position,0.2597297430038452,0.21100744605064392,0.25555619597435,0.15303584933280945,0.28626853227615356,1.0000001192092896,0.22749492526054382,0.3183514177799225,0.17927680909633636,0.23636478185653687,0.09907162189483643,0.2597297430038452,0.034915026277303696,0.1652236133813858,0.2188711017370224,0.1277720183134079,0.15529610216617584
on,0.2340552806854248,0.2568802833557129,0.3516409695148468,0.27423644065856934,0.3848365545272827,0.22749492526054382,0.9999999403953552,0.5107308030128479,0.16533827781677246,0.3966929316520691,0.1636410653591156,0.2340552806854248,0.19654057919979095,0.33887791633605957,0.3410046398639679,0.19591841101646423,0.2714994251728058
the,0.3733934462070465,0.35928019881248474,0.4310511648654938,0.31620436906814575,0.5829201340675354,0.3183514177799225,0.5107308030128479,1.0,0.3183150291442871,0.733189046382904,0.2820442318916321,0.3733934462070465,0.2397296130657196,0.4408751428127289,0.44152235984802246,0.19221965968608856,0.22068053483963013
canonicity,0.3269948959350586,0.28352174162864685,0.3657631576061249,0.19948922097682953,0.218580961227417,0.17927680909633636,0.16533827781677246,0.3183150291442871,1.0,0.3165595531463623,0.2597002387046814,0.3269948959350586,0.29192981123924255,0.25721555948257446,0.28753969073295593,0.20445717871189117,0.33589082956314087
of,0.2827862501144409,0.3119818866252899,0.3307090103626251,0.29282352328300476,0.5052502155303955,0.23636478185653687,0.3966929316520691,0.733189046382904,0.3165595531463623,1.0,0.16895952820777893,0.2827862501144409,0.2577437460422516,0.3646814823150635,0.38583824038505554,0.19700391590595245,0.1826142966747284
