,which,theorem,states,that,every,large,even,integer,can,be,written,as,a,prime,summed,with,a,semiprime,?
weaker,0.2874661087989807,0.18044541776180267,0.19482240080833435,0.3156604468822479,0.14624112844467163,0.20617321133613586,0.31730133295059204,0.18523910641670227,0.274270623922348,0.2881472110748291,0.13072308897972107,0.28376826643943787,0.24074357748031616,0.2160773128271103,0.18174616992473602,0.1807110458612442,0.24074357748031616,0.29894253611564636,0.05926477909088135
statements,0.3373260200023651,0.3319508731365204,0.26251769065856934,0.44073790311813354,0.22348250448703766,0.11876285821199417,0.34308597445487976,0.27500224113464355,0.29823175072669983,0.36939796805381775,0.31622642278671265,0.233680859208107,0.24844814836978912,0.1864236295223236,0.3918236792087555,0.179643452167511,0.24844814836978912,0.29760226607322693,0.28064221143722534
than,0.3974681496620178,0.15925689041614532,0.24014748632907867,0.4891277849674225,0.31630176305770874,0.28131288290023804,0.4934680163860321,0.2785238027572632,0.3532506823539734,0.46516597270965576,0.18992134928703308,0.40532299876213074,0.3126874566078186,0.1307777762413025,0.25469812750816345,0.3028803765773773,0.3126874566078186,0.22687745094299316,0.24917294085025787
this,0.6719430088996887,0.2033214271068573,0.2684851288795471,0.6909449696540833,0.42246589064598083,0.3440819978713989,0.4644889533519745,0.24629151821136475,0.4006461203098297,0.566177248954773,0.28095096349716187,0.43993282318115234,0.5422310829162598,0.17067231237888336,0.38028615713119507,0.36358317732810974,0.5422310829162598,0.30001750588417053,0.3155723512172699
have,0.49652695655822754,0.1824989914894104,0.20162390172481537,0.6182622313499451,0.42407500743865967,0.33964231610298157,0.5610647797584534,0.2469334453344345,0.5489245653152466,0.5760743618011475,0.214742973446846,0.37788212299346924,0.338716596364975,0.1710582673549652,0.30010315775871277,0.48046383261680603,0.338716596364975,0.2854381501674652,0.32991164922714233
been,0.36993977427482605,0.09375408291816711,0.20674076676368713,0.4152003228664398,0.3746964931488037,0.31522268056869507,0.40508168935775757,0.14001357555389404,0.3498430848121643,0.5304332375526428,0.23291315138339996,0.3975982367992401,0.3315402865409851,0.13680292665958405,0.25889134407043457,0.2804456949234009,0.3315402865409851,0.18191522359848022,0.24354910850524902
proven,0.2582547068595886,0.441742479801178,0.144431009888649,0.41694560647010803,0.17917130887508392,0.18213504552841187,0.4322865605354309,0.2911617159843445,0.34507638216018677,0.3652443289756775,0.2808550298213959,0.2509443759918213,0.22892846167087555,0.211175337433815,0.26717302203178406,0.15139858424663544,0.22892846167087555,0.2519570589065552,0.23916150629520416
",",0.3658004403114319,0.16003508865833282,0.3315127193927765,0.4137537479400635,0.25988471508026123,0.2263888567686081,0.34610581398010254,0.20468677580356598,0.3139454126358032,0.39254459738731384,0.2737409770488739,0.48816442489624023,0.427140474319458,0.2565026581287384,0.24330003559589386,0.4120737314224243,0.427140474319458,0.31969404220581055,0.31091248989105225
for,0.44095608592033386,0.1530822366476059,0.2496437132358551,0.4137635827064514,0.35918429493904114,0.22967137396335602,0.39184510707855225,0.13336773216724396,0.35690054297447205,0.3801851272583008,0.25893163681030273,0.44774648547172546,0.44038116931915283,0.17833133041858673,0.26185891032218933,0.39140474796295166,0.44038116931915283,0.23253577947616577,0.264628142118454
example,0.45943138003349304,0.2462260127067566,0.20861361920833588,0.429897665977478,0.3201913833618164,0.30934280157089233,0.4638634920120239,0.33317652344703674,0.5023694038391113,0.4382762610912323,0.22541667520999908,0.35903409123420715,0.40234753489494324,0.16545042395591736,0.27222055196762085,0.3082926869392395,0.40234753489494324,0.30039316415786743,0.30374911427497864
vinogradov,0.21022024750709534,0.23104381561279297,0.24529848992824554,0.17953899502754211,0.07193618267774582,0.14112231135368347,0.1665656864643097,0.2107398957014084,0.1336650252342224,0.11863990873098373,0.18292497098445892,0.15899406373500824,0.23779530823230743,0.17627739906311035,0.10049944370985031,0.15816600620746613,0.23779530823230743,0.3541210889816284,0.12464097887277603
's,0.03856118768453598,0.006648248061537743,-0.004298824816942215,0.04397977516055107,0.04262643679976463,0.06319566071033478,0.0353488028049469,0.023855846375226974,-0.02075597457587719,0.025217169895768166,-0.03439633175730705,-0.05775856226682663,0.04866964742541313,-0.0056337774731218815,-0.09535754472017288,-0.04624466598033905,0.04866964742541313,-0.0006948643713258207,-0.023395681753754616
theorem,0.2076059877872467,1.0,0.21552643179893494,0.28924983739852905,0.19043195247650146,0.07598812878131866,0.26053863763809204,0.4884721338748932,0.19914768636226654,0.18646985292434692,0.2601550221443176,0.16078700125217438,0.2234962433576584,0.3795034885406494,0.23680062592029572,0.1290433555841446,0.2234962433576584,0.43771854043006897,0.18729111552238464
says,0.297697514295578,0.30154505372047424,0.23936699330806732,0.4701751470565796,0.2572581470012665,0.10355675965547562,0.3313317596912384,0.18834035098552704,0.23579293489456177,0.2873125374317169,0.3091300427913666,0.2768203914165497,0.31951332092285156,0.1503191888332367,0.33949631452560425,0.18660522997379303,0.31951332092285156,0.18552996218204498,0.2869862914085388
that,0.6894589066505432,0.28924983739852905,0.291576623916626,1.0,0.4773697257041931,0.34200385212898254,0.5503504276275635,0.26981496810913086,0.4522190988063812,0.6036020517349243,0.31561627984046936,0.4735107421875,0.47537946701049805,0.18163643777370453,0.38591673970222473,0.4154358208179474,0.47537946701049805,0.3468323051929474,0.32716336846351624
every,0.4810190498828888,0.19043195247650146,0.21151071786880493,0.4773697257041931,1.0,0.25082358717918396,0.3426424264907837,0.23681432008743286,0.3617136478424072,0.3856845796108246,0.1744735836982727,0.2483101338148117,0.43930745124816895,0.14591187238693237,0.3083145320415497,0.2629130780696869,0.43930745124816895,0.2580622732639313,0.24066033959388733
sufficiently,0.4164387583732605,0.282543808221817,0.19007357954978943,0.5372400879859924,0.3378981351852417,0.29453587532043457,0.5026422142982483,0.29421067237854004,0.4292161166667938,0.4787493944168091,0.1693800538778305,0.3424529433250427,0.316750168800354,0.1376531422138214,0.3334962725639343,0.31026726961135864,0.316750168800354,0.2989215552806854,0.30030086636543274
