,what,can,faith,groups,ask,the,presiding,officer,to,do,for,them,?
faith,0.3120079040527344,0.14275698363780975,1.0,0.12307148426771164,0.2779983580112457,0.20665863156318665,0.297008752822876,0.10457786917686462,0.2426898032426834,0.2685910761356354,0.19736909866333008,0.2783489227294922,0.2833177447319031
groups,0.23137421905994415,0.25772586464881897,0.12307148426771164,1.0,0.12264151871204376,0.27790749073028564,0.1533357799053192,0.07326502352952957,0.24181967973709106,0.22382022440433502,0.21627482771873474,0.3675707280635834,0.14349548518657684
can,0.34502777457237244,1.0,0.14275698363780975,0.25772586464881897,0.39170852303504944,0.312528520822525,0.11101096123456955,0.09740040451288223,0.4979398250579834,0.45775556564331055,0.35690054297447205,0.4612884819507599,0.3226337134838104
make,0.3792211413383484,0.4845520555973053,0.22165584564208984,0.22691065073013306,0.3536882996559143,0.3146495521068573,0.08993507921695709,0.09747518599033356,0.497876912355423,0.41790449619293213,0.386745423078537,0.5078237056732178,0.28314751386642456
direct,0.26271191239356995,0.26376575231552124,0.15482859313488007,0.14025796949863434,0.24779756367206573,0.3262479901313782,0.18166404962539673,0.15283820033073425,0.3420579433441162,0.20146861672401428,0.2851608693599701,0.2733449637889862,0.18476411700248718
representations,0.21003971993923187,0.3087198734283447,0.18386739492416382,0.33088064193725586,0.18571282923221588,0.30498215556144714,0.34381476044654846,0.14635977149009705,0.27759066224098206,0.22858493030071259,0.33209022879600525,0.30067315697669983,0.1441580206155777
to,0.455847829580307,0.4979398250579834,0.2426898032426834,0.24181967973709106,0.3951546251773834,0.535392165184021,0.2064446657896042,0.2198503315448761,1.0,0.38876664638519287,0.4451248347759247,0.5916602611541748,0.29463258385658264
the,0.42745697498321533,0.312528520822525,0.20665863156318665,0.27790749073028564,0.21926461160182953,1.0,0.3267684876918793,0.25777485966682434,0.535392165184021,0.30239659547805786,0.4739971458911896,0.4788833558559418,0.22068053483963013
presiding,0.21225658059120178,0.11101096123456955,0.297008752822876,0.1533357799053192,0.18665799498558044,0.3267684876918793,1.0000001192092896,0.33943602442741394,0.2064446657896042,0.15411007404327393,0.18266896903514862,0.21390113234519958,0.177648663520813
officer,0.18551595509052277,0.09740040451288223,0.10457786917686462,0.07326502352952957,0.17666777968406677,0.25777485966682434,0.33943602442741394,0.9999998807907104,0.2198503315448761,0.12767575681209564,0.17035067081451416,0.14814212918281555,0.119948610663414
to,0.455847829580307,0.4979398250579834,0.2426898032426834,0.24181967973709106,0.3951546251773834,0.535392165184021,0.2064446657896042,0.2198503315448761,1.0,0.38876664638519287,0.4451248347759247,0.5916602611541748,0.29463258385658264
nominate,0.34030818939208984,0.26984044909477234,0.2953892648220062,0.14442873001098633,0.4723011553287506,0.20345719158649445,0.2711605429649353,0.11899404972791672,0.3395873010158539,0.33961567282676697,0.3274448812007904,0.32192185521125793,0.34959694743156433
speakers,0.24561834335327148,0.2057034969329834,0.19813279807567596,0.23079843819141388,0.19260327517986298,0.2500099837779999,0.24043597280979156,0.1527795046567917,0.25578445196151733,0.20416685938835144,0.19098687171936035,0.2653145492076874,0.21979813277721405
.,0.3567904531955719,0.35783761739730835,0.2496335357427597,0.2408272922039032,0.2994236946105957,0.5934505462646484,0.2744200527667999,0.20371799170970917,0.4645031690597534,0.3613996207714081,0.4726039469242096,0.39945515990257263,0.4130953550338745
