,what,weapons,were,the,zulus,using,during,the,anglo-zulu,war,of,1879,?
this,0.5489566326141357,0.2539546489715576,0.25469228625297546,0.6274310946464539,0.2516213655471802,0.4070901870727539,0.34351885318756104,0.6274310946464539,0.2624935507774353,0.29429852962493896,0.45148900151252747,-0.09428869932889938,0.3155723512172699
technology,0.1940862536430359,0.32223576307296753,0.1249099150300026,0.21669498085975647,0.08032278716564178,0.27520954608917236,0.1289663016796112,0.21669498085975647,0.12334682047367096,0.20683778822422028,0.25238582491874695,-0.04258082062005997,0.11564995348453522
gave,0.14222867786884308,0.23519933223724365,0.32821545004844666,0.32555076479911804,0.1685682237148285,0.23917320370674133,0.26742738485336304,0.32555076479911804,0.21477000415325165,0.21938590705394745,0.3650403320789337,0.032849930226802826,0.1910865753889084
european,0.15324164927005768,0.1560770571231842,0.21272888779640198,0.3423081040382385,0.1961849331855774,0.14348112046718597,0.23395675420761108,0.3423081040382385,0.25065919756889343,0.2521776556968689,0.2507138252258301,-0.052603814750909805,0.14560863375663757
armies,0.18706263601779938,0.40903469920158386,0.310856431722641,0.33505764603614807,0.2972589135169983,0.16053767502307892,0.26107704639434814,0.33505764603614807,0.2877150774002075,0.4424506425857544,0.251925528049469,-0.10819540917873383,0.17227305471897125
an,0.2821882665157318,0.13246700167655945,0.08893381804227829,0.4207492768764496,0.13796329498291016,0.2321343868970871,0.21076080203056335,0.4207492768764496,0.2066773772239685,0.15861496329307556,0.32280945777893066,0.012378957122564316,0.19793890416622162
advantage,0.17863520979881287,0.31380999088287354,0.19706259667873383,0.2844003438949585,0.1772717833518982,0.3179362416267395,0.19018982350826263,0.2844003438949585,0.19433577358722687,0.1789102703332901,0.20611627399921417,-0.19304317235946655,0.10412604361772537
over,0.28007611632347107,0.19990985095500946,0.30589473247528076,0.39856547117233276,0.12931568920612335,0.2554243505001068,0.3472751975059509,0.39856547117233276,0.2208837866783142,0.29031845927238464,0.36136594414711,-0.10054374486207962,0.25742942094802856
their,0.35142919421195984,0.2822863459587097,0.43277356028556824,0.516537070274353,0.17387160658836365,0.28169015049934387,0.3022443354129791,0.516537070274353,0.27135640382766724,0.2163475602865219,0.4329940676689148,-0.16064885258674622,0.1898253709077835
opponents,0.18805594742298126,0.3755533695220947,0.3244572877883911,0.2483137845993042,0.1771550327539444,0.20720113813877106,0.25799036026000977,0.2483137845993042,0.13464270532131195,0.18764974176883698,0.20008525252342224,-0.11207675188779831,0.12975426018238068
",",0.3087472915649414,0.24384108185768127,0.36755475401878357,0.4933079481124878,0.20773732662200928,0.27050045132637024,0.3225448727607727,0.4933079481124878,0.26734474301338196,0.2671184241771698,0.4946078956127167,0.027387188747525215,0.31091248989105225
as,0.31749409437179565,0.24600519239902496,0.3025437891483307,0.48381632566452026,0.17683476209640503,0.31195345520973206,0.29671990871429443,0.48381632566452026,0.2091890275478363,0.24018222093582153,0.3886612355709076,0.019857821986079216,0.27043893933296204
armies,0.18706263601779938,0.40903469920158386,0.310856431722641,0.33505764603614807,0.2972589135169983,0.16053767502307892,0.26107704639434814,0.33505764603614807,0.2877150774002075,0.4424506425857544,0.251925528049469,-0.10819540917873383,0.17227305471897125
in,0.30808621644973755,0.19301296770572662,0.3815755248069763,0.6662389636039734,0.2080828845500946,0.2717311978340149,0.4627237319946289,0.6662389636039734,0.2671756148338318,0.29904094338417053,0.5696388483047485,0.031225789338350296,0.20430970191955566
less-developed,0.20738500356674194,0.25238505005836487,0.30765485763549805,0.3251519799232483,0.14791525900363922,0.3151279091835022,0.2684629261493683,0.3251519799232483,0.2325238436460495,0.18988178670406342,0.30332431197166443,-0.1471252292394638,0.1424001306295395
