,how,long,had,john,paul,ii,been,the,pope,in,1979,?
in,0.2601168751716614,0.2759332060813904,0.385026752948761,0.22177861630916595,0.21331322193145752,0.21453368663787842,0.3515113592147827,0.6662389636039734,0.19509877264499664,1.0,0.26264503598213196,0.20430970191955566
1979,0.15030308067798615,0.21230675280094147,0.2145993560552597,0.06071684882044792,0.06355631351470947,0.13414698839187622,0.2869345247745514,0.3323744237422943,0.110531285405159,0.26264503598213196,1.0000001192092896,0.09159877151250839
",",0.22659391164779663,0.3431144952774048,0.35487717390060425,0.23961079120635986,0.3070785701274872,0.27159881591796875,0.34873589873313904,0.4933079481124878,0.21447758376598358,0.5201468467712402,0.24932532012462616,0.31091248989105225
less,0.3495950996875763,0.3119574189186096,0.26911720633506775,0.14274749159812927,0.06526726484298706,0.11726357042789459,0.28559476137161255,0.29185041785240173,0.1920265555381775,0.2661931812763214,0.12054019421339035,0.22418740391731262
than,0.29763275384902954,0.2585301101207733,0.3192967474460602,0.13582810759544373,0.06293943524360657,0.10635167360305786,0.29363131523132324,0.3227543234825134,0.1464930772781372,0.3270052373409271,0.14100082218647003,0.24917294085025787
a,0.29312583804130554,0.3795371353626251,0.34897568821907043,0.20638683438301086,0.13667120039463043,0.2111874669790268,0.3315402865409851,0.5829201340675354,0.16180011630058289,0.539380669593811,0.18405361473560333,0.23916715383529663
year,0.19631797075271606,0.21031582355499268,0.29678046703338623,0.13745838403701782,0.16412168741226196,0.18872052431106567,0.2560553550720215,0.3609684407711029,0.14303052425384521,0.3359307050704956,0.11366590857505798,0.18315006792545319
after,0.23871733248233795,0.25804978609085083,0.4133172631263733,0.22597751021385193,0.16661687195301056,0.20194965600967407,0.2954521179199219,0.4565047025680542,0.20729057490825653,0.44050168991088867,0.19701097905635834,0.16608688235282898
becoming,0.19875051081180573,0.20908962190151215,0.2761388421058655,0.17603106796741486,0.0584254115819931,0.18487820029258728,0.3446895480155945,0.333665668964386,0.14797373116016388,0.2425609976053238,0.09985481947660446,0.17354105412960052
pope,0.15372245013713837,0.1379431039094925,0.19380679726600647,0.3403037488460541,0.38006865978240967,0.32252994179725647,0.1970645785331726,0.2285010814666748,1.0,0.19509877264499664,0.110531285405159,0.25004681944847107
",",0.22659391164779663,0.3431144952774048,0.35487717390060425,0.23961079120635986,0.3070785701274872,0.27159881591796875,0.34873589873313904,0.4933079481124878,0.21447758376598358,0.5201468467712402,0.24932532012462616,0.31091248989105225
john,0.16882067918777466,0.08112875372171402,0.20482271909713745,1.0000001192092896,0.40013134479522705,0.22211971879005432,0.14118891954421997,0.2230520099401474,0.3403037488460541,0.22177861630916595,0.06071684882044792,0.13162356615066528
paul,0.11558837443590164,0.1165190264582634,0.15544436872005463,0.40013134479522705,1.0000001192092896,0.21350431442260742,0.14110486209392548,0.19191958010196686,0.38006865978240967,0.21331322193145752,0.06355631351470947,0.16611461341381073
celebrated,0.13984297215938568,0.09782519936561584,0.21530932188034058,0.10414213687181473,0.11606862396001816,0.17147377133369446,0.2004578560590744,0.27264803647994995,0.28466248512268066,0.2994932532310486,0.1380225419998169,0.19592389464378357
mass,0.28030452132225037,0.1853640228509903,0.21314668655395508,0.133133664727211,0.12409587949514389,0.11167902499437332,0.259762704372406,0.2284930944442749,0.18126171827316284,0.1766357719898224,0.07478228956460953,0.2076406031847
in,0.2601168751716614,0.2759332060813904,0.385026752948761,0.22177861630916595,0.21331322193145752,0.21453368663787842,0.3515113592147827,0.6662389636039734,0.19509877264499664,1.0,0.26264503598213196,0.20430970191955566
victory,0.1006912961602211,0.10902809351682663,0.22430391609668732,0.2299397885799408,0.16375505924224854,0.235833540558815,0.09592965245246887,0.2795662581920624,0.2140650749206543,0.21562302112579346,0.14056038856506348,0.15412560105323792
square,0.0836852416396141,0.17034737765789032,0.22536161541938782,0.13411296904087067,0.134406179189682,0.13265113532543182,0.15217627584934235,0.2809545397758484,0.12221268564462662,0.2193731665611267,0.08882179111242294,0.1201515942811966
in,0.2601168751716614,0.2759332060813904,0.385026752948761,0.22177861630916595,0.21331322193145752,0.21453368663787842,0.3515113592147827,0.6662389636039734,0.19509877264499664,1.0,0.26264503598213196,0.20430970191955566
warsaw,0.13025455176830292,0.11493027210235596,0.2310895472764969,0.2175639122724533,0.1713392585515976,0.2033650428056717,0.1453571766614914,0.23137180507183075,0.2113400548696518,0.22642600536346436,0.006223110947757959,0.09769917279481888
and,0.33647966384887695,0.3395216166973114,0.3872550129890442,0.21634717285633087,0.2447807937860489,0.27599602937698364,0.3424558639526367,0.5171257257461548,0.19122052192687988,0.4954058527946472,0.23599638044834137,0.20544172823429108
ended,0.18768176436424255,0.24048550426959991,0.43530598282814026,0.14983344078063965,0.1308850795030594,0.21083539724349976,0.23004700243473053,0.3356485068798065,0.1717638224363327,0.3353011906147003,0.10549856722354889,0.15429291129112244
his,0.24614305794239044,0.18129055202007294,0.4401516616344452,0.288114070892334,0.24743995070457458,0.2508064806461334,0.2785126268863678,0.4394008219242096,0.27638018131256104,0.3598145842552185,0.12734022736549377,0.18075084686279297
