,what,function,does,ozone,perform,for,the,planet,?
since,0.29783400893211365,0.1864561289548874,0.23816218972206116,0.1707601547241211,0.18586815893650055,0.36751601099967957,0.4054957628250122,0.16959205269813538,0.2876587212085724
ozone,0.17115569114685059,0.20971286296844482,0.18875880539417267,1.0,0.08576174080371857,0.1923777014017105,0.23899611830711365,0.3546588718891144,0.159791961312294
absorbs,0.25239095091819763,0.2721567153930664,0.3284255564212799,0.44353434443473816,0.24965672194957733,0.15314112603664398,0.27842673659324646,0.28056588768959045,0.17056214809417725
strongly,0.33651110529899597,0.1361195296049118,0.2674036920070648,0.21285858750343323,0.08863738924264908,0.2642205059528351,0.2760447859764099,0.14965176582336426,0.1874239444732666
in,0.30808621644973755,0.1448659598827362,0.214483380317688,0.19661612808704376,0.22578492760658264,0.4322226941585541,0.6662389636039734,0.18041402101516724,0.20430970191955566
the,0.42745697498321533,0.2037137746810913,0.35928019881248474,0.23899611830711365,0.22443658113479614,0.4739971458911896,1.0,0.2470240592956543,0.22068053483963013
uv,0.25159287452697754,0.2618609666824341,0.21615099906921387,0.4645193815231323,0.11932409554719925,0.15315446257591248,0.14861778914928436,0.3358479142189026,0.2089122235774994
region,0.2298986315727234,0.12333258986473083,0.10874218493700027,0.21973566710948944,0.032041411846876144,0.17531010508537292,0.35020557045936584,0.19072580337524414,0.13441751897335052
of,0.33290785551071167,0.16667552292346954,0.3119818866252899,0.22780866920948029,0.18957175314426422,0.4185989499092102,0.733189046382904,0.19911958277225494,0.1826142966747284
the,0.42745697498321533,0.2037137746810913,0.35928019881248474,0.23899611830711365,0.22443658113479614,0.4739971458911896,1.0,0.2470240592956543,0.22068053483963013
spectrum,0.2396017163991928,0.22199444472789764,0.15596476197242737,0.30052611231803894,0.15576335787773132,0.15795797109603882,0.24305526912212372,0.19683223962783813,0.13036777079105377
",",0.3087472915649414,0.18487244844436646,0.28617382049560547,0.2271772027015686,0.19458305835723877,0.4464869201183319,0.4933079481124878,0.19326971471309662,0.31091248989105225
the,0.42745697498321533,0.2037137746810913,0.35928019881248474,0.23899611830711365,0.22443658113479614,0.4739971458911896,1.0,0.2470240592956543,0.22068053483963013
ozone,0.17115569114685059,0.20971286296844482,0.18875880539417267,1.0,0.08576174080371857,0.1923777014017105,0.23899611830711365,0.3546588718891144,0.159791961312294
layer,0.20606225728988647,0.21864695847034454,0.18299339711666107,0.4532051384449005,0.08360688388347626,0.15294834971427917,0.22831332683563232,0.2828400731086731,0.11266916990280151
of,0.33290785551071167,0.16667552292346954,0.3119818866252899,0.22780866920948029,0.18957175314426422,0.4185989499092102,0.733189046382904,0.19911958277225494,0.1826142966747284
the,0.42745697498321533,0.2037137746810913,0.35928019881248474,0.23899611830711365,0.22443658113479614,0.4739971458911896,1.0,0.2470240592956543,0.22068053483963013
upper,0.1592642068862915,0.19791267812252045,0.12086480855941772,0.16931594908237457,0.08352067321538925,0.12166716158390045,0.35289278626441956,0.10922671109437943,0.051342256367206573
atmosphere,0.2530241310596466,0.09533445537090302,0.19584400951862335,0.5175097584724426,0.1454821676015854,0.17015571892261505,0.24429655075073242,0.46768537163734436,0.15636961162090302
functions,0.22357098758220673,0.8730090260505676,0.2405301332473755,0.2137758880853653,0.3212122917175293,0.26696184277534485,0.2567043900489807,0.14498959481716156,0.13745930790901184
as,0.31749409437179565,0.19182996451854706,0.31202155351638794,0.18256303668022156,0.24093450605869293,0.44774648547172546,0.48381632566452026,0.24123239517211914,0.27043893933296204
a,0.3320399522781372,0.20934805274009705,0.38201746344566345,0.14839500188827515,0.219420924782753,0.44038116931915283,0.5829201340675354,0.2580089867115021,0.23916715383529663
protective,0.20768675208091736,0.2653566896915436,0.19232334196567535,0.2080046534538269,0.19130106270313263,0.2598210573196411,0.2734443247318268,0.2070409655570984,0.10403575748205185
radiation,0.2664667069911957,0.25719335675239563,0.1794511377811432,0.5196512937545776,0.13644741475582123,0.19907429814338684,0.2525659203529358,0.2896401584148407,0.1720895618200302
shield,0.15256665647029877,0.11123722791671753,0.16141581535339355,0.16243480145931244,0.08843685686588287,0.15109798312187195,0.2743064761161804,0.148255854845047,0.06611126661300659
for,0.3017193675041199,0.22728246450424194,0.35159170627593994,0.1923777014017105,0.3027825951576233,0.9999999403953552,0.4739971458911896,0.1996491700410843,0.264628142118454
the,0.42745697498321533,0.2037137746810913,0.35928019881248474,0.23899611830711365,0.22443658113479614,0.4739971458911896,1.0,0.2470240592956543,0.22068053483963013
planet,0.2183026820421219,0.16127847135066986,0.20571163296699524,0.3546588718891144,0.11629980057477951,0.1996491700410843,0.2470240592956543,1.0,0.16979767382144928
.,0.3567904531955719,0.253307044506073,0.3022993505001068,0.2529839873313904,0.20621563494205475,0.4726039469242096,0.5934505462646484,0.24422165751457214,0.4130953550338745
