,which,tfeu,article,states,that,states,are,exempt,from,infringing,on,rights,of,establishment,when,they,exercise,official,authority,?
tfeu,0.19778072834014893,1.0,0.15887261927127838,0.11877527087926865,0.15542970597743988,0.11877527087926865,0.12704014778137207,0.24865292012691498,0.18958400189876556,0.18514122068881989,0.215300515294075,0.18715864419937134,0.19117312133312225,0.1927279680967331,0.17027974128723145,0.1798410415649414,0.21556337177753448,0.14451457560062408,0.24260695278644562,0.2193283885717392
article,0.3171063959598541,0.15887261927127838,0.9999999403953552,0.244107186794281,0.41666144132614136,0.244107186794281,0.23467081785202026,0.3032149374485016,0.21608585119247437,0.3906506299972534,0.2953488528728485,0.26691365242004395,0.25720444321632385,0.22371351718902588,0.2636274993419647,0.21624155342578888,0.24276769161224365,0.24252867698669434,0.22124463319778442,0.4948462247848511
49,0.2563107907772064,-0.027425438165664673,-0.02062172070145607,0.10835374891757965,0.19732552766799927,0.10835374891757965,0.3257688581943512,0.010692843236029148,0.08035241812467575,0.01942136511206627,0.09172389656305313,-0.051710523664951324,0.12329956889152527,-0.0073578315787017345,0.17156215012073517,0.33499598503112793,0.15706875920295715,-0.02482050471007824,0.011869177222251892,-0.019234824925661087
says,0.297697514295578,0.12070990353822708,0.34029486775398254,0.23936699330806732,0.4701751470565796,0.23936699330806732,0.20766083896160126,0.2336084395647049,0.22574786841869354,0.3208560645580292,0.23053111135959625,0.24978411197662354,0.29148387908935547,0.15420271456241608,0.3369019627571106,0.24978704750537872,0.22167612612247467,0.20800058543682098,0.21217429637908936,0.2869862914085388
states,0.27476921677589417,0.11877527087926865,0.244107186794281,1.0,0.291576623916626,1.0,0.1846873015165329,0.20101524889469147,0.24283263087272644,0.24071255326271057,0.2692825198173523,0.26858797669410706,0.30884552001953125,0.32828861474990845,0.24639196693897247,0.23871077597141266,0.19387505948543549,0.24247460067272186,0.2760929763317108,0.16272737085819244
are,0.42922598123550415,0.12704014778137207,0.23467081785202026,0.1846873015165329,0.45265161991119385,0.1846873015165329,1.0,0.24253328144550323,0.2674213647842407,0.24439650774002075,0.268924742937088,0.1375609040260315,0.39081433415412903,0.15019364655017853,0.29873907566070557,0.610666811466217,0.21396504342556,0.12171322852373123,0.15189868211746216,0.24591213464736938
exempt,0.29394370317459106,0.24865292012691498,0.3032149374485016,0.20101524889469147,0.30779725313186646,0.20101524889469147,0.24253328144550323,1.0,0.19424223899841309,0.40552327036857605,0.1795266717672348,0.35402125120162964,0.19968248903751373,0.27023181319236755,0.1938917487859726,0.23778606951236725,0.3432587683200836,0.12581868469715118,0.3013136684894562,0.3104529082775116
from,0.38755592703819275,0.18958400189876556,0.21608585119247437,0.24283263087272644,0.3477667272090912,0.24283263087272644,0.2674213647842407,0.19424223899841309,1.0,0.22680073976516724,0.36926645040512085,0.159982830286026,0.4249346852302551,0.15794140100479126,0.405669629573822,0.3321932256221771,0.12505969405174255,0.1472557634115219,0.15314611792564392,0.19969791173934937
infringing,0.2994530498981476,0.18514122068881989,0.3906506299972534,0.24071255326271057,0.39864858984947205,0.24071255326271057,0.24439650774002075,0.40552327036857605,0.22680073976516724,1.0,0.21187449991703033,0.4120435118675232,0.2191469818353653,0.21562236547470093,0.25788748264312744,0.2776415944099426,0.27345791459083557,0.24772261083126068,0.27825596928596497,0.3376398980617523
others,0.35539332032203674,0.16618815064430237,0.29181885719299316,0.21073012053966522,0.4184957444667816,0.21073012053966522,0.44607222080230713,0.228858083486557,0.18314583599567413,0.3277173638343811,0.3132120668888092,0.2628576457500458,0.2793974280357361,0.14038601517677307,0.2903258502483368,0.5181654095649719,0.22272491455078125,0.11779562383890152,0.20946328341960907,0.26705288887023926
