,what,disagreement,did,montcalm,and,indians,have,?
in,0.30808621644973755,0.24037350714206696,0.2593238651752472,0.30460497736930847,0.4954058527946472,0.23019428551197052,0.36843645572662354,0.20430970191955566
the,0.42745697498321533,0.2860313653945923,0.34736719727516174,0.30913522839546204,0.5171257257461548,0.26152291893959045,0.40389683842658997,0.22068053483963013
aftermath,0.18331018090248108,0.25624880194664,0.27476274967193604,0.25548702478408813,0.22175663709640503,0.22868862748146057,0.18013903498649597,0.13848184049129486
",",0.3087472915649414,0.2868121862411499,0.3015086054801941,0.3917418122291565,0.6633074283599854,0.24523240327835083,0.3541618287563324,0.31091248989105225
montcalm,0.21009081602096558,0.22064857184886932,0.1483006626367569,1.0,0.32277265191078186,0.2695305049419403,0.14280593395233154,0.23564797639846802
and,0.31309178471565247,0.2777720093727112,0.34479495882987976,0.32277265191078186,1.0,0.2537406086921692,0.4711785912513733,0.20544172823429108
the,0.42745697498321533,0.2860313653945923,0.34736719727516174,0.30913522839546204,0.5171257257461548,0.26152291893959045,0.40389683842658997,0.22068053483963013
indians,0.2342250943183899,0.25191378593444824,0.18098388612270355,0.2695305049419403,0.2537406086921692,0.9999999403953552,0.2259996086359024,0.13372346758842468
under,0.20154598355293274,0.23392796516418457,0.20815621316432953,0.2423229068517685,0.3005301356315613,0.22511424124240875,0.2579502761363983,0.18233340978622437
his,0.26976513862609863,0.2781098783016205,0.3546801507472992,0.2442459762096405,0.4234102666378021,0.24682360887527466,0.25689181685447693,0.18075084686279297
command,0.22732043266296387,0.26266083121299744,0.18186943233013153,0.3412439823150635,0.2525673806667328,0.27400052547454834,0.1485777050256729,0.13402260839939117
disagreed,0.4307783246040344,0.7870186567306519,0.4441068768501282,0.22033822536468506,0.2884655296802521,0.2333442121744156,0.323123574256897,0.24631625413894653
about,0.47976887226104736,0.3077288568019867,0.28723078966140747,0.18695849180221558,0.3875081241130829,0.19202056527137756,0.3940475583076477,0.302409827709198
the,0.42745697498321533,0.2860313653945923,0.34736719727516174,0.30913522839546204,0.5171257257461548,0.26152291893959045,0.40389683842658997,0.22068053483963013
disposition,0.28007417917251587,0.32645347714424133,0.20703454315662384,0.23466747999191284,0.24717997014522552,0.1712689846754074,0.2415488064289093,0.2138298749923706
of,0.33290785551071167,0.263144850730896,0.2513895630836487,0.30493322014808655,0.5116966962814331,0.2406514436006546,0.3802283704280853,0.1826142966747284
prisoners,0.18567563593387604,0.21128714084625244,0.2400304675102234,0.18881583213806152,0.244662344455719,0.29599010944366455,0.24144449830055237,0.15790729224681854
',0.3245812654495239,0.23064495623111725,0.25488927960395813,0.2630012035369873,0.3053182065486908,0.11410502344369888,0.2580406367778778,0.330942302942276
personal,0.3188508450984955,0.2567685544490814,0.24463480710983276,0.12724362313747406,0.26224902272224426,0.14674422144889832,0.23921728134155273,0.206199511885643
effects,0.22572848200798035,0.1765775978565216,0.21497146785259247,0.1830494999885559,0.26666516065597534,0.10079590231180191,0.30499693751335144,0.16749060153961182
.,0.3567904531955719,0.24412725865840912,0.35288307070732117,0.34963828325271606,0.588965117931366,0.24098055064678192,0.41614407300949097,0.4130953550338745
