,who,composed,the,original,doctor,who,theme,?
the,0.3733934462070465,0.21816956996917725,1.0,0.4037000238895416,0.2820442318916321,0.3733934462070465,0.2470158040523529,0.22068053483963013
original,0.1785319596529007,0.2762463092803955,0.4037000238895416,1.0,0.13737785816192627,0.1785319596529007,0.29133370518684387,0.17256900668144226
theme,0.1836521327495575,0.2685653567314148,0.2470158040523529,0.29133370518684387,0.17665699124336243,0.1836521327495575,0.9999998807907104,0.21507632732391357
was,0.3318818509578705,0.23678557574748993,0.48711544275283813,0.32203906774520874,0.19672659039497375,0.3318818509578705,0.21860456466674805,0.18412111699581146
composed,0.13117516040802002,1.0,0.21816956996917725,0.2762463092803955,0.03270154818892479,0.13117516040802002,0.2685653567314148,0.0784355029463768
by,0.39727845788002014,0.3350425958633423,0.4408751428127289,0.2557625472545624,0.13681447505950928,0.39727845788002014,0.19824901223182678,0.17966607213020325
ron,0.19882051646709442,0.14873994886875153,0.23636619746685028,0.12335780262947083,0.16254913806915283,0.19882051646709442,0.24037496745586395,0.13957297801971436
grainer,0.17454753816127777,0.17203852534294128,0.18470273911952972,0.1861974596977234,0.1972910761833191,0.17454753816127777,0.16421698033809662,0.23028554022312164
and,0.41279885172843933,0.25432297587394714,0.5171257257461548,0.29575109481811523,0.21673844754695892,0.41279885172843933,0.2354547381401062,0.20544172823429108
realised,0.28033447265625,0.17936013638973236,0.257403165102005,0.15156851708889008,0.1903384029865265,0.28033447265625,0.14925913512706757,0.1897580921649933
by,0.39727845788002014,0.3350425958633423,0.4408751428127289,0.2557625472545624,0.13681447505950928,0.39727845788002014,0.19824901223182678,0.17966607213020325
delia,0.2152830958366394,0.12036747485399246,0.1591850221157074,0.12560608983039856,0.20219969749450684,0.2152830958366394,0.1681274175643921,0.1560731828212738
derbyshire,0.211159348487854,0.1673482209444046,0.17684753239154816,0.14948789775371552,0.18457013368606567,0.211159348487854,0.14236398041248322,0.10152211040258408
of,0.2827862501144409,0.29509663581848145,0.733189046382904,0.30228546261787415,0.16895952820777893,0.2827862501144409,0.17537155747413635,0.1826142966747284
the,0.3733934462070465,0.21816956996917725,1.0,0.4037000238895416,0.2820442318916321,0.3733934462070465,0.2470158040523529,0.22068053483963013
bbc,0.2086644321680069,0.10289621353149414,0.2735401690006256,0.16681616008281708,0.32370132207870483,0.2086644321680069,0.2024126797914505,0.20556949079036713
radiophonic,0.1785707175731659,0.34906017780303955,0.2632516324520111,0.2511652708053589,0.20095741748809814,0.1785707175731659,0.22774289548397064,0.22010113298892975
workshop,0.2457268387079239,0.14820021390914917,0.20376601815223694,0.2059851884841919,0.17948710918426514,0.2457268387079239,0.20902317762374878,0.17420513927936554
",",0.3365725874900818,0.21667295694351196,0.4933079481124878,0.23508994281291962,0.20407600700855255,0.3365725874900818,0.21865783631801605,0.31091248989105225
with,0.3282766342163086,0.27015572786331177,0.4223487675189972,0.24073785543441772,0.17277967929840088,0.3282766342163086,0.22438909113407135,0.2433311939239502
assistance,0.3158726990222931,0.10665374994277954,0.19771957397460938,0.06487555801868439,0.2330218255519867,0.3158726990222931,0.09631707519292831,0.14602699875831604
from,0.27839982509613037,0.15794773399829865,0.40150508284568787,0.233787402510643,0.15658842027187347,0.27839982509613037,0.18822719156742096,0.19969791173934937
dick,0.21179524064064026,0.09241356700658798,0.1593727320432663,0.11083080619573593,0.17906202375888824,0.21179524064064026,0.2273506224155426,0.1753130704164505
mills,0.20563136041164398,0.10529797524213791,0.19292980432510376,0.16822968423366547,0.1350833773612976,0.20563136041164398,0.1791200041770935,0.13688337802886963
.,0.3541337847709656,0.21116578578948975,0.5934505462646484,0.275844931602478,0.22361043095588684,0.3541337847709656,0.2135048359632492,0.4130953550338745
