,who,makes,up,the,student,government,?
student,0.34103330969810486,0.08727903664112091,0.13090939819812775,0.21259291470050812,1.0000001192092896,0.27388423681259155,0.13282090425491333
government,0.27194860577583313,0.13600170612335205,0.14314819872379303,0.31798112392425537,0.27388423681259155,1.0000001192092896,0.18851417303085327
is,0.24293622374534607,0.4565773010253906,0.2853454053401947,0.5823672413825989,0.18911804258823395,0.20343491435050964,0.22961433231830597
made,0.2576322853565216,0.505645751953125,0.2850165367126465,0.3885267674922943,0.07184748351573944,0.1864175647497177,0.17218779027462006
up,0.26056501269340515,0.29712793231010437,1.0000001192092896,0.38423117995262146,0.13090939819812775,0.14314819872379303,0.1819818764925003
of,0.2827862501144409,0.2927091419696808,0.32945773005485535,0.733189046382904,0.20310284197330475,0.3475167155265808,0.1826142966747284
graduate,0.21463854610919952,0.09292437136173248,0.17696890234947205,0.1983441710472107,0.506240963935852,0.22978325188159943,0.13230688869953156
and,0.41279885172843933,0.34688496589660645,0.4032393991947174,0.5171257257461548,0.2391568422317505,0.2859337627887726,0.20544172823429108
undergraduate,0.24706068634986877,0.12116502225399017,0.14997294545173645,0.20609073340892792,0.5524277091026306,0.2982253134250641,0.1531745046377182
students,0.3510516881942749,0.1176968663930893,0.2028108537197113,0.25268980860710144,0.7746244072914124,0.2784397602081299,0.18017297983169556
elected,0.3117038309574127,0.07586723566055298,0.10747691988945007,0.23167964816093445,0.29689276218414307,0.3878932595252991,0.1966295689344406
to,0.42656609416007996,0.35811367630958557,0.40375280380249023,0.535392165184021,0.21220189332962036,0.28343796730041504,0.29463258385658264
represent,0.17894133925437927,0.2266813963651657,0.16190820932388306,0.3288072943687439,0.19655492901802063,0.21127137541770935,0.1972627341747284
members,0.3290669620037079,0.13087861239910126,0.22290948033332825,0.3321719169616699,0.2626018226146698,0.222846120595932,0.10212311148643494
from,0.27839982509613037,0.1793784350156784,0.2719550132751465,0.40150508284568787,0.14416815340518951,0.16793464124202728,0.19969791173934937
their,0.3767721951007843,0.2618332803249359,0.3013010323047638,0.516537070274353,0.1515319049358368,0.2597605884075165,0.1898253709077835
respective,0.26903626322746277,0.13711382448673248,0.2656165361404419,0.3637433648109436,0.08902361989021301,0.21600674092769623,0.2512778639793396
academic,0.24013254046440125,0.10566495358943939,0.14102911949157715,0.15387672185897827,0.43078938126564026,0.27242687344551086,0.11011603474617004
unit,0.10349489003419876,0.12129175662994385,0.2170724719762802,0.24230392277240753,0.16867707669734955,0.2115744948387146,0.09069886058568954
.,0.3541337847709656,0.265095978975296,0.351434588432312,0.5934505462646484,0.20994822680950165,0.2521961033344269,0.4130953550338745
