,what,day,of,the,week,did,shark,tank,debut,on,?
shark,0.13182544708251953,0.14030826091766357,0.1910211592912674,0.234785795211792,0.13463561236858368,0.06688188016414642,1.0,0.2892535626888275,0.19037075340747833,0.23515574634075165,0.05145826190710068
tank,0.125138059258461,0.11927133053541183,0.2132720649242401,0.28027960658073425,0.16594405472278595,0.16694971919059753,0.2892535626888275,1.0000001192092896,0.12698836624622345,0.20687727630138397,0.09334904700517654
(,0.2411840260028839,0.22952881455421448,0.35032153129577637,0.33289089798927307,0.21499474346637726,0.18979617953300476,0.16288521885871887,0.19607676565647125,0.19442118704319,0.28656116127967834,0.40561532974243164
based,0.274813175201416,0.1240115836262703,0.3033197224140167,0.29860720038414,0.15825176239013672,0.15722841024398804,0.12574143707752228,0.0487213172018528,0.18263430893421173,0.36055147647857666,0.134929820895195
on,0.34226128458976746,0.3332281708717346,0.3966929316520691,0.5107308030128479,0.3680826723575592,0.2670976221561432,0.23515574634075165,0.20687727630138397,0.26024293899536133,0.9999999403953552,0.2714994251728058
the,0.42745697498321533,0.3062323033809662,0.733189046382904,1.0,0.28402599692344666,0.34736719727516174,0.234785795211792,0.28027960658073425,0.2226441204547882,0.5107308030128479,0.22068053483963013
dragon,0.11695480346679688,0.11181294173002243,0.17682741582393646,0.2850968539714813,0.15041616559028625,0.1308237463235855,0.21106377243995667,0.22862641513347626,0.1270563304424286,0.24010665714740753,0.1974911391735077
's,0.02692362666130066,0.03448042273521423,-0.03817026689648628,-0.01540423184633255,-0.04274718090891838,0.05069678649306297,0.016714727506041527,-0.018868088722229004,0.02319660410284996,0.0026888418942689896,-0.023395681753754616
den,0.1653665453195572,0.1467643678188324,0.14465895295143127,0.14217782020568848,0.13012029230594635,0.10257899761199951,0.10875347256660461,0.13429240882396698,0.16076427698135376,0.1656688004732132,0.1305062621831894
reality,0.3121267557144165,0.1288098692893982,0.22407591342926025,0.2677460014820099,0.22334274649620056,0.19890759885311127,0.1690092235803604,0.14943720400333405,0.2037990391254425,0.26691460609436035,0.20780257880687714
format,0.16273964941501617,0.1682901531457901,0.1439143568277359,0.21678368747234344,0.2785691022872925,0.1477918177843094,0.18070179224014282,0.0818687230348587,0.1815558820962906,0.1974322646856308,0.2222042977809906
),0.26259949803352356,0.2379259318113327,0.3680361211299896,0.3456730246543884,0.20822544395923615,0.18584993481636047,0.16609664261341095,0.18594127893447876,0.22301031649112701,0.29937487840652466,0.42300865054130554
also,0.42747777700424194,0.24576440453529358,0.4924938678741455,0.6021018624305725,0.2640324532985687,0.39334940910339355,0.24810802936553955,0.21988224983215332,0.21993643045425415,0.3762153089046478,0.21848613023757935
became,0.1434093862771988,0.24806120991706848,0.3638904094696045,0.36325156688690186,0.18363961577415466,0.3632316589355469,0.12409648299217224,0.17791962623596191,0.261801153421402,0.19448097050189972,0.11374033987522125
