,what,was,the,name,of,the,doctor,who,play,from,the,1980,'s,?
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.2459065467119217,0.5696388483047485,0.6662389636039734,0.25567495822906494,0.2792111933231354,0.24321173131465912,0.4274188280105591,0.6662389636039734,-0.03510594367980957,-0.037580832839012146,0.20430970191955566
the,0.42745697498321533,0.48711544275283813,1.0,0.3171212375164032,0.733189046382904,1.0,0.2820442318916321,0.3733934462070465,0.24793598055839539,0.40150508284568787,1.0,0.020048053935170174,-0.01540423184633255,0.22068053483963013
late,0.1576872020959854,0.4393066465854645,0.31481194496154785,0.19757506251335144,0.21690747141838074,0.31481194496154785,0.09912649542093277,0.19296042621135712,0.1134677454829216,0.27701494097709656,0.31481194496154785,0.025710947811603546,0.013811700977385044,0.11339222639799118
1980s,-0.06585196405649185,-0.0172738004475832,0.07890266180038452,0.13549461960792542,0.11110851913690567,0.07890266180038452,-0.09941106289625168,-0.04599153250455856,-0.027570057660341263,-0.004156426060944796,0.07890266180038452,0.4190566837787628,0.1363120675086975,-0.0718669518828392
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.20407600700855255,0.3365725874900818,0.2231253683567047,0.39760664105415344,0.4933079481124878,-0.002026396105065942,-0.0016132977325469255,0.31091248989105225
jon,0.1635923981666565,0.21221061050891876,0.153504878282547,0.08276823163032532,0.08789495378732681,0.153504878282547,0.20655249059200287,0.2891683280467987,0.15659910440444946,0.14636379480361938,0.153504878282547,-0.008348315954208374,-0.020226851105690002,0.1621117740869522
pertwee,0.22390323877334595,0.32652029395103455,0.27593860030174255,0.20435671508312225,0.2473498284816742,0.27593860030174255,0.425896018743515,0.3819985091686249,0.25902774930000305,0.22736774384975433,0.27593860030174255,0.022664155811071396,-0.04366963356733322,0.21838203072547913
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.21235932409763336,0.5116966962814331,0.5171257257461548,0.21673844754695892,0.41279885172843933,0.25634777545928955,0.3601827025413513,0.5171257257461548,0.011456938460469246,0.06895173341035843,0.20544172823429108
colin,0.15583473443984985,0.24057722091674805,0.2017749547958374,0.15906895697116852,0.13830313086509705,0.2017749547958374,0.20585417747497559,0.2254249006509781,0.21277214586734772,0.05619973689317703,0.2017749547958374,0.03546344116330147,0.01923510991036892,0.12176632136106491
baker,0.1443992257118225,0.23070454597473145,0.23057734966278076,0.18905100226402283,0.17265278100967407,0.23057734966278076,0.24323499202728271,0.2846620976924896,0.1192602664232254,0.20340658724308014,0.23057734966278076,0.026483844965696335,0.10081975907087326,0.1649734377861023
