,terra,nullius,is,a,latin,expression,meaning,what,in,english,?
british,0.10515516251325607,0.09998679161071777,0.19484983384609222,0.1984395682811737,0.07824276387691498,0.1445218324661255,0.042939692735672,0.19255435466766357,0.23084034025669098,0.47969716787338257,0.09711728990077972
imperialism,0.18133176863193512,0.25395190715789795,0.13894762098789215,0.17335295677185059,0.2174939662218094,0.3259335458278656,0.2165427953004837,0.24614648520946503,0.2081184834241867,0.21167349815368652,0.14998586475849152
often,0.1803015172481537,0.20121826231479645,0.3856629431247711,0.3930865228176117,0.16959574818611145,0.32560744881629944,0.33570390939712524,0.3849453330039978,0.3380797803401947,0.17056885361671448,0.23748154938220978
used,0.1689417064189911,0.1258382797241211,0.3288823366165161,0.3864384889602661,0.2537230849266052,0.31073498725891113,0.36533409357070923,0.27546408772468567,0.3090210556983948,0.18405529856681824,0.22430120408535004
the,0.19379344582557678,0.20295009016990662,0.5823672413825989,0.5829201340675354,0.24914836883544922,0.2569258511066437,0.31918859481811523,0.42745697498321533,0.6662389636039734,0.23982001841068268,0.22068053483963013
concept,0.18148724734783173,0.19837768375873566,0.2750450372695923,0.29586365818977356,0.26538336277008057,0.3954044282436371,0.35708144307136536,0.28724339604377747,0.21857000887393951,0.18837815523147583,0.17160645127296448
of,0.1871613711118698,0.16287614405155182,0.4854315221309662,0.5052502155303955,0.23412929475307465,0.2863939702510834,0.2447882443666458,0.33290785551071167,0.5696388483047485,0.17198967933654785,0.1826142966747284
terra,0.9999999403953552,0.3010086417198181,0.1469227522611618,0.15864808857440948,0.2778398394584656,0.15402480959892273,0.20971493422985077,0.1928153783082962,0.1328161656856537,0.11306136846542358,0.15037380158901215
nullius,0.3010086417198181,1.0,0.17069950699806213,0.15659868717193604,0.3661629259586334,0.22119097411632538,0.24254538118839264,0.31320661306381226,0.1721620410680771,0.10535591095685959,0.23118853569030762
(,0.170075461268425,0.1625363826751709,0.35393038392066956,0.3206180930137634,0.2060166597366333,0.17552179098129272,0.24211856722831726,0.2411840260028839,0.3087427020072937,0.3194602429866791,0.40561532974243164
latin,0.2778398394584656,0.3661629259586334,0.1937478482723236,0.18326351046562195,1.0,0.2289772629737854,0.3881976008415222,0.1759578436613083,0.18954341113567352,0.2661559283733368,0.1303461492061615
expression,0.15402480959892273,0.22119097411632538,0.24893754720687866,0.29299622774124146,0.2289772629737854,1.0,0.36073458194732666,0.258706271648407,0.19952243566513062,0.17067526280879974,0.17946012318134308
which,0.19137586653232574,0.22572249174118042,0.4457404911518097,0.56894451379776,0.2694929540157318,0.3366905152797699,0.3784721791744232,0.5261979103088379,0.4840516746044159,0.19168700277805328,0.25814583897590637
stems,0.12743644416332245,0.20237965881824493,0.2551526129245758,0.2488514631986618,0.26096591353416443,0.19325779378414154,0.29150956869125366,0.15208248794078827,0.1798664629459381,0.13264141976833344,0.15304353833198547
from,0.1765967160463333,0.13535650074481964,0.27355384826660156,0.322764128446579,0.2724078595638275,0.1753358244895935,0.2275310903787613,0.2737620174884796,0.4274188280105591,0.201618492603302,0.19969791173934937
roman,0.24509742856025696,0.4559849500656128,0.16690842807292938,0.18130378425121307,0.38002678751945496,0.09975765645503998,0.14124755561351776,0.17852471768856049,0.24986636638641357,0.17874711751937866,0.1663191318511963
law,0.1840965449810028,0.31289228796958923,0.18597714602947235,0.2212858349084854,0.16648350656032562,0.14826235175132751,0.16994652152061462,0.2145031988620758,0.24850773811340332,0.1703651398420334,0.1528988480567932
meaning,0.20971493422985077,0.24254538118839264,0.32422322034835815,0.3343478739261627,0.3881976008415222,0.36073458194732666,0.9999999403953552,0.24135559797286987,0.2137773334980011,0.21359309554100037,0.20420892536640167
'empty,0.1381073147058487,0.27608636021614075,0.15639711916446686,0.19350500404834747,0.1447480320930481,0.25988855957984924,0.20976082980632782,0.1749005913734436,0.1320735365152359,0.16675962507724762,0.2481113076210022
land,0.28902870416641235,0.1914970725774765,0.22457899153232574,0.247930645942688,0.09144042432308197,0.0846511572599411,0.2024618238210678,0.23411516845226288,0.22871792316436768,0.11806156486272812,0.1432059109210968
',0.13707828521728516,0.11034427583217621,0.5508411526679993,0.48837921023368835,0.15121865272521973,0.19586500525474548,0.2728302776813507,0.3245812654495239,0.4158826768398285,0.2850017547607422,0.330942302942276
),0.17383211851119995,0.15980367362499237,0.37732169032096863,0.3640355169773102,0.21256890892982483,0.18878024816513062,0.25260844826698303,0.26259949803352356,0.3326910734176636,0.32298287749290466,0.42300865054130554
.,0.16103804111480713,0.19549095630645752,0.4569662809371948,0.50484299659729,0.2097781002521515,0.21360130608081818,0.15429382026195526,0.3567904531955719,0.5591574311256409,0.2881386876106262,0.4130953550338745
