,what,was,the,dual,mission,as-258,a,combination,of,?
its,0.30393704771995544,0.3518870174884796,0.559237003326416,0.16074655950069427,0.18207962810993195,0.10677800327539444,0.4424409866333008,0.22829948365688324,0.48690423369407654,0.15103481709957123
saturn,0.12153393030166626,0.24932558834552765,0.24189656972885132,0.12199272960424423,0.21416005492210388,0.1570698618888855,0.20805643498897552,0.1432829350233078,0.19011574983596802,0.1619711071252823
ib,0.13645219802856445,0.12603223323822021,0.14590691030025482,0.1944553107023239,0.21625320613384247,0.23175084590911865,0.21355868875980377,0.13784609735012054,0.1537172794342041,0.23230938613414764
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.11013288050889969,0.20951420068740845,0.14027386903762817,0.4508470594882965,0.22673027217388153,0.4069072902202606,0.18412111699581146
allocated,0.2210150808095932,0.19672416150569916,0.35371720790863037,0.25955310463905334,0.16268135607242584,0.029727507382631302,0.2853202819824219,0.25886446237564087,0.3184435963630676,0.17195001244544983
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.15537963807582855,0.26700642704963684,0.2262529879808426,0.45503583550453186,0.2600461542606354,0.41548454761505127,0.29463258385658264
the,0.42745697498321533,0.48711544275283813,1.0,0.18420051038265228,0.22673439979553223,0.17412622272968292,0.5829201340675354,0.2879151701927185,0.733189046382904,0.22068053483963013
dual,0.19368243217468262,0.11013288050889969,0.18420051038265228,1.0,0.0730171948671341,0.19283713400363922,0.22190824151039124,0.21291810274124146,0.19118990004062653,0.14500975608825684
mission,0.2317502647638321,0.20951420068740845,0.22673439979553223,0.0730171948671341,1.0,0.2130030244588852,0.2477724254131317,0.06235368922352791,0.20170781016349792,0.19506393373012543
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.17898842692375183,0.21226151287555695,0.17582957446575165,0.427140474319458,0.3038865029811859,0.4946078956127167,0.31091248989105225
now,0.4903225302696228,0.35876134037971497,0.38266420364379883,0.12929369509220123,0.1593940407037735,0.12051332741975784,0.3046339154243469,0.12460998445749283,0.29182544350624084,0.29641881585121155
redesignated,0.13557083904743195,0.29087385535240173,0.2596462666988373,0.16272278130054474,0.2935916483402252,0.17226025462150574,0.2776830494403839,0.11847462505102158,0.21107420325279236,0.2064211070537567
as-205/208,0.25526300072669983,0.10855025798082352,0.19282132387161255,0.19654083251953125,0.1585189700126648,0.5732030272483826,0.12133940309286118,0.12321868538856506,0.16021700203418732,0.3086338937282562
or,0.33867141604423523,0.2330796718597412,0.4174870550632477,0.2351282387971878,0.1320081651210785,0.21049290895462036,0.48853766918182373,0.45731210708618164,0.3792596757411957,0.32389625906944275
as-258,0.1684066355228424,0.14027386903762817,0.17412622272968292,0.19283713400363922,0.2130030244588852,1.0000001192092896,0.1465560793876648,0.017802199348807335,0.15467461943626404,0.20682428777217865
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.17898842692375183,0.21226151287555695,0.17582957446575165,0.427140474319458,0.3038865029811859,0.4946078956127167,0.31091248989105225
planned,0.21141068637371063,0.3590250015258789,0.3010992109775543,0.06659859418869019,0.33219093084335327,0.12988580763339996,0.23569394648075104,0.10067102313041687,0.2487981617450714,0.16188396513462067
for,0.3017193675041199,0.3863949179649353,0.4739971458911896,0.19473272562026978,0.18326549232006073,0.1714508831501007,0.44038116931915283,0.3173399567604065,0.4185989499092102,0.264628142118454
august,0.2305731326341629,0.42620858550071716,0.22689028084278107,0.127211332321167,0.17755818367004395,0.15369997918605804,0.22687026858329773,0.0731152817606926,0.1712995171546936,0.3006744682788849
1967,-0.0218155886977911,0.059212569147348404,-0.012038951739668846,0.03216639906167984,-0.08712975680828094,-0.018214156851172447,-0.005675012711435556,-0.05998918041586876,0.07289459556341171,0.017933469265699387
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.17115114629268646,0.2227463275194168,0.23938286304473877,0.50484299659729,0.22957785427570343,0.5352458953857422,0.4130953550338745
