,the,hawaiian,islands,are,made,up,almost,entirely,of,what,?
the,1.0,0.21330074965953827,0.27959951758384705,0.40399202704429626,0.3885267674922943,0.38423117995262146,0.3341992199420929,0.33318132162094116,0.733189046382904,0.42745697498321533,0.22068053483963013
hawaiian,0.21330074965953827,1.0000001192092896,0.44818246364593506,0.19820484519004822,0.12683622539043427,0.18505080044269562,0.11826534569263458,0.11272843182086945,0.19733953475952148,0.1328030824661255,0.12567901611328125
islands,0.27959951758384705,0.44818246364593506,0.9999999403953552,0.23168352246284485,0.16131123900413513,0.19731807708740234,0.13341490924358368,0.14604617655277252,0.277767539024353,0.12194207310676575,0.11824353039264679
",",0.4933079481124878,0.19157378375530243,0.2641065716743469,0.4062570035457611,0.32507219910621643,0.34193792939186096,0.3425607979297638,0.3141396641731262,0.4946078956127167,0.3087472915649414,0.31091248989105225
for,0.4739971458911896,0.16546696424484253,0.20501042902469635,0.3895993232727051,0.3147922456264496,0.342966228723526,0.3211694657802582,0.26198264956474304,0.4185989499092102,0.3017193675041199,0.264628142118454
example,0.3755223751068115,0.17325258255004883,0.1782032549381256,0.4108889698982239,0.22777177393436432,0.2705221474170685,0.2618110477924347,0.21998658776283264,0.3570667505264282,0.3456268310546875,0.30374911427497864
",",0.4933079481124878,0.19157378375530243,0.2641065716743469,0.4062570035457611,0.32507219910621643,0.34193792939186096,0.3425607979297638,0.3141396641731262,0.4946078956127167,0.3087472915649414,0.31091248989105225
consist,0.2698076069355011,0.15909703075885773,0.19681821763515472,0.5041409730911255,0.29173800349235535,0.29445502161979675,0.2893050014972687,0.38055941462516785,0.34433460235595703,0.15849626064300537,0.04707268625497818
almost,0.3341992199420929,0.11826534569263458,0.13341490924358368,0.34548285603523254,0.2637576162815094,0.2946622669696808,0.9999999403953552,0.48742619156837463,0.3144364058971405,0.2467888444662094,0.1372147500514984
entirely,0.33318132162094116,0.11272843182086945,0.14604617655277252,0.3856066167354584,0.215995192527771,0.2547895908355713,0.48742619156837463,1.0,0.2849496901035309,0.38249561190605164,0.19651781022548676
of,0.733189046382904,0.19733953475952148,0.277767539024353,0.39081433415412903,0.33167365193367004,0.32945773005485535,0.3144364058971405,0.2849496901035309,1.0,0.33290785551071167,0.1826142966747284
layered,0.2035854160785675,0.08814888447523117,0.1492769569158554,0.2469404935836792,0.2736864984035492,0.21396705508232117,0.18477076292037964,0.2528616487979889,0.23404428362846375,0.157872274518013,0.10999923944473267
basaltic,0.3145388960838318,0.18898427486419678,0.337144672870636,0.2854194641113281,0.19494053721427917,0.1975472867488861,0.2321387082338333,0.3540683686733246,0.290884792804718,0.2015206217765808,0.06711030751466751
lava,0.1775549203157425,0.22660690546035767,0.2370852530002594,0.21242214739322662,0.13544948399066925,0.2542453110218048,0.23096312582492828,0.236729696393013,0.13713309168815613,0.17333997786045074,0.12033136188983917
flows,0.32405155897140503,0.04295242950320244,0.16833022236824036,0.20555317401885986,0.15607686340808868,0.16403590142726898,0.18400676548480988,0.18304073810577393,0.25574392080307007,0.14294633269309998,0.11636040359735489
.,0.5934505462646484,0.20073318481445312,0.26146334409713745,0.3452940285205841,0.4032190144062042,0.351434588432312,0.3878043293952942,0.3153672218322754,0.5352458953857422,0.3567904531955719,0.4130953550338745
