,which,team,held,the,scoring,lead,throughout,the,entire,game,?
the,0.6521818041801453,0.22564226388931274,0.32185450196266174,1.0,0.2582377791404724,0.21995973587036133,0.4158564507961273,1.0,0.4870373010635376,0.285271555185318,0.22068053483963013
broncos,0.22873279452323914,0.32797038555145264,0.22484172880649567,0.25985947251319885,0.3381083905696869,0.20787645876407623,0.19428730010986328,0.25985947251319885,0.19165925681591034,0.32325026392936707,0.18377114832401276
took,0.15372000634670258,0.1669916957616806,0.4356749355792999,0.31657639145851135,0.1442597657442093,0.24198082089424133,0.21110759675502777,0.31657639145851135,0.20369942486286163,0.16754378378391266,0.14109265804290771
an,0.3611921966075897,0.09274635463953018,0.09179631620645523,0.4207492768764496,0.13674136996269226,0.2059066742658615,0.14042221009731293,0.4207492768764496,0.2959873676300049,0.16604416072368622,0.19793890416622162
early,0.29240089654922485,0.11199495941400528,0.23518936336040497,0.34442198276519775,0.19477812945842743,0.17482073605060577,0.4236849546432495,0.34442198276519775,0.264464408159256,0.21506367623806,0.15272949635982513
lead,0.2136504352092743,0.12031765282154083,0.06249010190367699,0.21995973587036133,0.21887224912643433,0.9999998807907104,0.1879575252532959,0.21995973587036133,0.2088080495595932,0.18853990733623505,0.14552436769008636
in,0.4840516746044159,0.18841172754764557,0.3127288818359375,0.6662389636039734,0.19487565755844116,0.2055644989013672,0.46596065163612366,0.6662389636039734,0.3347092568874359,0.23986028134822845,0.20430970191955566
super,0.25759580731391907,0.23339706659317017,0.1602509617805481,0.21959073841571808,0.20096494257450104,0.13247919082641602,0.1474054902791977,0.21959073841571808,0.14393678307533264,0.3480181396007538,0.166326642036438
bowl,0.23468568921089172,0.20460736751556396,0.1913566142320633,0.21576224267482758,0.2707948684692383,0.1691603809595108,0.14524398744106293,0.21576224267482758,0.0987730398774147,0.2413962334394455,0.21118052303791046
50,0.022181637585163116,0.07221189886331558,0.018389368429780006,0.03602437674999237,0.004782631527632475,-0.011630125343799591,0.025604495778679848,0.03602437674999237,0.0992315337061882,0.012895043939352036,0.030512850731611252
and,0.506277859210968,0.22394508123397827,0.22757986187934875,0.5171257257461548,0.20668983459472656,0.31077226996421814,0.36296960711479187,0.5171257257461548,0.3080313205718994,0.25192898511886597,0.20544172823429108
never,0.3926985263824463,0.1496933549642563,0.1531510204076767,0.31617826223373413,0.11771483719348907,0.11082608997821808,0.2870199382305145,0.31617826223373413,0.29886531829833984,0.17257601022720337,0.24137508869171143
trailed,0.3182777762413025,0.17511799931526184,0.24409054219722748,0.3216854929924011,0.19423089921474457,0.23333460092544556,0.2341913878917694,0.3216854929924011,0.27876016497612,0.2862878739833832,0.2317388355731964
.,0.45942068099975586,0.26467522978782654,0.2628571093082428,0.5934505462646484,0.2129979431629181,0.2305188626050949,0.29375210404396057,0.5934505462646484,0.31781989336013794,0.2581658959388733,0.4130953550338745
