,who,initially,took,over,as,president,of,capital,cities/abc,after,daniel,burke,left,?
daniel,0.2651176154613495,0.030466394498944283,0.055560383945703506,0.1010182574391365,0.15492023527622223,0.17979766428470612,0.13703610002994537,0.14457380771636963,0.16933567821979523,0.14496611058712006,0.9999999403953552,0.23929588496685028,0.12937557697296143,0.1540297418832779
burke,0.24957938492298126,0.09492390602827072,0.22213587164878845,0.08252952247858047,0.12856978178024292,0.16731171309947968,0.1652795672416687,0.16382765769958496,0.24115629494190216,0.22422315180301666,0.23929588496685028,1.0,0.20423372089862823,0.12550751864910126
departed,0.20033155381679535,0.1829552799463272,0.28886330127716064,0.23585034906864166,0.2635022699832916,0.21095049381256104,0.23432166874408722,0.1359402984380722,0.171047180891037,0.2948850691318512,0.18634752929210663,0.26276805996894836,0.23995457589626312,0.11029011756181717
from,0.27839982509613037,0.1962183266878128,0.2382442206144333,0.37539660930633545,0.3251767158508301,0.14635725319385529,0.4249346852302551,0.22938302159309387,0.21788151562213898,0.4051513373851776,0.20949405431747437,0.15412084758281708,0.2032279670238495,0.19969791173934937
capital,0.15628641843795776,0.1703549027442932,0.12382622063159943,0.1535618156194687,0.19028405845165253,0.24277032911777496,0.30823585391044617,0.9999999403953552,0.4365534782409668,0.25313887000083923,0.14457380771636963,0.16382765769958496,0.1448163390159607,0.0907452180981636
cities/abc,0.1692102700471878,0.15771028399467468,0.1539296805858612,0.15521666407585144,0.21087509393692017,0.2548964321613312,0.29075387120246887,0.4365534782409668,1.0000001192092896,0.16801127791404724,0.16933567821979523,0.24115629494190216,0.19025211036205292,0.2519042491912842
in,0.2792111933231354,0.2391221970319748,0.2818296551704407,0.3605569899082184,0.3887844979763031,0.18811661005020142,0.5696388483047485,0.3233928978443146,0.3274103105068207,0.44050168991088867,0.1751832365989685,0.16090454161167145,0.21139952540397644,0.20430970191955566
february,0.2668350636959076,0.19411739706993103,0.21897931396961212,0.15243206918239594,0.2597405016422272,0.27558761835098267,0.20366249978542328,0.2452402114868164,0.26563045382499695,0.31998828053474426,0.2357179969549179,0.16855169832706451,0.10979709774255753,0.29594847559928894
1994,0.19574828445911407,-0.027367020025849342,0.10429844260215759,-0.010401424020528793,0.010747266933321953,0.16682320833206177,-0.07057395577430725,0.0036419101525098085,-0.026754217222332954,0.0566662959754467,0.019808342680335045,-0.008366129361093044,0.02234645001590252,0.12888094782829285
",",0.3365725874900818,0.23403345048427582,0.27655306458473206,0.3301127254962921,0.48816442489624023,0.26552814245224,0.4946078956127167,0.28033894300460815,0.35105860233306885,0.38860568404197693,0.2327898144721985,0.22913895547389984,0.2448868453502655,0.31091248989105225
with,0.3282766342163086,0.23973597586154938,0.1882828176021576,0.34885337948799133,0.40387406945228577,0.14994901418685913,0.41827285289764404,0.13558538258075714,0.21366477012634277,0.33843478560447693,0.1615474373102188,0.12595868110656738,0.219827800989151,0.2433311939239502
thomas,0.26103657484054565,0.1334715336561203,0.17723479866981506,0.12868060171604156,0.19479404389858246,0.22410279512405396,0.18699592351913452,0.1050117239356041,0.20515191555023193,0.1820588856935501,0.2566600441932678,0.30722668766975403,0.1588381975889206,0.16133050620555878
murphy,0.2694018483161926,0.1538378745317459,0.1533435881137848,0.17727918922901154,0.26997292041778564,0.10970347374677658,0.1612769067287445,0.15933264791965485,0.21495267748832703,0.1790740191936493,0.29233986139297485,0.3857452869415283,0.14616499841213226,0.1981727033853531
taking,0.2872755825519562,0.14784826338291168,0.5595852732658386,0.3826541304588318,0.3148394227027893,0.17211270332336426,0.29240402579307556,0.12723258137702942,0.10343705117702484,0.34106552600860596,0.051882583647966385,0.17677445709705353,0.21787871420383453,0.19960761070251465
over,0.316001296043396,0.2728683650493622,0.4030097723007202,1.0,0.3506779670715332,0.22208066284656525,0.36136594414711,0.1535618156194687,0.15521666407585144,0.3694296181201935,0.1010182574391365,0.08252952247858047,0.22251693904399872,0.25742942094802856
as,0.3923053741455078,0.34394073486328125,0.2319253534078598,0.3506779670715332,1.0,0.2031671553850174,0.3886612355709076,0.19028405845165253,0.21087509393692017,0.3014480769634247,0.15492023527622223,0.12856978178024292,0.24601076543331146,0.27043893933296204
president,0.22565458714962006,0.16752484440803528,0.23178637027740479,0.22208066284656525,0.2031671553850174,1.0000001192092896,0.21610750257968903,0.24277032911777496,0.2548964321613312,0.25286588072776794,0.17979766428470612,0.16731171309947968,0.14433994889259338,0.14148259162902832
before,0.31244513392448425,0.33936622738838196,0.3224736750125885,0.39478549361228943,0.3552539646625519,0.17633652687072754,0.3282964527606964,0.17086370289325714,0.13967253267765045,0.6937490701675415,0.14183396100997925,0.18626071512699127,0.3031454086303711,0.2507109045982361
ceding,0.11663956195116043,0.2810822129249573,0.2404080033302307,0.2974073886871338,0.24803338944911957,0.2830783724784851,0.3783898651599884,0.32612335681915283,0.2972486615180969,0.3296773433685303,0.09353388100862503,0.12011388689279556,0.27255532145500183,0.15623490512371063
control,0.23970051109790802,0.22319260239601135,0.31930482387542725,0.3525603711605072,0.18926969170570374,0.19762568175792694,0.2817542552947998,0.1472814679145813,0.1336967647075653,0.18320131301879883,0.03545393794775009,0.09185618907213211,0.14258961379528046,0.1620711386203766
to,0.42656609416007996,0.30896347761154175,0.24576251208782196,0.38635820150375366,0.42092081904411316,0.21247753500938416,0.41548454761505127,0.1844596415758133,0.17292656004428864,0.37890323996543884,0.14080819487571716,0.23116475343704224,0.2724500000476837,0.29463258385658264
robert,0.2748492956161499,0.07586227357387543,0.16297975182533264,0.14114150404930115,0.18202318251132965,0.18325552344322205,0.2398476004600525,0.10882189869880676,0.20290249586105347,0.1850993037223816,0.2653133273124695,0.30905622243881226,0.1485128253698349,0.11293095350265503
iger,0.2642470598220825,0.22835156321525574,0.1491907685995102,0.19142252206802368,0.20694401860237122,0.2606333792209625,0.15813247859477997,0.04538160562515259,0.14505763351917267,0.17948417365550995,0.24475909769535065,0.254467248916626,0.0911397859454155,0.18717654049396515
