,when,was,the,first,known,historical,reference,to,immunity,?
the,0.5091903209686279,0.48711544275283813,1.0,0.49448907375335693,0.3624623417854309,0.30835282802581787,0.26254498958587646,0.535392165184021,0.25992491841316223,0.22068053483963013
earliest,0.1827615648508072,0.25501716136932373,0.32825469970703125,0.4127090871334076,0.3454912602901459,0.3492157757282257,0.18078938126564026,0.20613901317119598,0.12251187115907669,0.139415442943573
known,0.1836930811405182,0.35203275084495544,0.3624623417854309,0.274125337600708,1.0,0.16978608071804047,0.2287893295288086,0.14337651431560516,0.08835657685995102,0.18314571678638458
reference,0.16803410649299622,0.21164053678512573,0.26254498958587646,0.2230263352394104,0.2287893295288086,0.20628978312015533,1.0,0.25784367322921753,0.05976767838001251,0.2950310707092285
to,0.5423505902290344,0.3636345863342285,0.535392165184021,0.3792489171028137,0.14337651431560516,0.22193273901939392,0.25784367322921753,1.0,0.23462912440299988,0.29463258385658264
immunity,0.18724976480007172,0.1830712854862213,0.25992491841316223,0.20915158092975616,0.08835657685995102,0.10119108110666275,0.05976767838001251,0.23462912440299988,1.0000001192092896,0.16423189640045166
was,0.37326499819755554,1.0000001192092896,0.48711544275283813,0.5022147297859192,0.35203275084495544,0.18540561199188232,0.21164053678512573,0.3636345863342285,0.1830712854862213,0.18412111699581146
during,0.46721696853637695,0.4470829963684082,0.4838213622570038,0.45377472043037415,0.27972859144210815,0.2259368598461151,0.10137495398521423,0.2828781306743622,0.16985207796096802,0.1325719803571701
the,0.5091903209686279,0.48711544275283813,1.0,0.49448907375335693,0.3624623417854309,0.30835282802581787,0.26254498958587646,0.535392165184021,0.25992491841316223,0.22068053483963013
plague,0.25819700956344604,0.24312011897563934,0.2537761330604553,0.21400928497314453,0.14461621642112732,0.16161112487316132,0.08694717288017273,0.21845681965351105,0.20280730724334717,0.11872942000627518
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.3536086082458496,0.35814476013183594,0.3218611776828766,0.21538788080215454,0.41548454761505127,0.17778201401233673,0.1826142966747284
athens,0.2163132131099701,0.25162312388420105,0.21171389520168304,0.19264085590839386,0.10920266062021255,0.1543709933757782,0.11616697907447815,0.24866260588169098,0.15707534551620483,0.07273513823747635
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.4127444326877594,0.32641831040382385,0.30350539088249207,0.22640638053417206,0.45010748505592346,0.16387996077537537,0.20430970191955566
430,0.14926525950431824,0.24435758590698242,0.061086107045412064,0.11289285868406296,0.14757826924324036,-0.03585299849510193,-0.026787925511598587,0.08136188238859177,0.13280604779720306,0.15022046864032745
bc,0.20833487808704376,0.18112368881702423,0.2513079047203064,0.1904160976409912,0.15363234281539917,0.21674484014511108,0.17825564742088318,0.1713111847639084,0.12766849994659424,0.1382298320531845
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.4345304071903229,0.283290296792984,0.21067677438259125,0.2742740213871002,0.4645031690597534,0.20537415146827698,0.4130953550338745
