,what,crops,were,introduced,or,popularized,in,the,yuan,?
eastern,0.2263268083333969,0.23064060509204865,0.23770202696323395,0.2234381139278412,0.17014744877815247,0.196197047829628,0.3306356370449066,0.3928247392177582,0.20749247074127197,0.20060817897319794
crops,0.2563587725162506,1.0,0.2878558337688446,0.16836625337600708,0.2695521116256714,0.1587950587272644,0.21996134519577026,0.2617131173610687,0.18073126673698425,0.15924812853336334
such,0.23989605903625488,0.2470410317182541,0.2970055043697357,0.21995273232460022,0.5489916801452637,0.2817688286304474,0.2704046070575714,0.3575236201286316,0.1278371512889862,0.17851735651493073
as,0.31749409437179565,0.19623100757598877,0.3025437891483307,0.25088563561439514,0.4400654137134552,0.27660685777664185,0.3887844979763031,0.48381632566452026,0.2132488638162613,0.27043893933296204
carrots,0.18383868038654327,0.39266982674598694,0.16967613995075226,0.2206980288028717,0.3496266305446625,0.24541155993938446,0.20250697433948517,0.2002410739660263,0.1623576283454895,0.17166610062122345
",",0.3087472915649414,0.288750559091568,0.36755475401878357,0.22034090757369995,0.3769497275352478,0.23381352424621582,0.5201468467712402,0.4933079481124878,0.20958951115608215,0.31091248989105225
turnips,0.27818647027015686,0.40240851044654846,0.22245074808597565,0.1956203579902649,0.3378393054008484,0.19260109961032867,0.1578456312417984,0.22692209482192993,0.11878720670938492,0.3298417627811432
",",0.3087472915649414,0.288750559091568,0.36755475401878357,0.22034090757369995,0.3769497275352478,0.23381352424621582,0.5201468467712402,0.4933079481124878,0.20958951115608215,0.31091248989105225
new,0.2130378633737564,0.13859513401985168,0.21711495518684387,0.285953551530838,0.1627417951822281,0.13446877896785736,0.3758552670478821,0.3845241069793701,0.15563248097896576,0.14782847464084625
varieties,0.12239013612270355,0.35465559363365173,0.1743774712085724,0.25780245661735535,0.30203837156295776,0.25331759452819824,0.17078916728496552,0.16112394630908966,0.16543269157409668,0.20348937809467316
of,0.33290785551071167,0.23552285134792328,0.34038281440734863,0.23328952491283417,0.3792596757411957,0.20928612351417542,0.5696388483047485,0.733189046382904,0.22696353495121002,0.1826142966747284
lemons,0.14277921617031097,0.30545270442962646,0.1806441694498062,0.15455375611782074,0.21819770336151123,0.2552824318408966,0.18550637364387512,0.20604857802391052,0.2318454086780548,0.10504618287086487
",",0.3087472915649414,0.288750559091568,0.36755475401878357,0.22034090757369995,0.3769497275352478,0.23381352424621582,0.5201468467712402,0.4933079481124878,0.20958951115608215,0.31091248989105225
eggplants,0.18632009625434875,0.45767492055892944,0.21982473134994507,0.2151290476322174,0.37596940994262695,0.2292809635400772,0.24698925018310547,0.24992352724075317,0.15998663008213043,0.19567276537418365
",",0.3087472915649414,0.288750559091568,0.36755475401878357,0.22034090757369995,0.3769497275352478,0.23381352424621582,0.5201468467712402,0.4933079481124878,0.20958951115608215,0.31091248989105225
and,0.31309178471565247,0.2840505540370941,0.42175528407096863,0.27894338965415955,0.4713204801082611,0.22302310168743134,0.4954058527946472,0.5171257257461548,0.22359056770801544,0.20544172823429108
melons,0.19803662598133087,0.4780421555042267,0.2548520863056183,0.18054243922233582,0.3059254586696625,0.17921318113803864,0.18649624288082123,0.24017034471035004,0.16251449286937714,0.20356518030166626
",",0.3087472915649414,0.288750559091568,0.36755475401878357,0.22034090757369995,0.3769497275352478,0.23381352424621582,0.5201468467712402,0.4933079481124878,0.20958951115608215,0.31091248989105225
high-quality,0.36787694692611694,0.25389134883880615,0.22492879629135132,0.18852388858795166,0.33829399943351746,0.2651429772377014,0.26889875531196594,0.2865791618824005,0.1575709581375122,0.3269082009792328
granulated,0.1451091319322586,0.3149883449077606,0.2783243954181671,0.2941077947616577,0.35818400979042053,0.3309534192085266,0.248830184340477,0.30474212765693665,0.08731428533792496,0.11825647950172424
sugar,0.19485929608345032,0.35661983489990234,0.18255829811096191,0.22333082556724548,0.2246450036764145,0.19285571575164795,0.22404853999614716,0.24189211428165436,0.1565660536289215,0.12463535368442535
",",0.3087472915649414,0.288750559091568,0.36755475401878357,0.22034090757369995,0.3769497275352478,0.23381352424621582,0.5201468467712402,0.4933079481124878,0.20958951115608215,0.31091248989105225
and,0.31309178471565247,0.2840505540370941,0.42175528407096863,0.27894338965415955,0.4713204801082611,0.22302310168743134,0.4954058527946472,0.5171257257461548,0.22359056770801544,0.20544172823429108
cotton,0.12234673649072647,0.46908828616142273,0.25647231936454773,0.230910986661911,0.2013179510831833,0.21800018846988678,0.17614176869392395,0.1990797519683838,0.140058696269989,0.11310630291700363
were,0.22298263013362885,0.2878558337688446,1.0000001192092896,0.27468806505203247,0.3389680087566376,0.21205176413059235,0.3815755248069763,0.3906462490558624,0.19657303392887115,0.17890112102031708
all,0.41981086134910583,0.24979707598686218,0.4387909770011902,0.17273184657096863,0.3321593105792999,0.1270986944437027,0.3335905969142914,0.4860881567001343,0.14827170968055725,0.29575422406196594
either,0.3851809501647949,0.24898909032344818,0.25168898701667786,0.13833999633789062,0.6381545066833496,0.13278155028820038,0.2748357057571411,0.3795609474182129,0.18275640904903412,0.31498292088508606
introduced,0.09417270123958588,0.16836625337600708,0.27468806505203247,1.0,0.1752610206604004,0.4119051396846771,0.2614979147911072,0.242969810962677,0.17915938794612885,0.16386865079402924
or,0.33867141604423523,0.2695521116256714,0.3389680087566376,0.1752610206604004,1.0000001192092896,0.15715275704860687,0.3586423695087433,0.4174870550632477,0.2459961175918579,0.32389625906944275
successfully,0.20084762573242188,0.17198221385478973,0.24631448090076447,0.23533719778060913,0.17007024586200714,0.287521094083786,0.2983573377132416,0.32525569200515747,0.14417365193367004,0.0971045047044754
popularized,0.1296394169330597,0.1587950587272644,0.21205176413059235,0.4119051396846771,0.15715275704860687,1.0,0.25131720304489136,0.24374765157699585,0.0541912242770195,0.07561429589986801
during,0.24137552082538605,0.24584095180034637,0.4064035415649414,0.20965181291103363,0.2425481230020523,0.2652222514152527,0.4627237319946289,0.4838213622570038,0.18615633249282837,0.1325719803571701
the,0.42745697498321533,0.2617131173610687,0.3906462490558624,0.242969810962677,0.4174870550632477,0.24374765157699585,0.6662389636039734,1.0,0.2548272907733917,0.22068053483963013
yuan,0.13503028452396393,0.18073126673698425,0.19657303392887115,0.17915938794612885,0.2459961175918579,0.0541912242770195,0.14850552380084991,0.2548272907733917,1.0,0.12871281802654266
dynasty,0.17240095138549805,0.1704157441854477,0.195143923163414,0.10296230018138885,0.16377557814121246,0.20736148953437805,0.15246383845806122,0.26267939805984497,0.49336904287338257,0.15884074568748474
.,0.3567904531955719,0.2321854680776596,0.3378238379955292,0.2799728810787201,0.36683785915374756,0.22869576513767242,0.5591574311256409,0.5934505462646484,0.17233723402023315,0.4130953550338745
