,how,many,member,states,adopted,the,social,charter,in,1989,?
the,0.33890387415885925,0.4335206151008606,0.2806392312049866,0.3463578522205353,0.23462533950805664,1.0,0.21797899901866913,0.26436546444892883,0.6662389636039734,-0.009533590637147427,0.22068053483963013
social,0.2205141931772232,0.2721116840839386,0.22893384099006653,0.1574816107749939,0.2157871425151825,0.21797899901866913,1.0,0.22358788549900055,0.23382627964019775,0.03409900888800621,0.1615191102027893
charter,0.11218208819627762,0.17963452637195587,0.2916165292263031,0.2679363787174225,0.2940364480018616,0.26436546444892883,0.22358788549900055,1.0000001192092896,0.20881880819797516,0.06392956525087357,0.14220231771469116
was,0.16678167879581451,0.260356068611145,0.31559354066848755,0.2847922146320343,0.31838172674179077,0.48711544275283813,0.196878582239151,0.23359626531600952,0.45514053106307983,0.06480737775564194,0.18412111699581146
subsequently,0.19233055412769318,0.2233906239271164,0.2271209955215454,0.17022570967674255,0.1670093834400177,0.2886511981487274,0.16295671463012695,0.17693792283535004,0.21820683777332306,0.03391265124082565,0.005594457965344191
adopted,0.08470717072486877,0.12371036410331726,0.22302718460559845,0.22770579159259796,1.0,0.23462533950805664,0.2157871425151825,0.2940364480018616,0.22637200355529785,0.04592264071106911,0.14235380291938782
in,0.2601168751716614,0.41474202275276184,0.20856694877147675,0.3977442979812622,0.22637200355529785,0.6662389636039734,0.23382627964019775,0.20881880819797516,1.0,0.006802527233958244,0.20430970191955566
1989,-0.12765748798847198,-0.03748582676053047,0.12639693915843964,0.07790249586105347,0.04592264071106911,-0.009533590637147427,0.03409900888800621,0.06392956525087357,0.006802527233958244,1.0,0.08110656589269638
by,0.34370526671409607,0.3409687578678131,0.14692413806915283,0.23827408254146576,0.19986462593078613,0.4408751428127289,0.17605063319206238,0.1632666289806366,0.370934396982193,-0.05141887068748474,0.17966607213020325
11,0.04696422442793846,0.13612139225006104,0.041055187582969666,0.01651664637029171,-0.01248396746814251,-0.0219515822827816,0.15252713859081268,-0.03813681751489639,0.03469983860850334,0.15242049098014832,-0.04295448586344719
of,0.2480744868516922,0.37253960967063904,0.2701796889305115,0.30884552001953125,0.25312307476997375,0.733189046382904,0.2605111300945282,0.2438247799873352,0.5696388483047485,0.01702592521905899,0.1826142966747284
the,0.33890387415885925,0.4335206151008606,0.2806392312049866,0.3463578522205353,0.23462533950805664,1.0,0.21797899901866913,0.26436546444892883,0.6662389636039734,-0.009533590637147427,0.22068053483963013
then,0.36093711853027344,0.27087974548339844,0.1018124371767044,0.2255982756614685,0.14049996435642242,0.4297412931919098,0.09604641795158386,0.16702929139137268,0.36253848671913147,-0.09292727708816528,0.2884598970413208
12,0.10959922522306442,0.1780882626771927,-0.033152882009744644,0.06391763687133789,0.04702725633978844,0.28907760977745056,-0.06615927070379257,0.04266323894262314,0.18516430258750916,0.03431611880660057,0.10021790862083435
member,0.09643107652664185,0.11200715601444244,0.9999998807907104,0.18290899693965912,0.22302718460559845,0.2806392312049866,0.22893384099006653,0.2916165292263031,0.20856694877147675,0.12639693915843964,0.06826172769069672
states,0.20841296017169952,0.29976361989974976,0.18290899693965912,1.0,0.22770579159259796,0.3463578522205353,0.1574816107749939,0.2679363787174225,0.3977442979812622,0.07790249586105347,0.16272737085819244
.,0.3287222981452942,0.3974229395389557,0.19907453656196594,0.33941102027893066,0.16039791703224182,0.5934505462646484,0.2614770531654358,0.17250345647335052,0.5591574311256409,0.0880250409245491,0.4130953550338745
