,who,were,the,current,rights,holders,for,the,primer,league,?
in,0.2792111933231354,0.3815755248069763,0.6662389636039734,0.1955713927745819,0.17772755026817322,0.18604016304016113,0.4322226941585541,0.6662389636039734,0.18686994910240173,0.22963495552539825,0.20430970191955566
the,0.3733934462070465,0.3906462490558624,1.0,0.3314409554004669,0.2579100430011749,0.23150920867919922,0.4739971458911896,1.0,0.18682411313056946,0.2724147439002991,0.22068053483963013
autumn,0.11426738649606705,0.17703205347061157,0.28377342224121094,0.1340513378381729,0.1011829748749733,0.099662646651268,0.21318070590496063,0.28377342224121094,0.09454313665628433,0.14511099457740784,0.11069142818450928
of,0.2827862501144409,0.34038281440734863,0.733189046382904,0.31470298767089844,0.19425496459007263,0.18880435824394226,0.4185989499092102,0.733189046382904,0.1419251263141632,0.23588460683822632,0.1826142966747284
1991,0.230638325214386,0.044018298387527466,0.002508036559447646,0.03391340747475624,0.13771702349185944,0.11155029386281967,0.07042362540960312,0.002508036559447646,-0.12192893773317337,0.07849100232124329,0.175977423787117
",",0.3365725874900818,0.36755475401878357,0.4933079481124878,0.29341426491737366,0.2595706284046173,0.23037229478359222,0.4464869201183319,0.4933079481124878,0.1613689661026001,0.20757631957530975,0.31091248989105225
talks,0.26117050647735596,0.1499936580657959,0.25979292392730713,0.1872926950454712,0.2374352514743805,0.15372174978256226,0.2527080476284027,0.25979292392730713,0.15377120673656464,0.11703485250473022,0.19837336242198944
were,0.3188014328479767,1.0000001192092896,0.3906462490558624,0.13490986824035645,0.22253857553005219,0.23310086131095886,0.33592689037323,0.3906462490558624,0.07931002974510193,0.2012902945280075,0.17890112102031708
held,0.21375896036624908,0.2591556906700134,0.32185450196266174,0.17918913066387177,0.20695647597312927,0.36047205328941345,0.2495253086090088,0.32185450196266174,0.09677038341760635,0.22544537484645844,0.14103956520557404
for,0.37110671401023865,0.33592689037323,0.4739971458911896,0.27481377124786377,0.24823954701423645,0.2840067446231842,0.9999999403953552,0.4739971458911896,0.1395854353904724,0.26433616876602173,0.264628142118454
the,0.3733934462070465,0.3906462490558624,1.0,0.3314409554004669,0.2579100430011749,0.23150920867919922,0.4739971458911896,1.0,0.18682411313056946,0.2724147439002991,0.22068053483963013
broadcast,0.18632595241069794,0.12331408262252808,0.2713715434074402,0.17547526955604553,0.21661575138568878,0.16323134303092957,0.2546502649784088,0.2713715434074402,0.1479533612728119,0.19478030502796173,0.15760008990764618
rights,0.3146883249282837,0.22253857553005219,0.2579100430011749,0.16674140095710754,0.9999999403953552,0.33313456177711487,0.24823954701423645,0.2579100430011749,0.04983527585864067,0.22009842097759247,0.21814769506454468
for,0.37110671401023865,0.33592689037323,0.4739971458911896,0.27481377124786377,0.24823954701423645,0.2840067446231842,0.9999999403953552,0.4739971458911896,0.1395854353904724,0.26433616876602173,0.264628142118454
premier,0.23959188163280487,0.16508811712265015,0.22658593952655792,0.24283994734287262,0.19440405070781708,0.24777376651763916,0.14301124215126038,0.22658593952655792,0.22205452620983124,0.5466246604919434,0.1292608082294464
league,0.2161521464586258,0.2012902945280075,0.2724147439002991,0.253675252199173,0.22009842097759247,0.2334725558757782,0.26433616876602173,0.2724147439002991,0.1642361730337143,1.0000001192092896,0.15941482782363892
for,0.37110671401023865,0.33592689037323,0.4739971458911896,0.27481377124786377,0.24823954701423645,0.2840067446231842,0.9999999403953552,0.4739971458911896,0.1395854353904724,0.26433616876602173,0.264628142118454
a,0.36608949303627014,0.17203083634376526,0.5829201340675354,0.1987239569425583,0.18041828274726868,0.24321825802326202,0.44038116931915283,0.5829201340675354,0.23778769373893738,0.17562834918498993,0.23916715383529663
five-year,0.1698697805404663,0.24432067573070526,0.3389248549938202,0.2499939501285553,0.23002158105373383,0.27377548813819885,0.2880544364452362,0.3389248549938202,0.2203754186630249,0.403972327709198,0.3214563727378845
period,0.2116105854511261,0.2902187407016754,0.3125074505805969,0.14595147967338562,0.11290890723466873,0.1358429193496704,0.27999383211135864,0.3125074505805969,0.06563308835029602,0.16575630009174347,0.18706195056438446
",",0.3365725874900818,0.36755475401878357,0.4933079481124878,0.29341426491737366,0.2595706284046173,0.23037229478359222,0.4464869201183319,0.4933079481124878,0.1613689661026001,0.20757631957530975,0.31091248989105225
from,0.27839982509613037,0.29991888999938965,0.40150508284568787,0.20637577772140503,0.159982830286026,0.2014589160680771,0.314039945602417,0.40150508284568787,0.1359376162290573,0.18873094022274017,0.19969791173934937
the,0.3733934462070465,0.3906462490558624,1.0,0.3314409554004669,0.2579100430011749,0.23150920867919922,0.4739971458911896,1.0,0.18682411313056946,0.2724147439002991,0.22068053483963013
1992,0.19208352267742157,0.05307856947183609,0.12138951569795609,0.10214690864086151,0.12721270322799683,0.17570553719997406,0.0788465216755867,0.12138951569795609,-0.1475280374288559,0.15632931888103485,0.11522171646356583
season,0.13809308409690857,0.20231115818023682,0.2507155239582062,0.1931845098733902,0.13745315372943878,0.17398890852928162,0.24490800499916077,0.2507155239582062,0.1404615044593811,0.41418924927711487,0.16793298721313477
.,0.3541337847709656,0.3378238379955292,0.5934505462646484,0.29179835319519043,0.24957291781902313,0.18303504586219788,0.4726039469242096,0.5934505462646484,0.13666391372680664,0.29573896527290344,0.4130953550338745
