,how,do,structural,geologists,observe,the,fabric,within,the,rocks,?
structural,0.24518145620822906,0.14655721187591553,1.0000001192092896,0.29535454511642456,0.19354979693889618,0.205324187874794,0.3314022421836853,0.2931305170059204,0.205324187874794,0.2694534361362457,0.1448175609111786
geologists,0.3024194538593292,0.26293861865997314,0.29535454511642456,1.0000001192092896,0.22212040424346924,0.29488950967788696,0.14416611194610596,0.2692835330963135,0.29488950967788696,0.49909713864326477,0.18105274438858032
use,0.39296725392341614,0.4545445144176483,0.22699463367462158,0.2389349788427353,0.3045009672641754,0.34342584013938904,0.27288782596588135,0.24091415107250214,0.34342584013938904,0.19122737646102905,0.32795652747154236
microscopic,0.2644314169883728,0.24510926008224487,0.38831430673599243,0.3478389382362366,0.319878488779068,0.23638604581356049,0.32697170972824097,0.2627897560596466,0.23638604581356049,0.3679991066455841,0.18998190760612488
analysis,0.289559006690979,0.15965881943702698,0.39241376519203186,0.2536064684391022,0.25902414321899414,0.24241644144058228,0.20796754956245422,0.18305279314517975,0.24241644144058228,0.18977999687194824,0.15352053940296173
of,0.2480744868516922,0.26150479912757874,0.23907262086868286,0.21582631766796112,0.23419547080993652,0.733189046382904,0.21194949746131897,0.39594778418540955,0.733189046382904,0.2664484679698944,0.1826142966747284
oriented,0.27455055713653564,0.22868554294109344,0.25264930725097656,0.16180026531219482,0.21153272688388824,0.22107121348381042,0.23473460972309113,0.18945184350013733,0.22107121348381042,0.1204259842634201,0.12191823124885559
thin,0.2503301799297333,0.17678888142108917,0.2547714114189148,0.20404379069805145,0.12293414771556854,0.23491108417510986,0.4633292555809021,0.2631545960903168,0.23491108417510986,0.3180732727050781,0.18669506907463074
sections,0.266795814037323,0.2570313811302185,0.26662224531173706,0.21898281574249268,0.12044385075569153,0.3228905200958252,0.1677439659833908,0.2939300239086151,0.3228905200958252,0.2015804797410965,0.2495482712984085
of,0.2480744868516922,0.26150479912757874,0.23907262086868286,0.21582631766796112,0.23419547080993652,0.733189046382904,0.21194949746131897,0.39594778418540955,0.733189046382904,0.2664484679698944,0.1826142966747284
geologic,0.2347712516784668,0.1956855058670044,0.34459081292152405,0.7485435009002686,0.16656699776649475,0.27847176790237427,0.1726893037557602,0.3206017017364502,0.27847176790237427,0.5171065926551819,0.18781805038452148
samples,0.29787811636924744,0.1807251125574112,0.16700731217861176,0.2682562470436096,0.21590924263000488,0.2069351226091385,0.17568480968475342,0.20885069668293,0.2069351226091385,0.39375483989715576,0.1777840405702591
to,0.44169697165489197,0.38876664638519287,0.22107602655887604,0.24980248510837555,0.2856177091598511,0.535392165184021,0.2302590161561966,0.34980177879333496,0.535392165184021,0.23520028591156006,0.29463258385658264
observe,0.2708672881126404,0.22162634134292603,0.19354979693889618,0.22212040424346924,1.0000001192092896,0.26882031559944153,0.13222457468509674,0.2815442383289337,0.26882031559944153,0.15780934691429138,0.1595022827386856
the,0.33890387415885925,0.30239659547805786,0.205324187874794,0.29488950967788696,0.26882031559944153,1.0,0.21405372023582458,0.39827480912208557,1.0,0.24413059651851654,0.22068053483963013
fabric,0.23859365284442902,0.1676986962556839,0.3314022421836853,0.14416611194610596,0.13222457468509674,0.21405372023582458,1.0000001192092896,0.1733214408159256,0.21405372023582458,0.23187555372714996,0.19376210868358612
within,0.24755704402923584,0.21291908621788025,0.2931305170059204,0.2692835330963135,0.2815442383289337,0.39827480912208557,0.1733214408159256,1.0,0.39827480912208557,0.16642579436302185,0.1870293766260147
the,0.33890387415885925,0.30239659547805786,0.205324187874794,0.29488950967788696,0.26882031559944153,1.0,0.21405372023582458,0.39827480912208557,1.0,0.24413059651851654,0.22068053483963013
