,who,was,the,new,elector,of,saxony,?
he,0.5500732064247131,0.5410010814666748,0.4571082592010498,0.2739552855491638,0.2582079768180847,0.38706058263778687,0.17738324403762817,0.2089974731206894
worked,0.3184434771537781,0.38922780752182007,0.22615844011306763,0.22784896194934845,0.18200621008872986,0.2398757040500641,0.1535719335079193,0.0901828184723854
closely,0.20456218719482422,0.20436210930347443,0.2750711441040039,0.18704845011234283,0.16854533553123474,0.21746549010276794,0.15766198933124542,0.08341413736343384
with,0.3282766342163086,0.27411898970603943,0.4223487675189972,0.24325589835643768,0.12359558790922165,0.41827285289764404,0.16758178174495697,0.2433311939239502
the,0.3733934462070465,0.48711544275283813,1.0,0.3845241069793701,0.22412441670894623,0.733189046382904,0.27077290415763855,0.22068053483963013
new,0.2378052920103073,0.2748313844203949,0.3845241069793701,0.9999999403953552,0.23719674348831177,0.343457967042923,0.21360622346401215,0.14782847464084625
elector,0.32356366515159607,0.29741740226745605,0.22412441670894623,0.23719674348831177,0.9999999403953552,0.28894975781440735,0.49952447414398193,0.18877160549163818
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.36073189973831177,0.2712562382221222,0.4946078956127167,0.2703131437301636,0.31091248989105225
john,0.30388808250427246,0.2875721752643585,0.2230520099401474,0.21047446131706238,0.28920286893844604,0.2407056987285614,0.1611502468585968,0.13162356615066528
the,0.3733934462070465,0.48711544275283813,1.0,0.3845241069793701,0.22412441670894623,0.733189046382904,0.27077290415763855,0.22068053483963013
steadfast,0.3446076214313507,0.2665709853172302,0.28276777267456055,0.2357940673828125,0.1719140112400055,0.23244096338748932,0.19911068677902222,0.18102973699569702
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.36073189973831177,0.2712562382221222,0.4946078956127167,0.2703131437301636,0.31091248989105225
to,0.42656609416007996,0.3636345863342285,0.535392165184021,0.33159172534942627,0.24809673428535461,0.41548454761505127,0.17982617020606995,0.29463258385658264
whom,0.6214004158973694,0.2438793033361435,0.23752936720848083,0.1495581567287445,0.3074338436126709,0.2070929855108261,0.19527658820152283,0.222135990858078
he,0.5500732064247131,0.5410010814666748,0.4571082592010498,0.2739552855491638,0.2582079768180847,0.38706058263778687,0.17738324403762817,0.2089974731206894
turned,0.29454195499420166,0.3994938135147095,0.3414173722267151,0.1657964587211609,0.1209287941455841,0.27018553018569946,0.17577238380908966,0.130948007106781
for,0.37110671401023865,0.3863949179649353,0.4739971458911896,0.2700757384300232,0.16252367198467255,0.4185989499092102,0.1045217365026474,0.264628142118454
secular,0.24036633968353271,0.23214595019817352,0.24261851608753204,0.2873903512954712,0.23055778443813324,0.28420427441596985,0.1916104555130005,0.13290788233280182
leadership,0.24247793853282928,0.31339120864868164,0.2857116758823395,0.18545719981193542,0.29298967123031616,0.26711535453796387,0.19233940541744232,0.08979988098144531
and,0.41279885172843933,0.3740963041782379,0.5171257257461548,0.31402453780174255,0.24820923805236816,0.5116966962814331,0.22855228185653687,0.20544172823429108
funds,0.2483792006969452,0.24675096571445465,0.23871955275535583,0.1867014467716217,0.17492569983005524,0.24558281898498535,0.15090295672416687,0.12731410562992096
on,0.2340552806854248,0.3909217119216919,0.5107308030128479,0.31106263399124146,0.20250877737998962,0.3966929316520691,0.1682659536600113,0.2714994251728058
behalf,0.358695387840271,0.2578688859939575,0.29712867736816406,0.21489477157592773,0.22091060876846313,0.1939983069896698,0.22491149604320526,0.15256446599960327
of,0.2827862501144409,0.4069072902202606,0.733189046382904,0.343457967042923,0.28894975781440735,1.0,0.3575356900691986,0.1826142966747284
a,0.36608949303627014,0.4508470594882965,0.5829201340675354,0.3214259147644043,0.2362654209136963,0.5052502155303955,0.18074512481689453,0.23916715383529663
church,0.19418756663799286,0.24960921704769135,0.23846197128295898,0.1963353157043457,0.27571702003479004,0.3079429268836975,0.24850603938102722,0.18081501126289368
largely,0.17741906642913818,0.307300329208374,0.34641584753990173,0.15440361201763153,0.12413537502288818,0.3087159991264343,0.17451436817646027,0.08185246586799622
shorn,0.16900308430194855,0.21132338047027588,0.36752358078956604,0.24878403544425964,0.19648759067058563,0.3230862319469452,0.20862381160259247,0.13257361948490143
of,0.2827862501144409,0.4069072902202606,0.733189046382904,0.343457967042923,0.28894975781440735,1.0,0.3575356900691986,0.1826142966747284
its,0.1326070874929428,0.3518870174884796,0.559237003326416,0.2215755134820938,0.11846905946731567,0.48690423369407654,0.1931961476802826,0.15103481709957123
assets,0.22761106491088867,0.22107110917568207,0.19560842216014862,0.14354103803634644,0.17402002215385437,0.19511719048023224,0.24648846685886383,0.1990663707256317
and,0.41279885172843933,0.3740963041782379,0.5171257257461548,0.31402453780174255,0.24820923805236816,0.5116966962814331,0.22855228185653687,0.20544172823429108
income,0.1852571815252304,0.15067929029464722,0.23699946701526642,0.14913420379161835,0.24517714977264404,0.2581324577331543,0.23709416389465332,0.14935168623924255
after,0.32549580931663513,0.49306565523147583,0.4565047025680542,0.2620960772037506,0.23364420235157013,0.3867455720901489,0.20283229649066925,0.16608688235282898
the,0.3733934462070465,0.48711544275283813,1.0,0.3845241069793701,0.22412441670894623,0.733189046382904,0.27077290415763855,0.22068053483963013
break,0.16458061337471008,0.17381805181503296,0.28229501843452454,0.16593483090400696,0.07577516883611679,0.14277319610118866,0.10421156138181686,0.19753244519233704
with,0.3282766342163086,0.27411898970603943,0.4223487675189972,0.24325589835643768,0.12359558790922165,0.41827285289764404,0.16758178174495697,0.2433311939239502
