,what,does,the,umc,endorse,under,strict,and,effective,international,control,?
consequently,0.2402803599834442,0.2526656985282898,0.2966291010379791,0.13626831769943237,0.31095951795578003,0.2718075215816498,0.38900890946388245,0.33142226934432983,0.3639293313026428,0.16449996829032898,0.2981707751750946,0.15715579688549042
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.1953766793012619,0.29770755767822266,0.24875585734844208,0.2564427852630615,0.6633074283599854,0.2531147599220276,0.23395943641662598,0.20811550319194794,0.31091248989105225
the,0.42745697498321533,0.35928019881248474,1.0,0.21262750029563904,0.1964402198791504,0.3348022699356079,0.16344143450260162,0.5171257257461548,0.23741452395915985,0.23719607293605804,0.32841500639915466,0.22068053483963013
united,0.20036718249320984,0.1650896966457367,0.34367692470550537,0.1928277611732483,0.25098252296447754,0.19369132816791534,0.1553841382265091,0.28213179111480713,0.21820898354053497,0.2979122996330261,0.14107011258602142,0.17266890406608582
methodist,0.17637217044830322,0.13836076855659485,0.21922016143798828,0.2650960683822632,0.26142504811286926,0.1255214959383011,0.19228817522525787,0.2376793771982193,0.14278322458267212,0.1743393838405609,0.11587361991405487,0.1436992734670639
church,0.1944202184677124,0.16385334730148315,0.23846197128295898,0.20494024455547333,0.20290414988994598,0.14279845356941223,0.19564470648765564,0.1976170688867569,0.08594974875450134,0.1636066734790802,0.10170388966798782,0.18081501126289368
endorses,0.23316647112369537,0.28990867733955383,0.19808055460453033,0.275696724653244,0.8930301070213318,0.15075156092643738,0.24089118838310242,0.2746238112449646,0.24536021053791046,0.1648310273885727,0.1134786382317543,0.32038405537605286
general,0.24928055703639984,0.15178900957107544,0.28634732961654663,0.14920271933078766,0.23187285661697388,0.33664318919181824,0.23204976320266724,0.25860127806663513,0.23673127591609955,0.14942900836467743,0.18925777077674866,0.1972234547138214
and,0.31309178471565247,0.3461615741252899,0.5171257257461548,0.21982228755950928,0.21390318870544434,0.3005301356315613,0.29981738328933716,1.0,0.2838481068611145,0.2444424331188202,0.29790008068084717,0.20544172823429108
complete,0.29213884472846985,0.22842764854431152,0.277624249458313,0.044136520475149155,0.2157323807477951,0.2052428275346756,0.13937966525554657,0.20886704325675964,0.2389332801103592,0.12111781537532806,0.23399248719215393,0.11962060630321503
disarmament,0.2443252056837082,0.15741968154907227,0.29860568046569824,0.2288489043712616,0.25423943996429443,0.21940919756889343,0.2705853283405304,0.2745293378829956,0.3645378351211548,0.34650006890296936,0.3019276261329651,0.18379978835582733
under,0.20154598355293274,0.1601116806268692,0.3348022699356079,0.14912497997283936,0.1309087872505188,0.9999999403953552,0.2593313157558441,0.3005301356315613,0.19649088382720947,0.12523500621318817,0.32296884059906006,0.18233340978622437
strict,0.2741048336029053,0.2909836769104004,0.16344143450260162,0.21814872324466705,0.22578050196170807,0.2593313157558441,1.0000001192092896,0.29981738328933716,0.31887465715408325,0.22518323361873627,0.2539450228214264,0.18498127162456512
and,0.31309178471565247,0.3461615741252899,0.5171257257461548,0.21982228755950928,0.21390318870544434,0.3005301356315613,0.29981738328933716,1.0,0.2838481068611145,0.2444424331188202,0.29790008068084717,0.20544172823429108
effective,0.23494793474674225,0.2235385626554489,0.23741452395915985,0.0808795914053917,0.24326269328594208,0.19649088382720947,0.31887465715408325,0.2838481068611145,1.0000001192092896,0.178412526845932,0.3133413791656494,0.21825028955936432
international,0.10870302468538284,0.13668061792850494,0.23719607293605804,0.24793365597724915,0.16625787317752838,0.12523500621318817,0.22518323361873627,0.2444424331188202,0.178412526845932,1.0,0.12421424686908722,0.15335838496685028
control,0.2821830213069916,0.22912582755088806,0.32841500639915466,0.13159799575805664,0.07363688200712204,0.32296884059906006,0.2539450228214264,0.29790008068084717,0.3133413791656494,0.12421424686908722,1.0,0.1620711386203766
.,0.3567904531955719,0.3022993505001068,0.5934505462646484,0.23154163360595703,0.2827169895172119,0.2901604175567627,0.21986082196235657,0.588965117931366,0.2533048987388611,0.20745405554771423,0.24319837987422943,0.4130953550338745
,what,does,the,umc,endorse,under,strict,and,effective,international,control,?
therefore,0.4125064015388489,0.44649532437324524,0.4141571819782257,0.2020258903503418,0.3596266210079193,0.22680345177650452,0.3546304702758789,0.4033817946910858,0.3275754749774933,0.1571248322725296,0.24076062440872192,0.3325358033180237
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.1953766793012619,0.29770755767822266,0.24875585734844208,0.2564427852630615,0.6633074283599854,0.2531147599220276,0.23395943641662598,0.20811550319194794,0.31091248989105225
the,0.42745697498321533,0.35928019881248474,1.0,0.21262750029563904,0.1964402198791504,0.3348022699356079,0.16344143450260162,0.5171257257461548,0.23741452395915985,0.23719607293605804,0.32841500639915466,0.22068053483963013
church,0.1944202184677124,0.16385334730148315,0.23846197128295898,0.20494024455547333,0.20290414988994598,0.14279845356941223,0.19564470648765564,0.1976170688867569,0.08594974875450134,0.1636066734790802,0.10170388966798782,0.18081501126289368
rejects,0.24492940306663513,0.3466554582118988,0.25582894682884216,0.21369300782680511,0.3451750874519348,0.1928045153617859,0.2425634115934372,0.27003946900367737,0.12862589955329895,0.12292484939098358,0.18545836210250854,0.19314032793045044
war,0.22516006231307983,0.13401690125465393,0.366199791431427,0.125026673078537,0.1413249373435974,0.16941870748996735,0.15756528079509735,0.29695844650268555,0.2176610231399536,0.17648190259933472,0.19695141911506653,0.15510529279708862
