,the,owner,typically,awards,a,contract,to,who,?
following,0.39779382944107056,0.08552461862564087,0.20858922600746155,0.14065274596214294,0.27489006519317627,0.1733437031507492,0.31711265444755554,0.1758657693862915,0.1555173695087433
evaluation,0.26451990008354187,0.12272944301366806,0.3268539607524872,0.20760910212993622,0.23692037165164948,0.21383510529994965,0.26302868127822876,0.1666649878025055,0.23344650864601135
of,0.733189046382904,0.1597081422805786,0.28964799642562866,0.20138365030288696,0.5052502155303955,0.13800480961799622,0.41548454761505127,0.2827862501144409,0.1826142966747284
bids,0.2717687487602234,0.1077333390712738,0.1897333264350891,0.17744475603103638,0.2171008586883545,0.25643378496170044,0.29412439465522766,0.18143561482429504,0.13915638625621796
",",0.4933079481124878,0.22101753950119019,0.18964512646198273,0.27591487765312195,0.427140474319458,0.20806868374347687,0.44245919585227966,0.3365725874900818,0.31091248989105225
the,1.0,0.22181597352027893,0.33345210552215576,0.22946466505527496,0.5829201340675354,0.23003633320331573,0.535392165184021,0.3733934462070465,0.22068053483963013
owner,0.22181597352027893,0.9999999403953552,0.029573848471045494,0.12489398568868637,0.24004080891609192,0.37987518310546875,0.203524649143219,0.2990386188030243,0.1461835652589798
typically,0.33345210552215576,0.029573848471045494,1.0,0.0794709101319313,0.37909039855003357,0.12490382045507431,0.3589242696762085,0.2390000820159912,0.14485043287277222
awards,0.22946466505527496,0.12489398568868637,0.0794709101319313,1.0000001192092896,0.18129821121692657,0.17995469272136688,0.17636770009994507,0.22637341916561127,0.2122269868850708
a,0.5829201340675354,0.24004080891609192,0.37909039855003357,0.18129821121692657,1.0,0.20562967658042908,0.45503583550453186,0.36608949303627014,0.23916715383529663
contract,0.23003633320331573,0.37987518310546875,0.12490382045507431,0.17995469272136688,0.20562967658042908,1.0000001192092896,0.2871469259262085,0.20966969430446625,0.12573233246803284
to,0.535392165184021,0.203524649143219,0.3589242696762085,0.17636770009994507,0.45503583550453186,0.2871469259262085,1.0,0.42656609416007996,0.29463258385658264
the,1.0,0.22181597352027893,0.33345210552215576,0.22946466505527496,0.5829201340675354,0.23003633320331573,0.535392165184021,0.3733934462070465,0.22068053483963013
most,0.47635307908058167,0.1098402738571167,0.373720645904541,0.21457375586032867,0.3508910834789276,0.13352499902248383,0.321603000164032,0.35393568873405457,0.2107497900724411
cost,0.23177006840705872,0.1970212459564209,0.28455856442451477,0.1490985006093979,0.21993719041347504,0.28653743863105774,0.2525014281272888,0.12277812510728836,0.17823095619678497
efficient,0.22032952308654785,0.08107411861419678,0.43785786628723145,0.08989138156175613,0.19768685102462769,0.19066748023033142,0.29811713099479675,0.12639330327510834,0.18034493923187256
bidder,0.2647702097892761,0.27572450041770935,0.15373359620571136,0.22950062155723572,0.24641481041908264,0.26224711537361145,0.24695809185504913,0.20936915278434753,0.12447033822536469
.,0.5934505462646484,0.22413505613803864,0.25537845492362976,0.24817058444023132,0.50484299659729,0.18996715545654297,0.4645031690597534,0.3541337847709656,0.4130953550338745
