,what,happened,to,the,crew,onboard,during,the,plugs-out,test,?
the,0.42745697498321533,0.3589572608470917,0.535392165184021,1.0,0.25329816341400146,0.25827547907829285,0.4838213622570038,1.0,0.3300256133079529,0.19235259294509888,0.22068053483963013
astronauts,0.1784883290529251,0.15343491733074188,0.22723354399204254,0.197182759642601,0.44052642583847046,0.4837861955165863,0.24143624305725098,0.197182759642601,0.22966758906841278,0.3078673183917999,0.15138289332389832
were,0.22298263013362885,0.34330758452415466,0.31913647055625916,0.3906462490558624,0.2108691781759262,0.2688491642475128,0.4064035415649414,0.3906462490558624,0.21566133201122284,0.1422247588634491,0.17890112102031708
asphyxiated,0.21712663769721985,0.2707054615020752,0.2804952561855316,0.2858024835586548,0.23199039697647095,0.3142586350440979,0.2869231700897217,0.2858024835586548,0.3730607330799103,0.21619786322116852,0.21055850386619568
before,0.3801657259464264,0.42492398619651794,0.4190867841243744,0.45900648832321167,0.1926402449607849,0.18278296291828156,0.4833252727985382,0.45900648832321167,0.234683096408844,0.2241266667842865,0.2507109045982361
the,0.42745697498321533,0.3589572608470917,0.535392165184021,1.0,0.25329816341400146,0.25827547907829285,0.4838213622570038,1.0,0.3300256133079529,0.19235259294509888,0.22068053483963013
hatch,0.15176834166049957,0.1517237424850464,0.21357223391532898,0.16707484424114227,0.2091519683599472,0.2357255220413208,0.1285456418991089,0.16707484424114227,0.27750393748283386,0.2602658271789551,0.20584222674369812
could,0.4188697934150696,0.32443514466285706,0.5461788773536682,0.35393214225769043,0.18659977614879608,0.3143085241317749,0.2584671974182129,0.35393214225769043,0.32745859026908875,0.20161072909832,0.3411986827850342
be,0.3929833769798279,0.259830504655838,0.4972836375236511,0.4248143136501312,0.11320306360721588,0.24930432438850403,0.24990400671958923,0.4248143136501312,0.3644089996814728,0.25003713369369507,0.3324260413646698
opened,0.14500318467617035,0.35227319598197937,0.18903055787086487,0.28544309735298157,0.13112325966358185,0.13897612690925598,0.24100707471370697,0.28544309735298157,0.21841254830360413,0.10083678364753723,0.1934700310230255
.,0.3567904531955719,0.29012542963027954,0.4645031690597534,0.5934505462646484,0.24222686886787415,0.2483542561531067,0.3485563397407532,0.5934505462646484,0.3162477910518646,0.23588362336158752,0.4130953550338745
