,disney-abc,television,group,is,a,subsidiary,of,what,division,of,the,walt,disney,company,?
the,0.3181883692741394,0.24569597840309143,0.30795547366142273,0.5823672413825989,0.5829201340675354,0.2279236614704132,0.733189046382904,0.42745697498321533,0.26203617453575134,0.733189046382904,1.0,0.2561357319355011,0.24980762600898743,0.26591673493385315,0.22068053483963013
american,0.22085295617580414,0.3946164548397064,0.19752807915210724,0.1853146106004715,0.22026167809963226,0.17421671748161316,0.22180068492889404,0.1909721940755844,0.1481330692768097,0.22180068492889404,0.24562937021255493,0.3330433964729309,0.2458433210849762,0.1761145144701004,0.18877598643302917
broadcasting,0.4141359329223633,0.6134137511253357,0.20696769654750824,0.1978546530008316,0.2170335054397583,0.39510297775268555,0.25924646854400635,0.18499015271663666,0.1897808164358139,0.25924646854400635,0.29916465282440186,0.32382282614707947,0.3236325979232788,0.3277682960033417,0.10870421677827835
company,0.3104264438152313,0.25623777508735657,0.3087855577468872,0.18005689978599548,0.22037413716316223,0.5609620213508606,0.20467796921730042,0.2333769053220749,0.2849979102611542,0.20467796921730042,0.26591673493385315,0.31658700108528137,0.29213109612464905,1.0,0.12195809185504913
(,0.1676187962293625,0.27449095249176025,0.21665191650390625,0.35393038392066956,0.3206180930137634,0.15286223590373993,0.35032153129577637,0.2411840260028839,0.2016449272632599,0.35032153129577637,0.33289089798927307,0.13113468885421753,0.13315561413764954,0.13179703056812286,0.40561532974243164
abc,0.48218587040901184,0.46871840953826904,0.11665991693735123,0.16037321090698242,0.21331243216991425,0.21595405042171478,0.14607268571853638,0.1317344456911087,0.24142871797084808,0.14607268571853638,0.2068762183189392,0.36108773946762085,0.37895750999450684,0.16210390627384186,0.19065172970294952
),0.17409473657608032,0.27724143862724304,0.23240500688552856,0.37732169032096863,0.3640355169773102,0.1586451381444931,0.3680361211299896,0.26259949803352356,0.20391593873500824,0.3680361211299896,0.3456730246543884,0.12682761251926422,0.14130505919456482,0.14284300804138184,0.42300865054130554
(,0.1676187962293625,0.27449095249176025,0.21665191650390625,0.35393038392066956,0.3206180930137634,0.15286223590373993,0.35032153129577637,0.2411840260028839,0.2016449272632599,0.35032153129577637,0.33289089798927307,0.13113468885421753,0.13315561413764954,0.13179703056812286,0.40561532974243164
stylized,0.3102026879787445,0.32995355129241943,0.08814677596092224,0.2402815818786621,0.29144126176834106,0.2735539674758911,0.21428808569908142,0.1135159358382225,0.13469046354293823,0.21428808569908142,0.19770094752311707,0.26798003911972046,0.25494229793548584,0.20098504424095154,0.14394623041152954
in,0.24368822574615479,0.2689782977104187,0.2304753065109253,0.5394441485404968,0.539380669593811,0.2031269520521164,0.5696388483047485,0.30808621644973755,0.2658538520336151,0.5696388483047485,0.6662389636039734,0.24451637268066406,0.18521910905838013,0.22141718864440918,0.20430970191955566
its,0.2787948250770569,0.1756780445575714,0.2008703351020813,0.4447362422943115,0.4424409866333008,0.2734621465206146,0.48690423369407654,0.30393704771995544,0.18290209770202637,0.48690423369407654,0.559237003326416,0.17957046627998352,0.19488584995269775,0.258992999792099,0.15103481709957123
logo,0.3231739401817322,0.19883376359939575,0.1801726222038269,0.1738443821668625,0.21248295903205872,0.2889009714126587,0.1528109908103943,0.21781428158283234,0.13264799118041992,0.1528109908103943,0.2806010842323303,0.299303263425827,0.2634502351284027,0.31244656443595886,0.23347119987010956
as,0.2814546227455139,0.25070273876190186,0.2519444227218628,0.43216490745544434,0.39550232887268066,0.20775634050369263,0.3886612355709076,0.31749409437179565,0.15425626933574677,0.3886612355709076,0.48381632566452026,0.2184535413980484,0.2626339793205261,0.18860384821891785,0.27043893933296204
abc,0.48218587040901184,0.46871840953826904,0.11665991693735123,0.16037321090698242,0.21331243216991425,0.21595405042171478,0.14607268571853638,0.1317344456911087,0.24142871797084808,0.14607268571853638,0.2068762183189392,0.36108773946762085,0.37895750999450684,0.16210390627384186,0.19065172970294952
since,0.21683001518249512,0.21545590460300446,0.18875163793563843,0.3567592203617096,0.3303585946559906,0.2148686945438385,0.35513219237327576,0.29783400893211365,0.1981157660484314,0.35513219237327576,0.4054957628250122,0.12601467967033386,0.1732032746076584,0.23046186566352844,0.2876587212085724
1957,-0.17820307612419128,-0.1811172068119049,-0.06485433131456375,-0.02784627676010132,-0.12808078527450562,-0.0998215451836586,-0.03177386894822121,-0.006660523824393749,-0.05954969674348831,-0.03177386894822121,-0.091727614402771,-0.22083613276481628,-0.19258205592632294,-0.06904533505439758,-0.11977791041135788
),0.17409473657608032,0.27724143862724304,0.23240500688552856,0.37732169032096863,0.3640355169773102,0.1586451381444931,0.3680361211299896,0.26259949803352356,0.20391593873500824,0.3680361211299896,0.3456730246543884,0.12682761251926422,0.14130505919456482,0.14284300804138184,0.42300865054130554
is,0.24662993848323822,0.21374565362930298,0.22153858840465546,1.0,0.658733606338501,0.19197803735733032,0.4854315221309662,0.28837618231773376,0.20176531374454498,0.4854315221309662,0.5823672413825989,0.21739564836025238,0.18704643845558167,0.18005689978599548,0.22961433231830597
an,0.17253631353378296,0.22427234053611755,0.1671597808599472,0.4654068350791931,0.44552403688430786,0.16942083835601807,0.32280945777893066,0.2821882665157318,0.160384401679039,0.32280945777893066,0.4207492768764496,0.17596006393432617,0.15550778806209564,0.13791987299919128,0.19793890416622162
american,0.22085295617580414,0.3946164548397064,0.19752807915210724,0.1853146106004715,0.22026167809963226,0.17421671748161316,0.22180068492889404,0.1909721940755844,0.1481330692768097,0.22180068492889404,0.24562937021255493,0.3330433964729309,0.2458433210849762,0.1761145144701004,0.18877598643302917
commercial,0.28609851002693176,0.24901287257671356,0.14023546874523163,0.2402932196855545,0.2696971893310547,0.3462929129600525,0.21107374131679535,0.12070754915475845,0.17410726845264435,0.21107374131679535,0.23051398992538452,0.2082524448633194,0.20740899443626404,0.2870384752750397,0.04216946288943291
