,what,percent,of,girls,are,in,prostution,in,kenyas,coastal,areas,?
in,0.30808621644973755,0.24886950850486755,0.5696388483047485,0.24800755083560944,0.3841303884983063,1.0,0.28730231523513794,1.0,0.273433119058609,0.2924878001213074,0.33029478788375854,0.20430970191955566
2006,-0.0008085015579126775,0.11609266698360443,0.10009169578552246,0.05245685204863548,0.1587405800819397,-0.04600946605205536,0.07847952842712402,-0.04600946605205536,-0.07950848340988159,0.0035842813085764647,0.07359759509563446,-0.1194092258810997
",",0.3087472915649414,0.19088563323020935,0.4946078956127167,0.21734729409217834,0.4062570035457611,0.5201468467712402,0.280960351228714,0.5201468467712402,0.32898539304733276,0.21444359421730042,0.2789289653301239,0.31091248989105225
unicef,0.20438186824321747,0.2286616712808609,0.22768139839172363,0.17704801261425018,0.2387058287858963,0.27030348777770996,0.29468733072280884,0.27030348777770996,0.2650216221809387,0.10869728028774261,0.17306630313396454,0.15475232899188995
estimated,0.19670580327510834,0.47541025280952454,0.30473583936691284,0.1023893654346466,0.21499647200107574,0.2508986294269562,0.24181976914405823,0.2508986294269562,0.2066659778356552,0.2393103390932083,0.24761255085468292,0.18149758875370026
that,0.6297725439071655,0.2902362644672394,0.41498205065727234,0.1811571717262268,0.45265161991119385,0.435920387506485,0.2635236978530884,0.435920387506485,0.23009304702281952,0.20089487731456757,0.27244997024536133,0.32716336846351624
up,0.28591108322143555,0.19280150532722473,0.32945773005485535,0.20546802878379822,0.32151925563812256,0.3120773434638977,0.17996297776699066,0.3120773434638977,0.22169478237628937,0.15162217617034912,0.21080094575881958,0.1819818764925003
to,0.455847829580307,0.2143162339925766,0.41548454761505127,0.2066660225391388,0.3504326641559601,0.45010748505592346,0.3116811513900757,0.45010748505592346,0.25614386796951294,0.18494710326194763,0.29808273911476135,0.29463258385658264
30,-0.04443084076046944,-0.09317101538181305,0.003304550424218178,0.04733604937791824,0.08760164678096771,-0.005278158001601696,-0.04347730055451393,-0.005278158001601696,0.09874427318572998,0.029588807374238968,0.05352446064352989,-0.08261742442846298
%,0.20738190412521362,0.6792206168174744,0.19953428208827972,0.1651131510734558,0.21077655255794525,0.19465309381484985,0.13143335282802582,0.19465309381484985,0.19661740958690643,0.20626308023929596,0.2517262399196625,0.21441808342933655
of,0.33290785551071167,0.3004763424396515,1.0,0.17522835731506348,0.39081433415412903,0.5696388483047485,0.2522863745689392,0.5696388483047485,0.27555543184280396,0.29121753573417664,0.2803763747215271,0.1826142966747284
girls,0.1537969559431076,0.19083845615386963,0.17522835731506348,1.0,0.21457646787166595,0.24800755083560944,0.2817801833152771,0.24800755083560944,0.19507163763046265,0.14679162204265594,0.20872165262699127,0.1302518993616104
in,0.30808621644973755,0.24886950850486755,0.5696388483047485,0.24800755083560944,0.3841303884983063,1.0,0.28730231523513794,1.0,0.273433119058609,0.2924878001213074,0.33029478788375854,0.20430970191955566
the,0.42745697498321533,0.277066707611084,0.733189046382904,0.20540733635425568,0.40399202704429626,0.6662389636039734,0.3066943287849426,0.6662389636039734,0.2898688018321991,0.2718130946159363,0.3311663568019867,0.22068053483963013
coastal,0.18264484405517578,0.17818205058574677,0.29121753573417664,0.14679162204265594,0.24362002313137054,0.2924878001213074,0.20027001202106476,0.2924878001213074,0.2422534078359604,1.0000001192092896,0.48664239048957825,0.13777320086956024
areas,0.23739881813526154,0.3155480921268463,0.2803763747215271,0.20872165262699127,0.4082777500152588,0.33029478788375854,0.18044032156467438,0.33029478788375854,0.2215072512626648,0.48664239048957825,0.9999999403953552,0.1273590475320816
of,0.33290785551071167,0.3004763424396515,1.0,0.17522835731506348,0.39081433415412903,0.5696388483047485,0.2522863745689392,0.5696388483047485,0.27555543184280396,0.29121753573417664,0.2803763747215271,0.1826142966747284
malindi,0.21682699024677277,0.13783173263072968,0.16816118359565735,0.2240629345178604,0.12221921235322952,0.1602572351694107,0.26547425985336304,0.1602572351694107,0.4013814628124237,0.17568007111549377,0.1746681183576584,0.1617479771375656
",",0.3087472915649414,0.19088563323020935,0.4946078956127167,0.21734729409217834,0.4062570035457611,0.5201468467712402,0.280960351228714,0.5201468467712402,0.32898539304733276,0.21444359421730042,0.2789289653301239,0.31091248989105225
